Date,ACFM ASIA
2002-05-31,479.9583046132106
2002-06-03,485.43994265886397
2002-06-04,479.6870463105078
2002-06-05,477.47439256957733
2002-06-06,476.21037936629165
2002-06-07,471.25638981493415
2002-06-10,469.89468707982695
2002-06-11,468.9214512562623
2002-06-12,466.2490811233506
2002-06-13,462.336414386097
2002-06-14,456.967113703
2002-06-17,446.3899321748225
2002-06-18,451.2100904534348
2002-06-19,440.4387000996165
2002-06-20,445.91754819179386
2002-06-21,443.7655555092967
2002-06-24,447.32295159252834
2002-06-25,446.0112575091968
2002-06-26,438.66029547769296
2002-06-27,441.78289812589145
2002-06-28,455.11414183383806
2002-07-01,453.701744376171
2002-07-02,453.6946073206702
2002-07-03,460.15922308352845
2002-07-04,457.90324351079175
2002-07-05,462.89347397522533
2002-07-08,465.50991830382594
2002-07-09,473.65328489916544
2002-07-10,467.755088804902
2002-07-11,461.96463351074215
2002-07-12,465.87822257226844
2002-07-15,461.10779475457963
2002-07-16,454.6827196766435
2002-07-17,453.8266662634501
2002-07-18,459.88037176085095
2002-07-19,453.3822756530836
2002-07-22,448.7673228981934
2002-07-23,448.8953382742092
2002-07-24,441.791024361271
2002-07-25,437.6166437566505
2002-07-26,419.2030764985064
2002-07-29,419.0496976826491
2002-07-30,429.91946526623224
2002-07-31,427.071553536066
2002-08-01,425.11373280502704
2002-08-02,423.3601715548209
2002-08-05,419.9517182693344
2002-08-06,408.12121189144307
2002-08-07,420.7815215261889
2002-08-08,419.3257690239981
2002-08-09,428.2864630452212
2002-08-12,424.9567743815344
2002-08-13,424.4166249342698
2002-08-14,430.65512391319675
2002-08-15,432.26102469847086
2002-08-16,432.74272405412364
2002-08-19,423.8549145868947
2002-08-20,424.84461159314577
2002-08-21,427.53604077883915
2002-08-22,429.54187864699514
2002-08-23,430.0767931256527
2002-08-26,435.1791956870675
2002-08-27,431.64410766296663
2002-08-28,426.97102904011325
2002-08-29,421.8408499007856
2002-08-30,421.870367966046
2002-09-02,419.0658759654678
2002-09-03,411.49318615612896
2002-09-04,402.8450610649704
2002-09-05,407.48980371172735
2002-09-06,402.83506517874054
2002-09-09,406.59592432806375
2002-09-10,407.572184465982
2002-09-11,407.97915330011386
2002-09-12,410.3354464252692
2002-09-13,402.03924874875116
2002-09-16,396.8448446477654
2002-09-17,406.5328718720761
2002-09-18,405.003706081483
2002-09-19,411.24572512518887
2002-09-20,398.82761432820064
2002-09-23,395.38601389915215
2002-09-24,390.96543882296857
2002-09-25,386.4898076836402
2002-09-26,392.98237122595526
2002-09-27,399.3514680650501
2002-09-30,395.8780495562967
2002-10-01,387.94934148751923
2002-10-02,383.52182282589814
2002-10-03,379.51507067872967
2002-10-04,382.4231628065446
2002-10-07,367.7112778927281
2002-10-08,368.76641914756516
2002-10-09,363.7804044235989
2002-10-10,358.67275406874006
2002-10-11,361.75050235675917
2002-10-14,362.91885669692476
2002-10-15,373.9101993467575
2002-10-16,378.47395713774
2002-10-17,379.843875194994
2002-10-18,384.07792955379176
2002-10-21,381.76484912999985
2002-10-22,371.6454996025912
2002-10-23,377.596731194741
2002-10-24,375.30394024898646
2002-10-25,379.9461768433263
2002-10-28,382.441477077813
2002-10-29,381.15250121487855
2002-10-30,381.5260842595669
2002-10-31,380.2875611346062
2002-11-01,380.80450607804573
2002-11-04,383.29563732379773
2002-11-05,390.50101185077233
2002-11-06,391.0098900326755
2002-11-07,392.1277900832068
2002-11-08,389.29690236434834
2002-11-11,380.2856273939058
2002-11-12,379.12749916507516
2002-11-13,377.3852011132034
2002-11-14,373.0165334846538
