Date,AC ASIA ex JAPAN WITH CHINA ALL SHARES
2008-11-25,1000.0
2008-11-26,1030.07553205303
2008-11-27,1051.5309331471433
2008-11-28,1062.5260767981608
2008-12-01,1063.7810745144784
2008-12-02,1026.537746315441
2008-12-03,1035.3318620222308
2008-12-04,1035.8064127977416
2008-12-05,1045.5955463462374
2008-12-08,1109.7611367853399
2008-12-09,1111.4308573074695
2008-12-10,1170.5880023386324
2008-12-11,1177.708490361315
2008-12-12,1126.6169735407348
2008-12-15,1158.5157440427274
2008-12-16,1168.4774160476318
2008-12-17,1189.9921290783343
2008-12-18,1215.7898253130722
2008-12-19,1206.1562269212036
2008-12-22,1172.5268648080043
2008-12-23,1131.4656784639528
2008-12-24,1131.58058440668
2008-12-25,1130.2669368881213
2008-12-26,1125.4728547463483
2008-12-29,1141.5340939528353
2008-12-30,1150.865032658777
2008-12-31,1153.5295822096762
2009-01-01,1156.1978955686773
2009-01-02,1174.6104491683825
2009-01-05,1214.415070865284
2009-01-06,1221.9312353048715
2009-01-07,1211.0432651962224
2009-01-08,1162.7112430275151
2009-01-09,1152.0933637189514
2009-01-12,1122.7239038496275
2009-01-13,1113.4322237994495
2009-01-14,1129.5371146421287
2009-01-15,1080.5670029554256
2009-01-16,1102.357901220635
2009-01-19,1109.7265622024227
2009-01-20,1085.1682371642714
2009-01-21,1066.1926569345972
2009-01-22,1071.4574637964715
2009-01-23,1056.7568683175125
2009-01-26,1057.3326918302987
2009-01-27,1061.8240243212902
2009-01-28,1084.147174867731
2009-01-29,1099.390532577095
2009-01-30,1105.8606071798708
2009-02-02,1083.598233602675
2009-02-03,1094.1368900442794
2009-02-04,1115.9559660122661
2009-02-05,1114.0470085336449
2009-02-06,1146.8542979814663
2009-02-09,1154.62902856273
2009-02-10,1157.2761366410025
2009-02-11,1146.5788498448885
2009-02-12,1124.6952040504368
2009-02-13,1149.577006654655
2009-02-16,1138.5687335124114
2009-02-17,1094.4728451426433
2009-02-18,1085.9579210002512
2009-02-19,1088.497166549797
2009-02-20,1062.0384932237575
2009-02-23,1090.4963164136636
2009-02-24,1059.6910217883137
2009-02-25,1069.509068366818
2009-02-26,1055.013563790785
2009-02-27,1046.6378390407888
2009-03-02,1006.6231946804787
2009-03-03,1008.2801691355694
2009-03-04,1039.714938851812
2009-03-05,1036.1247165984742
2009-03-06,1031.4299971475743
2009-03-09,1017.9408722774444
2009-03-10,1037.8337254330215
2009-03-11,1058.736572869888
2009-03-12,1056.2578668537617
2009-03-13,1084.3716567942724
2009-03-16,1110.0099051681584
2009-03-17,1119.430784115099
2009-03-18,1128.0537945866768
2009-03-19,1141.728549560391
2009-03-20,1129.660962036592
2009-03-23,1179.0206091400928
2009-03-24,1200.508061710225
2009-03-25,1198.9387109021138
2009-03-26,1234.4713983535607
2009-03-27,1233.83258314423
2009-03-30,1179.1191526068858
2009-03-31,1191.0309554516305
2009-04-01,1204.695927834546
2009-04-02,1267.1119792809661
2009-04-03,1271.0604707783868
2009-04-06,1296.2386730016783
2009-04-07,1284.063523548695
2009-04-08,1247.1012321634057
2009-04-09,1287.2547881388807
2009-04-10,1299.7951003983137
2009-04-13,1309.5891813125477
2009-04-14,1335.3131549379314
2009-04-15,1339.612447118056
2009-04-16,1339.1341855271778
2009-04-17,1331.3634838579221
2009-04-20,1342.7592614767098
2009-04-21,1326.2106207830948
2009-04-22,1311.4276711979937
2009-04-23,1330.4079332567953
2009-04-24,1334.4724026728063
2009-04-27,1304.4775266334384
2009-04-28,1278.0883891416768
2009-04-29,1317.9800560115712
2009-04-30,1374.0913350541405
2009-05-01,1373.8500946025545
2009-05-04,1444.245324285287
2009-05-05,1451.9959030893178
2009-05-06,1469.9422620398893
2009-05-07,1486.180428105779
2009-05-08,1496.2123329832891
2009-05-11,1482.340371335413
2009-05-12,1478.6975694198409
2009-05-13,1484.7744029141613
