Date,AC ASIA WITH PARTIAL A SHARES
2008-11-27,1019.3077441924985
2008-11-28,1031.7193851060608
2008-12-30,1124.606261433246
2008-12-31,1122.2091528070423
2009-01-29,1070.4562594814884
2009-01-30,1052.0571609643482
2009-02-26,933.8250876803367
2009-02-27,945.8925599080634
2009-03-30,1029.2371637252454
2009-03-31,1010.5368063666266
2009-04-29,1103.76267631726
2009-04-30,1138.5213053441505
2009-05-28,1265.3636641708536
2009-05-29,1284.7555420854678
2009-06-29,1291.3076305783848
2009-06-30,1294.693799819315
2009-07-30,1377.1883690437112
2009-07-31,1402.5197444379912
2009-08-28,1414.893834958826
2009-08-31,1407.9017276910695
2009-09-29,1438.1289786382888
2009-09-30,1452.6224959187816
2009-10-29,1405.3782358898902
2009-10-30,1430.8495060528555
2009-11-27,1397.574483033195
2009-11-30,1442.7756370309337
2009-12-30,1474.8143844537808
2009-12-31,1479.740838388498
2010-01-28,1471.5365539165482
2010-01-29,1447.4181387318047
2010-02-25,1450.8855854356564
2010-02-26,1459.642310834299
2010-03-30,1557.2709879558745
2010-03-31,1548.4518117491905
2010-04-29,1544.6649823649923
2010-04-30,1562.8233113083954
2010-05-28,1429.3406029275702
2010-05-31,1433.9917972802937
2010-06-29,1443.5149823296179
2010-06-30,1431.758060011289
2010-07-29,1508.0531966269768
2010-07-30,1499.4828717843002
2010-08-30,1495.8210387308318
2010-08-31,1474.0118272195377
2010-09-29,1605.825092171505
2010-09-30,1592.5598058830988
2010-10-28,1633.6402449050593
2010-10-29,1630.7275805770073
2010-11-29,1645.634509823191
2010-11-30,1633.6478382420933
2010-12-30,1729.754145594007
2010-12-31,1739.3095244141193
2011-01-28,1746.1604014888958
2011-01-31,1731.1756501542677
2011-02-25,1723.942070165748
2011-02-28,1733.1780545403547
2011-03-30,1698.3375820072024
2011-03-31,1710.3976267536877
2011-04-28,1748.0215745941305
2011-04-29,1748.82404121221
2011-05-30,1695.0716844784847
2011-05-31,1723.3117485423231
2011-06-29,1693.6935019876357
2011-06-30,1712.0708193663988
2011-07-28,1758.8560831904438
2011-07-29,1749.8593215573676
2011-08-30,1569.8091332776394
2011-08-31,1591.086200947593
2011-09-29,1478.555485230222
2011-09-30,1465.5056784719925
2011-10-28,1590.959729286384
2011-10-31,1553.8159556288656
2011-11-29,1454.586201300304
2011-11-30,1452.5130477595092
2011-12-29,1449.089317769112
2011-12-30,1462.5353479568412
2012-01-30,1565.0017069083444
2012-01-31,1576.9015562890509
2012-02-28,1657.6442277497395
2012-02-29,1664.612692253829
2012-03-29,1645.0622385135716
2012-03-30,1645.665347711295
2012-04-27,1607.651110879179
2012-04-30,1622.2331554612317
2012-05-30,1474.3095259642873
2012-05-31,1472.0695000095664
2012-06-28,1504.0796168535885
2012-06-29,1530.1557519849425
2012-07-30,1516.1830357978467
2012-07-31,1534.7806183303808
2012-08-30,1534.3233679274913
2012-08-31,1525.0872012993823
2012-09-27,1600.9923477032166
2012-09-28,1600.506478367844
2012-10-30,1573.8102107661998
2012-10-31,1585.2027335559917
2012-11-29,1620.2201421059124
2012-11-30,1625.9632983314057
2012-12-28,1695.292239718158
2012-12-31,1693.1293020054704
2013-01-30,1736.689125590549
2013-01-31,1736.381693700361
2013-02-27,1732.2232056666337
2013-02-28,1755.1366851540545
2013-03-28,1771.156431737463
2013-03-29,1772.8308541853912
2013-04-29,1841.3140134648772
2013-04-30,1860.3286669301076
2013-05-30,1806.2690938237256
2013-05-31,1799.1574973590139
2013-06-27,1716.4596385475422
2013-06-28,1756.808792255152
2013-07-30,1799.7870789121744
2013-07-31,1778.4648765896623
2013-08-29,1742.2297994451292
2013-08-30,1747.0101201882007
2013-09-27,1896.7725456588137
2013-09-30,1865.9359743988437
2013-10-30,1921.2579874183039
2013-10-31,1907.768858672238
2013-11-28,1921.900830785797
2013-11-29,1923.567195492802
2013-12-30,1917.1779482782931
2013-12-31,1919.8423158462906
2014-01-01,1919.8031399933323
2014-01-02,1912.4440349016652
2014-01-03,1902.122060677695
2014-01-06,1886.6602330756998
2014-01-07,1877.5269433936219
2014-01-08,1898.769747288031
2014-01-09,1886.0627538518545
2014-01-10,1893.967221155167
2014-01-13,1908.7657286192918
2014-01-14,1882.5105639570897
2014-01-15,1895.4374296753624
2014-01-16,1898.5673769517466
2014-01-17,1899.555703592956
2014-01-20,1895.2857409901837
2014-01-21,1896.8591488279753
2014-01-22,1903.4587983411284
2014-01-23,1890.4546153701513
2014-01-24,1875.615830850619
2014-01-27,1829.1510825880848
2014-01-28,1825.3200297428205
2014-01-29,1861.3403806655376
2014-01-30,1830.6669351875462
2014-01-31,1834.5917267588875
2014-02-03,1817.6322673745701
2014-02-04,1760.8271135064954
2014-02-05,1776.6074227061754
2014-02-06,1777.1453488593768
2014-02-07,1803.8593987611853
2014-02-10,1816.38431264192
2014-02-11,1823.002775804129
2014-02-12,1842.8619993534267
2014-02-13,1825.1440139013127
2014-02-14,1823.6557638527972
2014-02-17,1836.6634789193533
2014-02-18,1855.8542044660553
2014-02-19,1855.0654544411834
2014-02-20,1827.5766908060289
2014-02-21,1852.7093108853524
2014-02-24,1845.8780442097404
2014-02-25,1860.5795670585997
2014-02-26,1859.7646457048097
2014-02-27,1863.4842531066242
2014-02-28,1861.8718407405315
2014-03-03,1847.5289400288987
2014-03-04,1846.6616349213825
2014-03-05,1855.0103915373215
2014-03-06,1869.1866614530668
2014-03-07,1874.6353485061238
2014-03-10,1855.9553967641534
2014-03-11,1863.0391149820562
2014-03-12,1835.2280160131966
2014-03-13,1837.4154281805043
2014-03-14,1807.3022569955956
2014-03-17,1802.2537495895908
2014-03-18,1814.5330819045337
2014-03-19,1810.1000024723485
2014-03-20,1774.1293053225218
2014-03-21,1780.7043906364095
2014-03-24,1803.9373252884873
2014-03-25,1802.0818422607301
2014-03-26,1817.9872702109803
2014-03-27,1832.2896527780847
2014-03-28,1841.0530893081552
2014-03-31,1859.5719115504096
2014-04-01,1865.0976143246944
2014-04-02,1874.05522109715
2014-04-03,1876.700233901896
2014-04-04,1877.1017606293244
2014-04-07,1866.914208856575
2014-04-08,1865.5213679553729
2014-04-09,1859.0316903075825
2014-04-10,1867.9883896801398
2014-04-11,1850.1501644641398
2014-04-14,1845.9550909898012
2014-04-15,1843.8851160136744
2014-04-16,1860.983474518448
2014-04-17,1864.0791632669477
2014-04-18,1871.4474240043985
2014-04-21,1866.4988869374586
2014-04-22,1859.8001893859998
2014-04-23,1865.2049505920697
2014-04-24,1860.4712826957957
2014-04-25,1853.2273311156216
2014-04-28,1839.255059302318
2014-04-29,1845.2482069685873
2014-04-30,1843.80658158802
2014-05-01,1857.031033094731
2014-05-02,1862.8401504839692
2014-05-05,1861.0281217295217
2014-05-06,1866.7668506176853
2014-05-07,1836.707623243105
2014-05-08,1846.4035786705692
2014-05-09,1851.90312250022
2014-05-12,1851.314354891745
2014-05-13,1873.227232066128
2014-05-14,1890.711127921515
2014-05-15,1892.0467580732156
2014-05-16,1881.023957678364
2014-05-19,1880.160430847776
2014-05-20,1878.7132421424924
2014-05-21,1875.006719947555
2014-05-22,1896.275674301479
2014-05-23,1905.5305161197257
2014-05-26,1913.2237335256607
2014-05-27,1909.132219021443
2014-05-28,1921.0156939602475
2014-05-29,1922.47115848217
2014-05-30,1918.0855065275641
2014-06-02,1929.8386517570273
2014-06-03,1942.2340875761024
2014-06-04,1940.2002631781256
2014-06-05,1942.7516547910504
2014-06-06,1943.465225445638
2014-06-09,1947.3278222503616
2014-06-10,1952.4850455068347
2014-06-11,1963.1362195401211
2014-06-12,1960.9729148093982
2014-06-13,1959.7414406319256
2014-06-16,1953.5635287890505
2014-06-17,1953.1612997263705
2014-06-18,1957.4026165369764
2014-06-19,1978.0415787463953
2014-06-20,1971.0379518158322
2014-06-23,1967.209611983922
2014-06-24,1970.9552180814362
2014-06-25,1965.9641051109954
2014-06-26,1981.1516303766862
2014-06-27,1975.7632596263693
2014-06-30,1988.4607189026613
2014-07-01,1996.9494399351092
2014-07-02,2012.9500103529267
2014-07-03,2008.5103944245232
2014-07-04,2015.5841223186655
2014-07-07,2016.1943619496906
2014-07-08,2014.415918799003
2014-07-09,2002.0181576033572
2014-07-10,2001.2092119385966
2014-07-11,1991.6582573822752
2014-07-14,1999.5705433287187
2014-07-15,2009.641027389729
2014-07-16,2010.1604412049774
2014-07-17,2010.5050006377685
2014-07-18,2002.9158774968307
2014-07-21,2004.7557329747165
2014-07-22,2019.8133363452355
2014-07-23,2025.2472193892147
2014-07-24,2024.0446763506689
2014-07-25,2031.1246708948593
2014-07-28,2038.7916140061463
2014-07-29,2043.762561225451
2014-07-30,2044.0001011748602
2014-07-31,2034.7955765561735
2014-08-01,2020.6802966084422
2014-08-04,2025.0712273633535
2014-08-05,2009.1764337158752
2014-08-06,1999.926157509215
2014-08-07,2000.1776256761427
2014-08-08,1973.6530571591054
2014-08-11,2001.3429321633057
2014-08-12,2008.4405474009466
