Date,ACWI WITH PARTIAL A SHARES
2008-11-27,1027.4580522292104
2008-11-28,1036.277126067318
2008-12-30,1069.0839150687
2008-12-31,1073.818594409943
2009-01-29,1002.7954352946175
2009-01-30,982.1349364087976
2009-02-26,900.684209730049
2009-02-27,886.0257220837489
2009-03-30,944.1196512025771
2009-03-31,959.0260839195706
2009-04-29,1061.3847243059854
2009-04-30,1072.1865683379547
2009-05-28,1160.7788053187426
2009-05-29,1178.9779371062093
2009-06-29,1180.3183296046625
2009-06-30,1172.5122459499682
2009-07-30,1267.4376441826946
2009-07-31,1275.8063051212466
2009-08-28,1332.3943850475248
2009-08-31,1321.119656601783
2009-09-29,1380.0158291196235
2009-09-30,1381.7600336426897
2009-10-29,1385.0594694873203
2009-10-30,1360.5076067035852
2009-11-27,1409.331095274397
2009-11-30,1416.493365194458
2009-12-30,1447.1545109958038
2009-12-31,1445.827503393838
2010-01-28,1393.9716618452235
2010-01-29,1383.3098969362793
2010-02-25,1388.4092934759487
2010-02-26,1400.9874197980282
2010-03-30,1491.4810466414908
2010-03-31,1491.095625513137
2010-04-29,1502.6408132622444
2010-04-30,1493.5749146631924
2010-05-28,1350.6503203537757
2010-05-31,1351.9363239897982
2010-06-29,1318.816089597451
2010-06-30,1310.3050446785999
2010-07-29,1421.13313258353
2010-07-30,1416.9695252659963
2010-08-30,1371.0490192070395
2010-08-31,1367.448469196533
2010-09-29,1502.3855396792474
2010-09-30,1498.2065558302447
2010-10-28,1550.9172465325346
2010-10-29,1552.4613816373958
2010-11-29,1526.8664627160017
2010-11-30,1517.9514808665356
2010-12-30,1624.1951452711914
2010-12-31,1629.0120137255099
2011-01-28,1649.3843749584264
2011-01-31,1654.5308122539861
2011-02-25,1689.555624572069
2011-02-28,1702.6893983071238
2011-03-30,1699.874964549362
2011-03-31,1700.9750929608076
2011-04-28,1765.4529056137028
2011-04-29,1770.5551034403536
2011-05-30,1710.3953163315955
2011-05-31,1732.5451150913239
2011-06-29,1683.4698494337003
