Date,ACWI WITH CHINA ALL SHARES
2008-11-25,1000.0
2008-11-26,1016.8143232863971
2008-11-27,1027.393808680227
2008-11-28,1035.9882310364947
2008-12-01,968.0844210405753
2008-12-02,983.1334336909887
2008-12-03,998.1446598811123
2008-12-04,981.6630416462261
2008-12-05,984.9980389529686
2008-12-08,1041.1043789388057
2008-12-09,1033.4397920758502
2008-12-10,1050.0909778256566
2008-12-11,1044.0372129483071
2008-12-12,1033.4429241429127
2008-12-15,1041.6173708731594
2008-12-16,1070.3883616877288
2008-12-17,1084.5555332605963
2008-12-18,1076.3916924484781
2008-12-19,1061.8317484077604
2008-12-22,1044.2284445622502
2008-12-23,1037.306637847678
2008-12-24,1036.6294520609745
2008-12-25,1037.6862727405157
2008-12-26,1042.0217479999098
2008-12-29,1051.2815215390171
2008-12-30,1068.3903832013739
2008-12-31,1073.0722904652712
2009-01-01,1073.2795063970336
2009-01-02,1102.6718718685868
2009-01-05,1105.3892924933243
2009-01-06,1111.741495215753
2009-01-07,1099.125277695835
2009-01-08,1094.872501731638
2009-01-09,1077.027597286688
2009-01-12,1052.8211422945308
2009-01-13,1038.469505113238
2009-01-14,1008.8532162374523
2009-01-15,996.6306643822162
2009-01-16,1011.8843334478228
2009-01-19,1004.784077007892
2009-01-20,963.0889266591456
2009-01-21,979.3039671653082
2009-01-22,970.8808854617251
2009-01-23,964.3111254488065
2009-01-26,983.2192370279993
2009-01-27,996.9408343274763
2009-01-28,1025.1943475976714
2009-01-29,1003.1428210854475
2009-01-30,982.6307108795692
2009-02-02,970.1717885543227
2009-02-03,987.4727994956313
2009-02-04,994.4729595228285
2009-02-05,999.8196472469227
2009-02-06,1022.6800724338065
2009-02-09,1030.7053113610298
2009-02-10,998.153083252738
2009-02-11,995.5517961276547
2009-02-12,985.8765343562499
2009-02-13,987.5872748686828
2009-02-16,980.4393760591693
2009-02-17,939.3398911265315
2009-02-18,932.8027635457306
2009-02-19,932.6936295708372
2009-02-20,911.2961062650093
2009-02-23,896.6140149233286
2009-02-24,905.9680848459635
2009-02-25,902.4371136998624
2009-02-26,902.1976410940526
2009-02-27,887.5407390262296
2009-03-02,844.3412022668832
2009-03-03,835.5079920729394
2009-03-04,857.2327108415415
2009-03-05,833.3279841776491
2009-03-06,830.2645594314142
2009-03-09,820.1565780480446
2009-03-10,862.0116051241862
2009-03-11,869.9383284706726
2009-03-12,885.9624162685333
2009-03-13,899.5820923181091
2009-03-16,911.1882627974594
2009-03-17,925.9824359407432
2009-03-18,937.2401081023751
2009-03-19,954.934091340454
2009-03-20,940.2630693719071
2009-03-23,987.6456541725296
2009-03-24,981.6043852758111
2009-03-25,988.32807284106
2009-03-26,1004.476681968242
2009-03-27,985.3618639709496
2009-03-30,946.2437771880205
2009-03-31,961.1138639065628
2009-04-01,976.3329940634801
2009-04-02,1019.4624124922124
2009-04-03,1022.5247121191211
2009-04-06,1016.9349860517638
2009-04-07,999.3262162641397
2009-04-08,1000.9478203848403
2009-04-09,1032.5436576129623
2009-04-10,1034.0486884342704
2009-04-13,1039.881443300386
2009-04-14,1036.0686326362613
2009-04-15,1037.5323317318007
2009-04-16,1051.2367575845199
2009-04-17,1056.2247374673616
2009-04-20,1020.8217641619776
2009-04-21,1027.3336379895527
2009-04-22,1028.809144450425
2009-04-23,1037.9841307557167
