Date,ACWI WITH USA GROSS
2001-09-28,1000.0
2001-10-01,995.6500133501094
2001-10-02,1005.9136240576908
2001-10-03,1016.3502346971062
2001-10-04,1026.2832941318368
2001-10-05,1027.7799118876478
2001-10-08,1022.8022930209034
2001-10-09,1017.0386469908378
2001-10-10,1033.534024379523
2001-10-11,1046.9330970974077
2001-10-12,1045.7464592827139
2001-10-15,1038.179085633527
2001-10-16,1046.0838832654683
2001-10-17,1043.5337691811608
2001-10-18,1030.4736426654815
2001-10-19,1026.626350066169
2001-10-22,1037.4767480867065
2001-10-23,1043.1103384243866
2001-10-24,1045.6944164286467
2001-10-25,1048.939447058925
2001-10-26,1055.9808681514114
2001-10-29,1038.0557138561824
2001-10-30,1020.6917614711114
2001-10-31,1021.0590582243674
2001-11-01,1037.9782633237237
2001-11-02,1039.8407311424987
2001-11-05,1053.4735629079098
2001-11-06,1063.8323255622513
2001-11-07,1062.8002870905711
2001-11-08,1070.5684761391017
2001-11-09,1068.267158819268
2001-11-12,1059.388633645474
2001-11-13,1074.1329671842682
2001-11-14,1077.8241585799856
2001-11-15,1081.6965833663983
2001-11-16,1083.8230090636246
2001-11-19,1094.1162045846906
2001-11-20,1086.4549918556613
2001-11-21,1080.732654832944
2001-11-22,1084.3614298084367
2001-11-23,1088.7752041945666
2001-11-26,1096.0491855896046
2001-11-27,1088.8120253259212
2001-11-28,1072.736693281341
2001-11-29,1078.074142290998
2001-11-30,1083.7304486574785
2001-12-03,1073.2319738270492
2001-12-04,1085.5527230036419
2001-12-05,1110.7493627460344
2001-12-06,1113.0147042026922
2001-12-07,1103.773338745087
2001-12-10,1085.4118447608569
2001-12-11,1082.797188179106
2001-12-12,1085.4108022497874
2001-12-13,1068.030314892023
2001-12-14,1067.4763561275718
2001-12-17,1079.8124675050396
2001-12-18,1084.1059511743324
2001-12-19,1084.2776676728165
2001-12-20,1077.6898972949775
2001-12-21,1080.1899464323703
2001-12-24,1077.9288056146615
2001-12-25,1077.8399373123693
2001-12-26,1080.1950169462273
2001-12-27,1093.2856539779666
2001-12-28,1098.1321231337897
2001-12-31,1093.8259737678595
2002-01-01,1093.8338059631367
2002-01-02,1098.1987341949612
2002-01-03,1110.0497484541138
2002-01-04,1116.9981567457503
2002-01-07,1110.1423227564082
2002-01-08,1101.7930861466346
2002-01-09,1097.5483879547992
2002-01-10,1094.1157998180379
2002-01-11,1088.609121391681
2002-01-14,1079.391161259098
2002-01-15,1083.2307575906323
2002-01-16,1067.312457518726
2002-01-17,1075.9210110666218
2002-01-18,1070.4278019165597
2002-01-21,1069.2109571680096
2002-01-22,1061.8615344771051
2002-01-23,1068.2791185372178
2002-01-24,1073.4460568598656
2002-01-25,1069.6139896844898
2002-01-28,1072.3859836551942
2002-01-29,1049.747214845446
2002-01-30,1050.0247719103943
2002-01-31,1063.7871073575614
2002-02-01,1058.508095924191
2002-02-04,1041.4179061480827
2002-02-05,1033.1911710499753
2002-02-06,1026.9449978417201
2002-02-07,1029.0410763750526
2002-02-08,1039.297659963832
2002-02-11,1052.8382918688403
2002-02-12,1051.9787966274941
2002-02-13,1059.8009733221882
2002-02-14,1063.5331507273663
2002-02-15,1054.522151001586
2002-02-18,1052.0488333837918
2002-02-19,1033.4616376116214
2002-02-20,1037.319354690608
2002-02-21,1033.4575247636137
2002-02-22,1037.3355273154252
2002-02-25,1049.7334398779403
2002-02-26,1050.5882675364246
2002-02-27,1057.0572865832307
2002-02-28,1056.0432731604378
2002-03-01,1075.4643496149367
2002-03-04,1102.0967734241158
2002-03-05,1096.8108055061293
2002-03-06,1109.2351735990433
2002-03-07,1114.9962327783924
2002-03-08,1118.7137414577896
2002-03-11,1120.907790875317
2002-03-12,1112.5484222977293
2002-03-13,1104.9814273803995
2002-03-14,1108.344298441593
2002-03-15,1119.1214936457566
2002-03-18,1117.9783714390642
2002-03-19,1123.9746559911332
2002-03-20,1110.7297720030483
2002-03-21,1109.3933060511586
2002-03-22,1105.484782745716
2002-03-25,1092.3607997238512
2002-03-26,1095.8352878455403
2002-03-27,1099.5438887647106
2002-03-28,1105.504089213659
2002-03-29,1103.4805179384152
2002-04-01,1104.8495880361268
2002-04-02,1099.8560072710363
2002-04-03,1094.930676363907
2002-04-04,1093.4948588294317
2002-04-05,1091.0097431521142
2002-04-08,1085.7949795513746
2002-04-09,1080.9749613787346
2002-04-10,1091.8169140901957
2002-04-11,1072.6617634756528
2002-04-12,1075.730996618017
2002-04-15,1075.4211458619934
2002-04-16,1096.8006977605585
2002-04-17,1100.6174614496256
2002-04-18,1099.700269364397
2002-04-19,1099.4514146252704
2002-04-22,1089.1978745561482
2002-04-23,1084.3561643381063
2002-04-24,1079.9880024161125
2002-04-25,1078.6947542985
2002-04-26,1068.3345573857432
2002-04-29,1061.1349335077844
2002-04-30,1068.3580926646084
2002-05-01,1075.722743600828
2002-05-02,1073.1269553953841
2002-05-03,1069.0600978265043
2002-05-06,1056.5661069245325
2002-05-07,1048.6877950715168
2002-05-08,1077.1566125019947
2002-05-09,1067.8897368041721
2002-05-10,1056.3709457298662
2002-05-13,1068.1634048544668
2002-05-14,1080.6583465049823
2002-05-15,1084.750673621458
2002-05-16,1089.6370994892548
2002-05-17,1099.1469581357078
2002-05-20,1089.9574749610103
2002-05-21,1081.8512666266877
2002-05-22,1085.079857537233
2002-05-23,1089.109335285476
2002-05-24,1083.7309623838578
2002-05-27,1082.3816708781387
2002-05-28,1077.6803842663073
2002-05-29,1073.1296801684896
2002-05-30,1069.3759616219322
2002-05-31,1069.42634911515
2002-06-03,1054.8365270416193
2002-06-04,1049.529112746154
2002-06-05,1049.823977965569
2002-06-06,1038.839283296076
2002-06-07,1032.2741518063956
2002-06-10,1033.9337200391817
2002-06-11,1025.5952898867358
2002-06-12,1023.4783013833014
2002-06-13,1012.8782315669877
2002-06-14,1002.884521542891
2002-06-17,1024.2522032716772
2002-06-18,1026.2046522300943
2002-06-19,1010.9561723622323
2002-06-20,1000.3339701742972
2002-06-21,990.1357840263432
2002-06-24,988.130454270873
2002-06-25,983.1629780785199
2002-06-26,978.0841713118007
2002-06-27,990.5301667023965
2002-06-28,1003.9800244722106
2002-07-01,992.2806046904478
2002-07-02,971.667916058985
2002-07-03,966.9975863324413
2002-07-04,971.7059233855017
2002-07-05,1002.0260736285715
2002-07-08,998.9898869285453
2002-07-09,986.4573468401535
2002-07-10,956.9584267071349
2002-07-11,948.886920243156
2002-07-12,947.4963852658382
2002-07-15,934.4642293012347
2002-07-16,924.8816559264296
2002-07-17,935.8820900172784
2002-07-18,927.9439265459501
2002-07-19,896.4666831517119
2002-07-22,864.1294200743613
2002-07-23,842.4911733870302
2002-07-24,862.299043293341
2002-07-25,868.6206556241644
2002-07-26,871.4574865246675
2002-07-29,909.3106434895701
2002-07-30,915.8512229878394
2002-07-31,919.6290218228713
2002-08-01,893.592598607358
2002-08-02,882.5886503807599
