Date,ACWI ex HUNGARY
1998-12-31,1000.0
1999-01-01,1000.0002003528299
1999-01-04,1010.4539384499461
1999-01-05,1020.7305589789308
1999-01-06,1040.201531976121
1999-01-07,1037.3897205943226
1999-01-08,1036.3311329855483
1999-01-11,1027.162314925843
1999-01-12,1009.4973667473179
1999-01-13,994.412360062986
1999-01-14,987.174361712816
1999-01-15,1002.9613222567123
1999-01-18,1011.7612597355301
1999-01-19,1014.1443803243374
1999-01-20,1020.4396919551635
1999-01-21,1008.1977718687789
1999-01-22,992.5891296498257
1999-01-25,996.7080704645825
1999-01-26,1007.0449412988966
1999-01-27,1003.3831151623824
1999-01-28,1012.1821346601666
1999-01-29,1019.7171784348807
1999-02-01,1021.6079426670888
1999-02-02,1017.5449190832943
1999-02-03,1016.2467264527739
1999-02-04,1004.6479308446579
1999-02-05,997.56857670617
1999-02-08,995.9431003164427
1999-02-09,977.6242661116768
1999-02-10,978.5600393031236
1999-02-11,995.4127169649968
1999-02-12,990.5114137911161
1999-02-15,990.5168233527206
1999-02-16,993.4797451569443
1999-02-17,984.5859573284857
1999-02-18,988.882310930804
1999-02-19,987.7446954759314
1999-02-22,1004.2930351202011
1999-02-23,1007.0595131339292
1999-02-24,1002.2110864297169
1999-02-25,998.1629685368865
1999-02-26,993.6492428059231
1999-03-01,986.637215114196
1999-03-02,981.6516730167226
1999-03-03,979.5192001786861
1999-03-04,986.4352199514603
1999-03-05,1010.6491735840544
1999-03-08,1014.5519278569124
1999-03-09,1017.479926233409
1999-03-10,1025.8056926636455
1999-03-11,1032.4086937272236
1999-03-12,1035.8557858537176
1999-03-15,1043.106914321037
1999-03-16,1045.7409054954885
1999-03-17,1043.7561077298249
1999-03-18,1047.2628357814453
1999-03-19,1047.3343077160703
1999-03-22,1043.3943117992799
1999-03-23,1022.5404138802179
1999-03-24,1019.6819222165591
1999-03-25,1034.5945151979608
1999-03-26,1026.8207476835835
1999-03-29,1042.0832957522982
1999-03-30,1039.4530852125026
1999-03-31,1038.9327278715161
1999-04-01,1045.297922406847
1999-04-02,1044.5217572889612
1999-04-05,1053.5870599597033
1999-04-06,1060.0922850001625
1999-04-07,1067.64101549767
1999-04-08,1079.8330398737753
1999-04-09,1081.0779028516658
1999-04-12,1085.27330263541
1999-04-13,1085.8085228931152
1999-04-14,1079.5293762498782
1999-04-15,1072.260622993402
1999-04-16,1072.0159029235679
1999-04-19,1063.0564662980576
1999-04-20,1061.746674494643
1999-04-21,1072.054127313791
1999-04-22,1084.4482719788332
1999-04-23,1087.0314334925604
1999-04-26,1091.0514328940897
1999-04-27,1098.406442335351
1999-04-28,1092.904319724723
1999-04-29,1086.1294056480656
1999-04-30,1083.431737289292
1999-05-03,1092.345412747122
1999-05-04,1084.7444449810328
1999-05-05,1088.459370500245
1999-05-06,1089.5997147002959
1999-05-07,1090.424721813127
1999-05-10,1090.6371795388004
1999-05-11,1092.8411949547117
1999-05-12,1092.3009348567582
1999-05-13,1094.0655778439875
1999-05-14,1076.465108182014
1999-05-17,1067.305729559616
1999-05-18,1068.9324025472163
1999-05-19,1073.1653507709827
1999-05-20,1073.438549264251
1999-05-21,1067.7062263300713
1999-05-24,1057.1317025095395
1999-05-25,1044.0771892170546
1999-05-26,1049.914872899892
1999-05-27,1036.059668300997
1999-05-28,1044.9816051148096
1999-05-31,1045.5019950643734
1999-06-01,1045.9695383522435
1999-06-02,1047.8895499857715
1999-06-03,1051.2093483314482
1999-06-04,1065.1156861221739
1999-06-07,1072.9770753800549
1999-06-08,1071.9872552279303
1999-06-09,1074.6665614435049
1999-06-10,1068.9605739666029
1999-06-11,1070.688029056329
1999-06-14,1064.2788996991428
1999-06-15,1067.517948329046
1999-06-16,1081.3135549432388
1999-06-17,1089.5254645839038
1999-06-18,1092.6609496682263
1999-06-21,1098.396784869045
1999-06-22,1092.8094263942928
1999-06-23,1085.1048217504137
1999-06-24,1075.3137677580037
1999-06-25,1077.36164526719
1999-06-28,1083.845870739107
1999-06-29,1091.9961189622857
1999-06-30,1097.725953199058
1999-07-01,1111.1670461084263
1999-07-02,1119.463859892478
1999-07-05,1127.6075493738658
1999-07-06,1124.492548738948
1999-07-07,1122.6208616976223
1999-07-08,1118.7385891179565
1999-07-09,1122.5565989043328
1999-07-12,1121.1748997088273
1999-07-13,1115.6577468863907
1999-07-14,1121.0034835386919
1999-07-15,1132.5572358969484
1999-07-16,1133.114448818751
1999-07-19,1129.8923339690425
1999-07-20,1116.763365363762
1999-07-21,1114.6004269705918
1999-07-22,1102.1368900965142
1999-07-23,1092.9110410396704
1999-07-26,1089.1533332358074
1999-07-27,1096.61848398179
1999-07-28,1101.3739480579554
1999-07-29,1090.1896480344349
1999-07-30,1092.4299081848767
1999-08-02,1089.0576684123505
1999-08-03,1086.8013146057608
1999-08-04,1080.348359384514
1999-08-05,1074.5291616443103
1999-08-06,1066.6457894987757
1999-08-09,1064.5560422486594
1999-08-10,1054.410445798011
1999-08-11,1061.3744491716716
1999-08-12,1068.2411877126187
1999-08-13,1083.2452790367656
1999-08-16,1090.7727958042735
1999-08-17,1094.748943005789
1999-08-18,1093.0521103994442
1999-08-19,1088.8282419095744
1999-08-20,1101.8000104873777
1999-08-23,1117.5656390151905
1999-08-24,1116.6505394257288
1999-08-25,1125.359726963245
1999-08-26,1114.4835328692843
1999-08-27,1109.2079339236116
1999-08-30,1101.0268710986647
1999-08-31,1091.1084447810774
1999-09-01,1102.532332822802
1999-09-02,1095.975156177596
1999-09-03,1115.0117876651884
1999-09-06,1120.1152618694234
1999-09-07,1113.927349218387
1999-09-08,1110.4746172953219
1999-09-09,1118.5936687961012
1999-09-10,1118.905352852548
1999-09-13,1115.9505493739937
1999-09-14,1111.6498893190944
1999-09-15,1102.0930874468822
1999-09-16,1095.8958709029714
1999-09-17,1101.2487942692628
1999-09-20,1105.1076275869186
1999-09-21,1095.6197181433117
1999-09-22,1090.6090479905824
1999-09-23,1078.7069226373046
1999-09-24,1069.949520082224
1999-09-27,1072.9477601243652
1999-09-28,1074.861878326698
1999-09-29,1068.335396450615
1999-09-30,1079.1340745029274
1999-10-01,1080.489833179369
1999-10-04,1092.0093158010807
1999-10-05,1091.6478818157193
1999-10-06,1103.797325263457
1999-10-07,1106.7645966704094
1999-10-08,1112.181899512613
1999-10-11,1114.054494431563
1999-10-12,1104.607186808893
1999-10-13,1086.5046025936892
1999-10-14,1086.8595579379737
1999-10-15,1066.7199252606108
1999-10-18,1060.7459129418928
1999-10-19,1070.112637351716
1999-10-20,1084.125398978448
1999-10-21,1081.6062791373065
1999-10-22,1093.1349433207718
1999-10-25,1090.0257608858494
1999-10-26,1087.796037003035
1999-10-27,1089.2904917806811
1999-10-28,1112.488483567124
1999-10-29,1132.9803623056464
1999-11-01,1129.7542536821682
1999-11-02,1127.864609712464
1999-11-03,1131.2660984000884
1999-11-04,1139.7277189484416
1999-11-05,1140.8329367650545
1999-11-08,1142.5315451739418
1999-11-09,1141.3703315280584
1999-11-10,1149.6882863005617
1999-11-11,1156.3552616080774
1999-11-12,1160.0979111055485
1999-11-15,1162.2325145626378
1999-11-16,1173.0756254437754
1999-11-17,1172.8334214887777
1999-11-18,1182.1372412107637
1999-11-19,1181.931755026361
1999-11-22,1182.3896707778258
1999-11-23,1179.0110295664522
1999-11-24,1179.648030970245
1999-11-25,1185.53631124597
1999-11-26,1189.4665168736854
1999-11-29,1184.9949874235976
1999-11-30,1167.7464798168528
1999-12-01,1175.6141523160213
1999-12-02,1181.0265262863104
1999-12-03,1198.8749420652612
1999-12-06,1203.1197816517745
1999-12-07,1201.5989586407418
1999-12-08,1197.4382226621312
1999-12-09,1201.156567199658
1999-12-10,1205.4906919959785
1999-12-13,1204.377893603404
1999-12-14,1196.346405565135
1999-12-15,1197.0436683089852
1999-12-16,1206.6500200683809
1999-12-17,1210.4081035785405
1999-12-20,1214.1946752399435
