Date,ACWI ex NEW ZEALAND
1998-12-31,1000.0
1999-01-01,1000.0002003946205
1999-01-04,1010.4589086644819
1999-01-05,1020.7004536687489
1999-01-06,1040.161675307866
1999-01-07,1037.3811852612407
1999-01-08,1036.3315929185299
1999-01-11,1027.127302096793
1999-01-12,1009.4684397399382
1999-01-13,994.3371887765134
1999-01-14,987.1041966273045
1999-01-15,1002.852927042459
1999-01-18,1011.6983973140552
1999-01-19,1014.0705968076334
1999-01-20,1020.3773526000587
1999-01-21,1008.1162481088924
1999-01-22,992.5016072688579
1999-01-25,996.6642232964724
1999-01-26,1006.9887618495842
1999-01-27,1003.3343136117221
1999-01-28,1012.143965308207
1999-01-29,1019.675522852874
1999-02-01,1021.5461787911563
1999-02-02,1017.4705023136421
1999-02-03,1016.1509399170899
1999-02-04,1004.5607542172986
1999-02-05,997.4742369443134
1999-02-08,995.8418087131282
1999-02-09,977.5280984004946
1999-02-10,978.5085446273993
1999-02-11,995.3526885963518
1999-02-12,990.4364309248499
1999-02-15,990.4552826505947
1999-02-16,993.4315980881464
1999-02-17,984.4959258986382
1999-02-18,988.7780497227006
1999-02-19,987.5695428348672
1999-02-22,1004.0856376978378
1999-02-23,1006.8598956392161
1999-02-24,1002.0594685966076
1999-02-25,998.0246639082791
1999-02-26,993.5068177031112
1999-03-01,986.5099079656155
1999-03-02,981.5105559948964
1999-03-03,979.3571763896988
1999-03-04,986.253935091934
1999-03-05,1010.4754711102688
1999-03-08,1014.4224949722418
1999-03-09,1017.3759450158224
1999-03-10,1025.705952208867
1999-03-11,1032.3158984534234
1999-03-12,1035.75336409249
1999-03-15,1042.9997974784712
1999-03-16,1045.6279855073485
1999-03-17,1043.6495098349387
1999-03-18,1047.1420752101978
1999-03-19,1047.2113680679627
1999-03-22,1043.260824749028
1999-03-23,1022.3839734512998
1999-03-24,1019.5332903646578
1999-03-25,1034.4659959173962
1999-03-26,1026.6748877130146
1999-03-29,1041.9335800086246
1999-03-30,1039.3006305963934
1999-03-31,1038.7838881614227
1999-04-01,1045.1413719307955
1999-04-02,1044.3742550453044
1999-04-05,1053.441179067265
1999-04-06,1059.96502154597
1999-04-07,1067.533625791078
1999-04-08,1079.738432857146
1999-04-09,1080.9538706558417
1999-04-12,1085.141041092608
1999-04-13,1085.6637090252734
1999-04-14,1079.3854369471558
1999-04-15,1072.1081298739273
1999-04-16,1071.8293861459974
1999-04-19,1062.8548969421765
1999-04-20,1061.561730859788
1999-04-21,1071.8786684733113
1999-04-22,1084.2646530753232
1999-04-23,1086.844254979447
1999-04-26,1090.8607630341867
1999-04-27,1098.1992818438546
1999-04-28,1092.6790285317256
1999-04-29,1085.8728550597464
1999-04-30,1083.1826901135537
1999-05-03,1092.1186477453355
1999-05-04,1084.5372079023427
1999-05-05,1088.2809616575253
1999-05-06,1089.4303842667007
1999-05-07,1090.2635947643319
1999-05-10,1090.475812827445
1999-05-11,1092.6895206240104
1999-05-12,1092.1451085933659
1999-05-13,1093.8928500433738
1999-05-14,1076.2807272237299
1999-05-17,1067.1376155784453
1999-05-18,1068.7822686796442
1999-05-19,1073.0478671266278
1999-05-20,1073.3413868831096
1999-05-21,1067.6024585033658
1999-05-24,1057.0236744780727
1999-05-25,1043.9973023685932
1999-05-26,1049.850603583956
1999-05-27,1035.9678202266873
1999-05-28,1044.8842571807743
1999-05-31,1045.4513438389292
1999-06-01,1045.9027745907283
1999-06-02,1047.7853020755338
1999-06-03,1051.1180524267318
1999-06-04,1065.01061399512
1999-06-07,1072.8615428329592
1999-06-08,1071.8927658161015
1999-06-09,1074.567444014945
1999-06-10,1068.8548278580765
1999-06-11,1070.5762254271299
1999-06-14,1064.1611935308167
1999-06-15,1067.4205687359783
1999-06-16,1081.2174658802435
1999-06-17,1089.4207786399684
1999-06-18,1092.5937404115855
1999-06-21,1098.3312302060772
1999-06-22,1092.7337933290564
1999-06-23,1085.0103363640114
1999-06-24,1075.2000259991596
1999-06-25,1077.2405277977216
1999-06-28,1083.7305070792481
1999-06-29,1091.8744131587891
1999-06-30,1097.620247034366
1999-07-01,1111.0693123747517
1999-07-02,1119.3659191831446
1999-07-05,1127.5253123326745
1999-07-06,1124.4185966076689
1999-07-07,1122.547552077066
1999-07-08,1118.6608006425583
1999-07-09,1122.4884463187627
1999-07-12,1121.1273056438836
1999-07-13,1115.607400651391
1999-07-14,1120.96747443227
1999-07-15,1132.5117961452831
1999-07-16,1133.0765432920828
