Date,AC ASIA ex JAPAN WITH PARTIAL A SHARES
2008-11-27,1055.490609045218
2008-11-28,1070.5089426137486
2008-12-30,1172.273610242933
2008-12-31,1175.5723012202172
2009-01-29,1105.1779748523736
2009-01-30,1112.425383885376
2009-02-26,1048.2449668178328
2009-02-27,1040.59916380958
2009-03-30,1171.8722409143138
2009-03-31,1184.0253815329718
2009-04-29,1319.1571154288076
2009-04-30,1381.239651291647
2009-05-28,1580.6555180486516
2009-05-29,1602.135276820156
2009-06-29,1602.549281581755
2009-06-30,1596.7678404325593
2009-07-30,1775.2901414691544
2009-07-31,1805.0375194020792
2009-08-28,1769.0408861714639
2009-08-31,1742.7573135374237
2009-09-29,1887.1830885861743
2009-09-30,1896.7379589400916
2009-10-29,1867.4519102230488
2009-10-30,1888.0858455794732
2009-11-27,1898.0558397000011
2009-11-30,1939.6824134565036
2009-12-30,2001.8873254648465
2009-12-31,2023.6584396784183
2010-01-28,1920.0130811668262
2010-01-29,1900.9110251018426
2010-02-25,1895.6329265355823
2010-02-26,1911.5516916553297
2010-03-30,2061.563484867992
2010-03-31,2049.664034321789
2010-04-29,2067.909620616996
2010-04-30,2091.1792295783894
2010-05-28,1901.650776522075
2010-05-31,1915.0008178776889
2010-06-29,1953.3251862780783
2010-06-30,1946.9941247242846
2010-07-29,2067.3300180498636
2010-07-30,2060.787787711464
2010-08-30,2055.354430063927
2010-08-31,2037.155604627615
2010-09-29,2262.9997319758145
2010-09-30,2266.6027143359433
2010-10-28,2335.6337612889574
2010-10-29,2327.9452834735853
2010-11-29,2307.444027352139
2010-11-30,2294.175676445659
2010-12-30,2411.61851963124
2010-12-31,2419.962812735193
2011-01-28,2421.5807247150888
2011-01-31,2396.047375248336
2011-02-25,2294.7865262899854
2011-02-28,2304.1898272976828
2011-03-30,2427.073701093949
2011-03-31,2447.6998109260517
2011-04-28,2545.8086975666924
2011-04-29,2540.0441465929025
2011-05-30,2462.4316493174206
2011-05-31,2506.437691757071
2011-06-29,2414.9890683791873
2011-06-30,2449.069619170524
2011-07-28,2499.666450188613
2011-07-29,2476.8600128195076
2011-08-30,2194.2849318716558
2011-08-31,2232.80848001022
2011-09-29,1964.3505904699268
2011-09-30,1939.18982039439
2011-10-28,2192.9656384764435
2011-10-31,2170.9230585586015
2011-11-29,1997.2173306260063
2011-11-30,1990.9853213192966
2011-12-29,2000.6013272962145
2011-12-30,2002.333224529021
2012-01-30,2184.7959352302682
2012-01-31,2216.42973138599
2012-02-28,2317.4732435640526
2012-02-29,2349.118607028469
2012-03-29,2262.8821028264083
2012-03-30,2274.8738031248745
2012-04-27,2253.3576701563566
2012-04-30,2276.5607843623616
2012-05-30,2065.7418159561585
