Date,GOLDEN DRAGON WITH CHINA ALL SHARES
2008-11-25,1000.0
2008-11-26,1020.1119967883452
2008-11-27,1044.1858061159414
2008-11-28,1055.5091089290434
2008-12-01,1069.7652746435733
2008-12-02,1029.3692329212897
2008-12-03,1043.518988370517
2008-12-04,1041.0398729883789
2008-12-05,1054.5238967747025
2008-12-08,1127.3631550643001
2008-12-09,1116.4532501779024
2008-12-10,1171.6477655407502
2008-12-11,1169.4226827243706
2008-12-12,1111.3805652147792
2008-12-15,1135.614942552247
2008-12-16,1143.5163389107583
2008-12-17,1169.1404177426323
2008-12-18,1186.773976137616
2008-12-19,1172.6748861769386
2008-12-22,1134.877779453812
2008-12-23,1094.3774447060207
2008-12-24,1090.9746704494871
2008-12-25,1088.46781982369
2008-12-26,1089.2049206903257
2008-12-29,1098.1572265063062
2008-12-30,1106.0040720831057
2008-12-31,1113.9047862216678
2009-01-01,1113.9047862216678
2009-01-02,1140.8231805380424
2009-01-05,1179.1957762148716
2009-01-06,1185.517884814596
2009-01-07,1166.5511826065776
2009-01-08,1113.8988411905373
2009-01-09,1110.275529110534
2009-01-12,1084.355158725006
2009-01-13,1071.4677404372578
2009-01-14,1084.8123510379019
2009-01-15,1050.8836023240951
2009-01-16,1061.7938871924218
2009-01-19,1071.2535117798805
2009-01-20,1050.618428566557
2009-01-21,1034.545017745057
2009-01-22,1038.0084129540742
2009-01-23,1031.3700623467898
2009-01-26,1031.393044302022
2009-01-27,1031.1479950616726
2009-01-28,1031.2283795621336
2009-01-29,1054.9302686421827
2009-01-30,1065.9391956448524
2009-02-02,1049.0933644222393
2009-02-03,1058.6608927715629
2009-02-04,1080.8164234955914
2009-02-05,1084.313785832306
2009-02-06,1118.4185821553356
2009-02-09,1130.4634426311368
2009-02-10,1136.0175369956028
2009-02-11,1125.64526309843
2009-02-12,1102.074771414042
2009-02-13,1131.1856770686104
2009-02-16,1132.7426625555368
2009-02-17,1093.2638581381227
2009-02-18,1087.4691502644123
2009-02-19,1093.8876875456413
2009-02-20,1075.1454107791606
2009-02-23,1104.6010522213112
2009-02-24,1072.1022723563522
2009-02-25,1084.750276979732
2009-02-26,1065.9586900472566
2009-02-27,1060.2521541135025
2009-03-02,1026.6714975240275
2009-03-03,1025.940598607973
2009-03-04,1064.7783791636066
2009-03-05,1066.9520634800008
2009-03-06,1056.0572159538733
2009-03-09,1037.226132402315
2009-03-10,1053.8093127513898
2009-03-11,1069.5461635112356
2009-03-12,1068.531046192144
2009-03-13,1099.0619067518824
2009-03-16,1127.4938074509266
2009-03-17,1130.067390018647
2009-03-18,1139.552625420014
2009-03-19,1151.7811373136192
2009-03-20,1132.5614643310828
2009-03-23,1182.5734183542158
2009-03-24,1204.3630685732237
2009-03-25,1192.690167243616
2009-03-26,1226.9788332508808
2009-03-27,1229.4465864011108
2009-03-30,1183.2614758511204
2009-03-31,1192.8513999201598
2009-04-01,1202.2454094353784
2009-04-02,1257.2291324322775
2009-04-03,1261.696803072919
2009-04-06,1280.7541732485147
2009-04-07,1272.2284401269367
2009-04-08,1234.4074482892486
2009-04-09,1269.6684853209192
2009-04-10,1281.2761390793266
2009-04-13,1292.984257556234
2009-04-14,1325.9269263268066
2009-04-15,1331.5694719854096
2009-04-16,1332.3821738910303
2009-04-17,1317.1325031059387
2009-04-20,1335.2147405070834
2009-04-21,1318.1470447615695
2009-04-22,1291.6177217914726
2009-04-23,1309.0893976786338
2009-04-24,1311.9351484955666
2009-04-27,1274.135009609893
2009-04-28,1255.042615802161
