Date,ACWI ex PORTUGAL
1998-12-31,1000.0
1999-01-01,1000.0002009438587
1999-01-04,1010.3660254186672
1999-01-05,1020.6235239672679
1999-01-06,1040.0538583261732
1999-01-07,1037.3409847484527
1999-01-08,1036.3213735205518
1999-01-11,1027.1348164464002
1999-01-12,1009.456508879053
1999-01-13,994.3243876682036
1999-01-14,987.0691524226863
1999-01-15,1002.8502556381122
1999-01-18,1011.6881503932068
1999-01-19,1014.0914273911495
1999-01-20,1020.3960738497351
1999-01-21,1008.0597902616482
1999-01-22,992.449325901649
1999-01-25,996.5842072681774
1999-01-26,1006.9163670610548
1999-01-27,1003.2910505142194
1999-01-28,1012.1279834398811
1999-01-29,1019.6831316559471
1999-02-01,1021.576168338421
1999-02-02,1017.4958532636261
1999-02-03,1016.2026461351539
1999-02-04,1004.6067547414393
1999-02-05,997.5015410779351
1999-02-08,995.9271836583196
1999-02-09,977.5891921714957
1999-02-10,978.5239572220701
1999-02-11,995.396805826685
1999-02-12,990.4980150907046
1999-02-15,990.5078375896993
1999-02-16,993.4933160731521
1999-02-17,984.5758604287362
1999-02-18,988.888425467124
1999-02-19,987.7459861037453
1999-02-22,1004.3166724813151
1999-02-23,1007.0870334655277
1999-02-24,1002.2711412296179
1999-02-25,998.2052118071643
1999-02-26,993.6718015119794
1999-03-01,986.6562262913817
1999-03-02,981.6804755414172
1999-03-03,979.5435752138636
1999-03-04,986.5010594344427
1999-03-05,1010.7486129626816
1999-03-08,1014.7173047287399
1999-03-09,1017.727766309645
1999-03-10,1026.1349824984425
1999-03-11,1032.7349922519786
1999-03-12,1036.1968701791025
1999-03-15,1043.4491692688614
1999-03-16,1046.1162009585792
1999-03-17,1044.155102373241
1999-03-18,1047.7018414729043
1999-03-19,1047.7611040102604
1999-03-22,1043.7650227102845
1999-03-23,1022.8273052087912
1999-03-24,1019.9602951144215
1999-03-25,1034.8729493817086
1999-03-26,1027.085035660309
1999-03-29,1042.400496748642
1999-03-30,1039.7546509127699
1999-03-31,1039.2334619035228
1999-04-01,1045.5759176260783
1999-04-02,1044.8081389305507
1999-04-05,1053.910044802026
1999-04-06,1060.402253705112
1999-04-07,1067.9561885704768
1999-04-08,1080.173011392105
1999-04-09,1081.4313228986578
1999-04-12,1085.6547116389336
1999-04-13,1086.199169328946
1999-04-14,1079.9240277845215
1999-04-15,1072.6897203112328
1999-04-16,1072.5252527962496
1999-04-19,1063.5512538459793
1999-04-20,1062.2899606813216
1999-04-21,1072.617432858161
1999-04-22,1085.0360549470297
1999-04-23,1087.625025318266
1999-04-26,1091.6673599168084
1999-04-27,1099.0054403647148
1999-04-28,1093.4745371050903
1999-04-29,1086.7111846682549
1999-04-30,1084.0236698688936
1999-05-03,1092.9628669952344
1999-05-04,1085.3891497835455
1999-05-05,1089.1281611912032
1999-05-06,1090.2733909101669
1999-05-07,1091.0275500390255
1999-05-10,1091.149790143225
1999-05-11,1093.354157257025
1999-05-12,1092.8448303899966
1999-05-13,1094.6081773240323
1999-05-14,1076.9506876678574
1999-05-17,1067.8323667914103
1999-05-18,1069.4399846706392
1999-05-19,1073.673076069122
1999-05-20,1073.953068842131
1999-05-21,1068.2368395102853
1999-05-24,1057.6294141269043
1999-05-25,1044.5138630869883
1999-05-26,1050.388688896725
1999-05-27,1036.4788950648735
1999-05-28,1045.4171470196557
1999-05-31,1045.946316282124
1999-06-01,1046.4174682843197
1999-06-02,1048.3664845554842
1999-06-03,1051.7048530364282
1999-06-04,1065.6664071790422
1999-06-07,1073.5128928244176
1999-06-08,1072.488399966817
1999-06-09,1075.1824805100277
1999-06-10,1069.453926028732
1999-06-11,1071.2035033241443
1999-06-14,1064.8130988489515
1999-06-15,1068.0739740750923
1999-06-16,1081.9533293177165
1999-06-17,1090.173038602408
1999-06-18,1093.309765420042
1999-06-21,1099.0661218868204
1999-06-22,1093.470647474592
1999-06-23,1085.772430964987
1999-06-24,1075.9867973855437
1999-06-25,1078.0317970637388
1999-06-28,1084.5375565813308
1999-06-29,1092.6891592418724
1999-06-30,1098.4019776633645
1999-07-01,1111.9044675271923
1999-07-02,1120.238821989489
1999-07-05,1128.3897572376575
1999-07-06,1125.2830858674242
1999-07-07,1123.4294202411995
1999-07-08,1119.5665065643207
1999-07-09,1123.419689598959
1999-07-12,1122.0398105049908
1999-07-13,1116.4993033136234
1999-07-14,1121.8791039339185
1999-07-15,1133.451774325805
1999-07-16,1134.0006364954959
1999-07-19,1130.7404391089603
1999-07-20,1117.5452275122936
1999-07-21,1115.350331253092
1999-07-22,1102.8685207708854
1999-07-23,1093.6440338554082
1999-07-26,1089.8369434480733
