Date,ACWI + FRONTIER MARKETS (ACWI FM)
2002-05-31,519.4426436989946
2002-06-03,512.1755653164538
2002-06-04,509.54476583669646
2002-06-05,509.83214882780084
2002-06-06,504.2949892355676
2002-06-07,501.4358637984721
2002-06-10,502.1046427142009
2002-06-11,497.8690971408025
2002-06-12,496.99439942205794
2002-06-13,491.8614715985548
2002-06-14,487.2747624546006
2002-06-17,497.762188962237
2002-06-18,498.6111228190175
2002-06-19,491.3119929559984
2002-06-20,486.23364165397123
2002-06-21,481.16140298023623
2002-06-24,480.12931511877
2002-06-25,477.4745696649051
2002-06-26,475.1439992785769
2002-06-27,481.15301849538366
2002-06-28,487.4605375107135
2002-07-01,481.5250017187656
2002-07-02,471.40714270942163
2002-07-03,469.4227895550414
2002-07-04,471.60567960171903
2002-07-05,486.46815595405286
2002-07-08,484.783505396279
2002-07-09,478.4602611545683
2002-07-10,464.1761299402935
2002-07-11,460.49940235959957
2002-07-12,459.7293926792088
2002-07-15,453.40207590586004
2002-07-16,448.772640164279
2002-07-17,453.8750106424737
2002-07-18,449.6412741083083
2002-07-19,434.51212535848583
2002-07-22,418.8830097129439
2002-07-23,408.38160262554584
2002-07-24,418.8310255940557
2002-07-25,421.8555373425777
2002-07-26,423.3775475250653
2002-07-29,442.10837109910807
2002-07-30,445.2757346515833
2002-07-31,447.28656728890525
2002-08-01,434.6797079011192
2002-08-02,429.28104987944124
2002-08-05,416.7643471987091
2002-08-06,424.46092678591157
2002-08-07,430.58746847563873
2002-08-08,442.910376411305
2002-08-09,447.0722912630612
2002-08-12,443.4345128240977
2002-08-13,439.1312161978271
2002-08-14,447.87542034676915
2002-08-15,454.0787636177214
2002-08-16,454.92323798290425
2002-08-19,462.46353176870883
2002-08-20,456.93082580353496
2002-08-21,462.4089773212797
2002-08-22,467.95782724503556
2002-08-23,460.1509744241735
2002-08-26,461.99688710184574
2002-08-27,461.014267445777
2002-08-28,451.01528487257633
2002-08-29,448.72490855771724
2002-08-30,449.0581188707977
2002-09-02,447.0475416289296
2002-09-03,431.7694288098366
2002-09-04,435.1321358010321
2002-09-05,431.0609735297047
2002-09-06,437.3481563104335
2002-09-09,438.70542456226565
2002-09-10,442.7400835563333
2002-09-11,445.0758975715096
2002-09-12,435.2559751144207
2002-09-13,432.8874112989054
2002-09-16,431.63767911109994
2002-09-17,426.5629630146574
2002-09-18,421.8358206973411
2002-09-19,413.6109349815813
2002-09-20,412.7899562866155
2002-09-23,405.4652543982249
2002-09-24,399.19302757246135
2002-09-25,405.7371727023466
2002-09-26,415.3309937567236
2002-09-27,408.34225354802777
2002-09-30,400.9389005046642
2002-10-01,410.3282168723962
2002-10-02,407.2098711170061
2002-10-03,402.94563731577347
2002-10-04,395.2094020241864
