Date,ACWI ex MALAYSIA
1998-12-31,1000.0
1999-01-01,1000.0002002293091
1999-01-04,1010.4543410339357
1999-01-05,1020.7250830926525
1999-01-06,1040.1815920670213
1999-01-07,1037.4288201824302
1999-01-08,1036.3746366428572
1999-01-11,1027.2002777098892
1999-01-12,1009.5435786297222
1999-01-13,994.3980883443297
1999-01-14,987.173276222491
1999-01-15,1002.9157530238554
1999-01-18,1011.7683743208918
1999-01-19,1014.1549616160603
1999-01-20,1020.4714203816557
1999-01-21,1008.2223854650375
1999-01-22,992.6005038183504
1999-01-25,996.7418106924121
1999-01-26,1007.0645930802779
1999-01-27,1003.4069705216319
1999-01-28,1012.2026687389931
1999-01-29,1019.7385474405469
1999-02-01,1021.6302223379771
1999-02-02,1017.5645571544324
1999-02-03,1016.2654230601188
1999-02-04,1004.6834732143212
1999-02-05,997.5971937192994
1999-02-08,995.9652997589415
1999-02-09,977.6487115905629
1999-02-10,978.586432536046
1999-02-11,995.4372576732055
1999-02-12,990.5411711902221
1999-02-15,990.5381197619431
1999-02-16,993.4996143434233
1999-02-17,984.5890661648091
1999-02-18,988.869418506829
1999-02-19,987.7067240151943
1999-02-22,1004.2217683805948
1999-02-23,1006.9666603423402
1999-02-24,1002.1429323130011
1999-02-25,998.097158500638
1999-02-26,993.5902238280595
1999-03-01,986.5822969199019
1999-03-02,981.5889070708298
1999-03-03,979.4402723875812
1999-03-04,986.3311023226108
1999-03-05,1010.5398224754465
1999-03-08,1014.4864510437985
1999-03-09,1017.4312082714088
1999-03-10,1025.7491916806057
1999-03-11,1032.342285058893
1999-03-12,1035.7904256621941
1999-03-15,1043.0368017146725
1999-03-16,1045.6632866342618
1999-03-17,1043.6749840756167
1999-03-18,1047.1574784075062
1999-03-19,1047.231634407338
1999-03-22,1043.2854234550664
1999-03-23,1022.4296252972708
1999-03-24,1019.5675630470939
1999-03-25,1034.4848832713228
1999-03-26,1026.7007054538058
1999-03-29,1041.9444090673612
1999-03-30,1039.3163378217841
1999-03-31,1038.8153469681104
1999-04-01,1045.1774380532454
1999-04-02,1044.4058837506986
1999-04-05,1053.4638903082705
1999-04-06,1059.9688488971442
1999-04-07,1067.5177242436373
1999-04-08,1079.7193044134958
1999-04-09,1080.9694555560309
1999-04-12,1085.1500003549486
1999-04-13,1085.676151652906
1999-04-14,1079.4052106842234
1999-04-15,1072.1356082833518
1999-04-16,1071.8985810394831
1999-04-19,1062.9427586314805
1999-04-20,1061.641480427957
1999-04-21,1071.950126222783
1999-04-22,1084.340112938481
1999-04-23,1086.9229451320043
1999-04-26,1090.9395324664047
1999-04-27,1098.294613741353
1999-04-28,1092.7870933835613
1999-04-29,1086.0062288585764
1999-04-30,1083.3151839697382
1999-05-03,1092.2310844390886
1999-05-04,1084.6545658213527
1999-05-05,1088.3729576010164
1999-05-06,1089.543409984704
1999-05-07,1090.3566804263528
1999-05-10,1090.5665009099196
1999-05-11,1092.7684106786492
