Date,ACWI ex NORWAY
1998-12-31,1000.0
1999-01-01,1000.0002005781172
1999-01-04,1010.349756439903
1999-01-05,1020.607270823844
1999-01-06,1040.0483879034193
1999-01-07,1037.3215495095255
1999-01-08,1036.2180246463338
1999-01-11,1027.0400807550616
1999-01-12,1009.3972335254133
1999-01-13,994.3334897307479
1999-01-14,987.0683882297969
1999-01-15,1002.8492158821701
1999-01-18,1011.6795911050931
1999-01-19,1014.0564634500415
1999-01-20,1020.4115451214632
1999-01-21,1008.1497799581033
1999-01-22,992.5192841146519
1999-01-25,996.6675886420674
1999-01-26,1007.0073833049685
1999-01-27,1003.3197014290878
1999-01-28,1012.0837621274518
1999-01-29,1019.5953138809678
1999-02-01,1021.4677712815119
1999-02-02,1017.4211091657523
1999-02-03,1016.1019569428792
1999-02-04,1004.5228870822593
1999-02-05,997.4175871079937
1999-02-08,995.7805127263025
1999-02-09,977.4668120740073
1999-02-10,978.4135352556356
1999-02-11,995.3013043153692
1999-02-12,990.3829442224367
1999-02-15,990.3966583449845
1999-02-16,993.377544912713
1999-02-17,984.5002364947745
1999-02-18,988.7979140989012
1999-02-19,987.6571117343079
1999-02-22,1004.2234576458354
1999-02-23,1006.954567599562
1999-02-24,1002.1313862845951
1999-02-25,998.0843750015416
1999-02-26,993.5797520383153
1999-03-01,986.550758070151
1999-03-02,981.5360243892004
1999-03-03,979.3550471665968
1999-03-04,986.267525542518
1999-03-05,1010.4679173223453
1999-03-08,1014.4358529186737
1999-03-09,1017.3911207473235
1999-03-10,1025.694691122514
1999-03-11,1032.2831176755622
1999-03-12,1035.6763773607393
1999-03-15,1042.963910889243
1999-03-16,1045.6073750271673
1999-03-17,1043.5991157508995
1999-03-18,1047.0604457104748
1999-03-19,1047.132417478309
1999-03-22,1043.2103587707995
1999-03-23,1022.323371847537
1999-03-24,1019.4701025363718
1999-03-25,1034.3897688692662
1999-03-26,1026.6152022489375
1999-03-29,1041.8485829310914
1999-03-30,1039.2142367153995
1999-03-31,1038.7154276643532
1999-04-01,1045.0855903115846
1999-04-02,1044.3167805086284
1999-04-05,1053.4023601813735
1999-04-06,1059.9020533289784
1999-04-07,1067.4716027117568
1999-04-08,1079.7052617461186
1999-04-09,1080.9489582078313
