Date,AC AP ex JP WITH PARTIAL A SHARES
2008-11-27,1042.8279782559057
2008-11-28,1063.0143784070508
2008-12-30,1146.2965454592902
2008-12-31,1156.7649853939868
2009-01-29,1073.1991328770646
2009-01-30,1069.6072319956002
2009-02-26,1018.9243850602835
2009-02-27,1007.894891632773
2009-03-30,1144.5526357419874
2009-03-31,1157.5261951325747
2009-04-29,1275.6301499200117
2009-04-30,1333.1645929792141
2009-05-28,1494.6324641787946
2009-05-29,1524.6710080204998
2009-06-29,1534.9204460296135
2009-06-30,1540.0048415578444
2009-07-30,1700.3686603406281
2009-07-31,1729.3717554248285
2009-08-28,1741.8802516983856
2009-08-31,1722.098074192303
2009-09-29,1874.5017520511394
2009-09-30,1887.5895418395492
2009-10-29,1865.7383889836458
2009-10-30,1881.888760917706
2009-11-27,1884.7665733383221
2009-11-30,1934.7142670638189
2009-12-30,1980.452621456481
2009-12-31,2003.9853989277608
2010-01-28,1907.6967989680454
2010-01-29,1877.2380134837263
2010-02-25,1877.5150525448698
2010-02-26,1902.224206522879
2010-03-30,2059.481547808551
2010-03-31,2045.3231799996142
2010-04-29,2050.588282460379
2010-04-30,2071.922889886596
2010-05-28,1848.4659812711207
2010-05-31,1849.5783796522132
2010-06-29,1876.2743388681638
2010-06-30,1862.0715036276667
2010-07-29,2006.7809865606366
2010-07-30,2000.327974719255
2010-08-30,1989.298229752544
2010-08-31,1967.1913171720873
2010-09-29,2206.7427242932645
2010-09-30,2200.9008014680244
2010-10-28,2268.2893573219512
2010-10-29,2261.667768348509
2010-11-29,2230.534144088386
2010-11-30,2217.1539622566224
2010-12-30,2359.421778184883
2010-12-31,2366.7595530292406
2011-01-28,2354.4298720059724
2011-01-31,2335.6349602186588
2011-02-25,2288.1935174269233
2011-02-28,2296.4025360360943
2011-03-30,2395.8046932043667
2011-03-31,2414.448999100843
2011-04-28,2527.318253469873
2011-04-29,2518.39460383084
2011-05-30,2425.536580574833
2011-05-31,2461.221714089401
2011-06-29,2373.6937202815493
2011-06-30,2412.5608277730103
2011-07-28,2443.9749880837976
2011-07-29,2419.7359648982083
2011-08-30,2180.5407533716875
2011-08-31,2214.7505929488675
2011-09-29,1938.8067707933387
2011-09-30,1915.472348420614
2011-10-28,2198.4008772725106
2011-10-31,2168.3357623878483
2011-11-29,1986.0543472474887
2011-11-30,1997.7266026775635
2011-12-29,1992.090115428025
2011-12-30,1998.1441680536975
2012-01-30,2176.9906600237728
2012-01-31,2201.925190158228
2012-02-28,2285.781882701599
2012-02-29,2316.9750364485008
2012-03-29,2236.2671899313186
2012-03-30,2246.363852582877
2012-04-27,2238.447913812973
2012-04-30,2258.457957509597
2012-05-30,2031.6901907649844
2012-05-31,2024.0131433009913
2012-06-28,2048.408525493804
2012-06-29,2103.4485253104385
2012-07-30,2154.139987604712
2012-07-31,2183.4199950754078
2012-08-30,2172.421711526487
2012-08-31,2175.5274580659225
2012-09-27,2288.656635594662
2012-09-28,2303.5829901664665
2012-10-30,2300.4377543190553
2012-10-31,2314.405006701753
2012-11-29,2354.447400562299
2012-11-30,2367.883721096664
2012-12-28,2444.3501144753345
2012-12-31,2443.233314538439
2013-01-30,2517.1387730562656
2013-01-31,2508.9653191075827
2013-02-27,2499.919529367336
2013-02-28,2531.479654250454
2013-03-28,2486.1579676274664
2013-03-29,2490.553689201196
2013-04-29,2522.395101559862
2013-04-30,2553.6462225728337
2013-05-30,2466.289798339441
2013-05-31,2447.478183006737
2013-06-27,2269.708028791561
2013-06-28,2301.2711054130555
2013-07-30,2366.4425629695584
2013-07-31,2349.038255333822
2013-08-29,2311.8444300359984
2013-08-30,2332.962810306211
2013-09-27,2504.568233572428
2013-09-30,2470.5126118627477
2013-10-30,2599.371359896241
2013-10-31,2585.1285163796756
2013-11-28,2549.152202526846
2013-11-29,2560.0417672866515
2013-12-30,2519.6224717964715
2013-12-31,2527.8285325092597
2014-01-01,2527.754189499608
2014-01-02,2512.8570465170146
2014-01-03,2486.0828883341674
2014-01-06,2469.3832026894515
2014-01-07,2462.017565652245
2014-01-08,2476.103923633058
2014-01-09,2462.1689331389266
2014-01-10,2468.9484749500402
2014-01-13,2487.6057518294233
2014-01-14,2469.840495358111
2014-01-15,2472.653981947402
2014-01-16,2473.835753206598
2014-01-17,2473.3307422059947
2014-01-20,2466.730871714483
2014-01-21,2474.2104805854956
2014-01-22,2483.77217904835
2014-01-23,2452.8912695553195
2014-01-24,2428.1151458791433
2014-01-27,2390.7069557011873
2014-01-28,2390.383130543231
2014-01-29,2412.2286413997786
2014-01-30,2401.6182463350387
2014-01-31,2399.881314437937
2014-02-03,2393.771600483012
2014-02-04,2359.798430457116
2014-02-05,2351.293821216719
2014-02-06,2376.302128483985
2014-02-07,2398.694988783779
2014-02-10,2404.5920641176194
2014-02-11,2433.367065588713
2014-02-12,2459.3828421646804
2014-02-13,2443.7614946608387
2014-02-14,2465.4994800456284
2014-02-17,2485.8758113062836
2014-02-18,2485.620773280619
2014-02-19,2491.3705665803345
2014-02-20,2469.945927003207
2014-02-21,2487.708294865874
2014-02-24,2481.867621973705
2014-02-25,2485.443647132847
2014-02-26,2491.3498940091163
2014-02-27,2503.3979916647727
2014-02-28,2507.0214000046976
2014-03-03,2487.8003120331086
2014-03-04,2491.3642839797994
2014-03-05,2506.59977625386
2014-03-06,2530.7241505536213
2014-03-07,2535.4190285641052
2014-03-10,2502.434537144183
2014-03-11,2508.4793929600646
2014-03-12,2478.170492608395
2014-03-13,2487.4758048022354
2014-03-14,2462.7450196888376
2014-03-17,2469.9429208277647
2014-03-18,2483.069548165376
2014-03-19,2477.983110174878
2014-03-20,2436.1985718782703
2014-03-21,2457.2834909653543
2014-03-24,2482.4171755704533
2014-03-25,2480.2714363962073
2014-03-26,2508.792128634497
2014-03-27,2513.5944836783083
2014-03-28,2531.7996378065295
2014-03-31,2550.061864626764
2014-04-01,2566.9153000156916
2014-04-02,2576.196031635169
2014-04-03,2575.765578066354
2014-04-04,2579.139731988804
2014-04-07,2576.1874602087773
2014-04-08,2592.669808510395
2014-04-09,2617.236886627332
2014-04-10,2637.2517855605442
2014-04-11,2620.019428113096
2014-04-14,2608.6353782677947
2014-04-15,2597.117216122407
2014-04-16,2601.489061696095
