Date,ACWI ex COLOMBIA
1998-12-31,1000.0
1999-01-01,1000.0002002866415
1999-01-04,1010.4553841685421
1999-01-05,1020.7297723077872
1999-01-06,1040.1911895561107
1999-01-07,1037.4407813970943
1999-01-08,1036.389266213132
1999-01-11,1027.2122907698863
1999-01-12,1009.5619705863136
1999-01-13,994.4289444097338
1999-01-14,987.2068104446781
1999-01-15,1002.953278295441
1999-01-18,1011.8073272997295
1999-01-19,1014.2023556277313
1999-01-20,1020.5152795356757
1999-01-21,1008.2667884077383
1999-01-22,992.6434006921774
1999-01-25,996.7882198616439
1999-01-26,1007.1243940153832
1999-01-27,1003.4579837898143
1999-01-28,1012.270425148265
1999-01-29,1019.8108111861925
1999-02-01,1021.7037913408016
1999-02-02,1017.6396311128295
1999-02-03,1016.342039149444
1999-02-04,1004.7566149314424
1999-02-05,997.6647031051326
1999-02-08,996.0329579954108
1999-02-09,977.7084790868664
1999-02-10,978.63463866069
1999-02-11,995.4858329958462
1999-02-12,990.5848093375307
1999-02-15,990.5816919658224
1999-02-16,993.545120106574
1999-02-17,984.630461532026
1999-02-18,988.9073236071326
1999-02-19,987.7439258317781
1999-02-22,1004.2634311944141
1999-02-23,1007.0094603649321
1999-02-24,1002.1887885210625
1999-02-25,998.1485629336419
1999-02-26,993.6376087376663
1999-03-01,986.6301490790961
1999-03-02,981.6363711816672
1999-03-03,979.4802811588677
1999-03-04,986.3708123075639
1999-03-05,1010.5852173853101
1999-03-08,1014.5298462089058
1999-03-09,1017.4775174275766
1999-03-10,1025.7997019802128
1999-03-11,1032.3980346231233
1999-03-12,1035.8449468468536
1999-03-15,1043.0933103253788
1999-03-16,1045.7186134760066
1999-03-17,1043.7279438827384
1999-03-18,1047.2105779651224
1999-03-19,1047.2819496908098
1999-03-22,1043.3346104149227
1999-03-23,1022.4725526259933
1999-03-24,1019.6093853680273
1999-03-25,1034.5277130876452
1999-03-26,1026.7441402638601
1999-03-29,1041.9912918330476
1999-03-30,1039.3674972689205
1999-03-31,1038.8652035548655
1999-04-01,1045.229105158329
1999-04-02,1044.4573311880008
1999-04-05,1053.5166902380606
1999-04-06,1060.0261809464823
1999-04-07,1067.578200830137
1999-04-08,1079.7788207732506
1999-04-09,1081.0260152077742
1999-04-12,1085.194427550199
1999-04-13,1085.717895093149
1999-04-14,1079.4423802300962
1999-04-15,1072.174209337422
1999-04-16,1071.9337564654086
1999-04-19,1062.9645580429417
1999-04-20,1061.6636023232466
1999-04-21,1071.9735361675394
1999-04-22,1084.3605126533296
1999-04-23,1086.941294913476
1999-04-26,1090.9511380900854
1999-04-27,1098.3043964017725
1999-04-28,1092.7915447476842
1999-04-29,1086.0007902965435
1999-04-30,1083.3096985945558
1999-05-03,1092.2207933934585
1999-05-04,1084.6291739679748
1999-05-05,1088.3550230336702
1999-05-06,1089.539751133941
1999-05-07,1090.3381134856863
1999-05-10,1090.545471033911
1999-05-11,1092.747305865167
1999-05-12,1092.1964118650053
1999-05-13,1093.95183857138
1999-05-14,1076.364833225879
1999-05-17,1067.2026646418535
1999-05-18,1068.8462044776188
1999-05-19,1073.0848032573026
1999-05-20,1073.3508194022993
1999-05-21,1067.6305845086745
1999-05-24,1057.0654236104576
1999-05-25,1044.0127532196059
1999-05-26,1049.868446828952
1999-05-27,1035.9911761341061
1999-05-28,1044.8945431543934
1999-05-31,1045.4369278108804
1999-06-01,1045.9100495857451
1999-06-02,1047.8091204841164
1999-06-03,1051.1373496339806
1999-06-04,1065.0391444329234
1999-06-07,1072.8820336456424
1999-06-08,1071.9068229449913
1999-06-09,1074.5931821713261
1999-06-10,1068.905739607419
1999-06-11,1070.642674006809
1999-06-14,1064.230858399422
1999-06-15,1067.4762340474838
1999-06-16,1081.2780716804912
1999-06-17,1089.4775123175184
1999-06-18,1092.6119465586905
1999-06-21,1098.3476275967137
1999-06-22,1092.75856279197
1999-06-23,1085.0539609326327
1999-06-24,1075.2796996904049
1999-06-25,1077.3381436085986
1999-06-28,1083.8071963359562
1999-06-29,1091.9469268172036
