Date,AC AP WITH PARTIAL A SHARES
2008-11-27,1018.2934563575561
2008-11-28,1033.354698358447
2008-12-30,1119.090879989358
2008-12-31,1120.649079568125
2009-01-29,1060.585998830793
2009-01-30,1040.6804399924295
2009-02-26,935.5914691243353
2009-02-27,943.560074786815
2009-03-30,1035.5959487834682
2009-03-31,1021.3045929934599
2009-04-29,1112.3279641619106
2009-04-30,1148.6158466907632
2009-05-28,1267.8935161958896
2009-05-29,1291.418806075043
2009-06-29,1301.6781358141263
2009-06-30,1308.8215954487835
2009-07-30,1395.7886344479587
2009-07-31,1421.3633848113627
2009-08-28,1449.4517710926164
2009-08-31,1442.8610384695455
2009-09-29,1491.9972399643068
2009-09-30,1507.4482780687165
2009-10-29,1466.0284967190648
2009-10-30,1488.8012363447563
2009-11-27,1458.029136201401
2009-11-30,1506.5736077780687
2009-12-30,1535.0500016377644
2009-12-31,1543.0099303283537
2010-01-28,1525.5547647476499
2010-01-29,1496.9072366864734
2010-02-25,1501.764008218517
2010-02-26,1515.4720002240058
2010-03-30,1623.329459503799
2010-03-31,1613.0678278868165
2010-04-29,1606.250779224059
2010-04-30,1624.2068882890358
2010-05-28,1467.8292015085026
2010-05-31,1468.005493267178
2010-06-29,1475.958765802747
2010-06-30,1461.288689020331
2010-07-29,1554.5477248797456
2010-07-30,1546.2736053721303
2010-08-30,1539.8273877706044
2010-08-31,1516.6743595179862
2010-09-29,1667.0788855416986
2010-09-30,1651.6780587079866
2010-10-28,1695.6806196495702
2010-10-29,1692.6316809379862
2010-11-29,1698.1458487657712
2010-11-30,1685.923994460524
2010-12-30,1796.4538390725402
2010-12-31,1805.4077016190024
2011-01-28,1805.1461353053787
2011-01-31,1791.8987641663336
2011-02-25,1797.512307158458
2011-02-28,1806.2387571114373
2011-03-30,1780.3789929545794
2011-03-31,1792.6343966882807
2011-04-28,1844.8867383993384
2011-04-29,1843.3974882889454
2011-05-30,1779.4026258690863
2011-05-31,1805.8525805678637
2011-06-29,1770.183128487856
2011-06-30,1792.8220132233766
2011-07-28,1831.286652391694
2011-07-29,1819.854981694538
2011-08-30,1646.5301178634018
2011-08-31,1668.0306156889253
2011-09-29,1532.1503260867514
2011-09-30,1518.3940916017525
2011-10-28,1673.9141878454225
2011-10-31,1634.8021157528372
2011-11-29,1521.9658573607528
2011-11-30,1527.7136368563258
2011-12-29,1518.7836143239724
2011-12-30,1532.8737388381335
2012-01-30,1643.869696164114
2012-01-31,1655.1075249266003
2012-02-28,1730.6680719285202
