Date,ACWI ex TURKEY
1998-12-31,1000.0
1999-01-01,1000.0002003822375
1999-01-04,1010.4181567191229
1999-01-05,1020.6798803234133
1999-01-06,1040.1352772472635
1999-01-07,1037.4146259743698
1999-01-08,1036.376437749124
1999-01-11,1027.2108937710323
1999-01-12,1009.5379032233296
1999-01-13,994.441062723825
1999-01-14,987.1841488412912
1999-01-15,1002.9626114989278
1999-01-18,1011.8382654847952
1999-01-19,1014.226678267142
1999-01-20,1020.5477546932634
1999-01-21,1008.2887610600385
1999-01-22,992.6505604513455
1999-01-25,996.8164899431893
1999-01-26,1007.1358221519425
1999-01-27,1003.4479203808785
1999-01-28,1012.2677710496091
1999-01-29,1019.7980021793496
1999-02-01,1021.6689658211769
1999-02-02,1017.610137310685
1999-02-03,1016.3012515732353
1999-02-04,1004.6835230854596
1999-02-05,997.6052926683816
1999-02-08,995.9595861902767
1999-02-09,977.5985112921838
1999-02-10,978.5197829168196
1999-02-11,995.3727434139446
1999-02-12,990.4657923919684
1999-02-15,990.4607421316181
1999-02-16,993.3565336543375
1999-02-17,984.3660763121247
1999-02-18,988.6404150628201
1999-02-19,987.4698827179558
1999-02-22,1004.0304176313534
1999-02-23,1006.8085649432415
1999-02-24,1001.9768057904711
1999-02-25,997.8693934134035
1999-02-26,993.3279871364282
1999-03-01,986.3265231865962
1999-03-02,981.3483216740276
1999-03-03,979.1705812535776
1999-03-04,986.1048953654351
1999-03-05,1010.3152949901029
1999-03-08,1014.2614626838707
1999-03-09,1017.1726375193746
1999-03-10,1025.5161129166192
1999-03-11,1032.0684602106387
1999-03-12,1035.5072185543183
1999-03-15,1042.771556838169
1999-03-16,1045.4390018218496
1999-03-17,1043.404582752953
1999-03-18,1046.8742363005574
1999-03-19,1046.9183490468702
1999-03-22,1042.966230408471
1999-03-23,1022.0973953239987
1999-03-24,1019.2614837111008
1999-03-25,1034.1420674785552
1999-03-26,1026.3354400789765
1999-03-29,1041.5908555336719
1999-03-30,1038.958335473331
1999-03-31,1038.4577959699104
1999-04-01,1044.823285945212
1999-04-02,1044.0575685898598
