Date,ACWI ex SOUTH AFRICA
1998-12-31,1000.0
1999-01-01,1000.0002010182465
1999-01-04,1010.4932929180032
1999-01-05,1020.7031898461132
1999-01-06,1039.9246788276625
1999-01-07,1037.251628575873
1999-01-08,1036.0562247402663
1999-01-11,1026.9365096347258
1999-01-12,1009.2452855627135
1999-01-13,994.2928302810041
1999-01-14,987.0831045178917
1999-01-15,1002.8605644185365
1999-01-18,1011.5777343465033
1999-01-19,1013.989810985357
1999-01-20,1020.3329206915386
1999-01-21,1008.1069113787876
1999-01-22,992.4829152316609
1999-01-25,996.6639754994648
1999-01-26,1007.0239640665699
1999-01-27,1003.2396739736948
1999-01-28,1012.0460698379844
1999-01-29,1019.5912565666155
1999-02-01,1021.4672871410794
1999-02-02,1017.3886207058271
1999-02-03,1016.1033526790062
1999-02-04,1004.465419838957
1999-02-05,997.2653831220072
1999-02-08,995.551492977827
1999-02-09,977.2967913980237
1999-02-10,978.301723047161
1999-02-11,995.1605382507369
1999-02-12,990.2379761015738
1999-02-15,990.2788694411953
1999-02-16,993.2739623442502
1999-02-17,984.3473440877395
1999-02-18,988.6218243675883
1999-02-19,987.5199855730207
1999-02-22,1004.0387702826179
1999-02-23,1006.7516604475406
1999-02-24,1001.9075613562899
1999-02-25,997.8373510374062
1999-02-26,993.3590339874431
1999-03-01,986.3139634085414
1999-03-02,981.3016598152055
1999-03-03,979.0512320181384
1999-03-04,985.9147797672277
1999-03-05,1010.1228319143601
1999-03-08,1014.0296458787703
1999-03-09,1016.9532690756408
1999-03-10,1025.3026773367822
1999-03-11,1031.8241033460286
1999-03-12,1035.2924024498968
1999-03-15,1042.6354760400604
1999-03-16,1045.2539968983144
1999-03-17,1043.228906930536
1999-03-18,1046.7643047080494
1999-03-19,1046.735472289966
1999-03-22,1042.759973615881
1999-03-23,1021.8945165407442
1999-03-24,1019.0501556341189
1999-03-25,1033.9876113778544
1999-03-26,1026.2584238703478
1999-03-29,1041.5786180513282
1999-03-30,1038.9256490247947
1999-03-31,1038.4466153445087
1999-04-01,1044.8119939034243
1999-04-02,1044.0403150338025
1999-04-05,1053.1258729869135
1999-04-06,1059.6773492649593
1999-04-07,1067.2808664824774
1999-04-08,1079.5791449124288
1999-04-09,1080.7559050443033
1999-04-12,1084.898900642811
1999-04-13,1085.302587213552
1999-04-14,1078.9336870418797
1999-04-15,1071.5559775869401
1999-04-16,1071.2080609724705
1999-04-19,1062.1002243855025
1999-04-20,1060.8677689186832
1999-04-21,1071.3332149906958
1999-04-22,1083.8010921521034
1999-04-23,1086.3973314961374
1999-04-26,1090.3907338303043
1999-04-27,1097.774328259907
1999-04-28,1092.1648453131536
1999-04-29,1085.3340659465007
1999-04-30,1082.5994888228734
1999-05-03,1091.5529052668608
1999-05-04,1083.937488113728
1999-05-05,1087.778992804363
1999-05-06,1088.8915762303645
1999-05-07,1089.7860726872345
1999-05-10,1090.0441305334505
1999-05-11,1092.2434834719202
1999-05-12,1091.8205645120004
1999-05-13,1093.5916140780942
1999-05-14,1075.9704611097882
1999-05-17,1066.8375289895303
1999-05-18,1068.4748967871922
1999-05-19,1072.778829420635
1999-05-20,1073.0580817231544
1999-05-21,1067.2730853538185
1999-05-24,1056.6887498133653
1999-05-25,1043.6432472294837
1999-05-26,1049.5473428729188
1999-05-27,1035.6919186750108
1999-05-28,1044.604933110517
1999-05-31,1045.1056262377763
1999-06-01,1045.4018689070656
1999-06-02,1047.298928528813
