Date,ZHONG HUA WITH CHINA ALL SHARES
2008-11-25,1000.0
2008-11-26,1026.6673333951062
2008-11-27,1043.516911811161
2008-11-28,1057.5726055198097
2008-12-01,1072.2948697456266
2008-12-02,1034.0708045121157
2008-12-03,1058.578787144926
2008-12-04,1059.4564799794975
2008-12-05,1080.0606370195185
2008-12-08,1159.1512675932584
2008-12-09,1139.0275683135953
2008-12-10,1194.6665791867138
2008-12-11,1190.2303920399218
2008-12-12,1128.9081987093903
2008-12-15,1148.0699454429694
2008-12-16,1155.69110030765
2008-12-17,1183.1022358530083
2008-12-18,1201.2670878155084
2008-12-19,1184.852340194448
2008-12-22,1151.2666770969481
2008-12-23,1108.335007430299
2008-12-24,1103.3697703902726
2008-12-25,1101.5161540007698
2008-12-26,1100.9602368146654
2008-12-29,1113.3800867589339
2008-12-30,1106.7629713280876
2008-12-31,1117.9440667712265
2009-01-01,1117.9440667712265
2009-01-02,1153.5050221652784
2009-01-05,1196.120961420146
2009-01-06,1203.1812830554356
2009-01-07,1172.7195718270266
2009-01-08,1125.5387458112891
2009-01-09,1125.230897894618
2009-01-12,1096.115077429369
2009-01-13,1071.6380875862435
2009-01-14,1090.505561480678
2009-01-15,1062.8967606075832
2009-01-16,1074.0718708815973
2009-01-19,1087.279004341443
2009-01-20,1071.1265665280048
2009-01-21,1048.5912606039487
2009-01-22,1052.6399533824901
2009-01-23,1044.4019525021029
2009-01-26,1044.4323111307804
2009-01-27,1044.1086067801123
2009-01-28,1044.2147928367945
2009-01-29,1075.5244373936391
2009-01-30,1090.0669740767582
2009-02-02,1067.463385213785
2009-02-03,1071.1609290927938
2009-02-04,1098.2129219249744
2009-02-05,1105.5509611423709
2009-02-06,1141.2883897140423
2009-02-09,1153.8074351183268
2009-02-10,1162.260272634972
2009-02-11,1144.3506594225246
2009-02-12,1123.0188899167354
2009-02-13,1151.2523403841035
2009-02-16,1156.5900784222251
2009-02-17,1116.4705584075523
2009-02-18,1107.965447086255
2009-02-19,1113.573675320959
2009-02-20,1097.9019644128143
2009-02-23,1131.3429017143696
2009-02-24,1093.877124371278
2009-02-25,1104.7650121989413
2009-02-26,1079.0412706736197
2009-02-27,1069.9138451612926
2009-03-02,1038.0635184828313
2009-03-03,1035.569212883641
2009-03-04,1079.0765097405897
2009-03-05,1073.2579653408384
2009-03-06,1055.6864435918883
2009-03-09,1034.695322313524
2009-03-10,1052.8783090591553
2009-03-11,1066.1325545089871
2009-03-12,1065.5814021239744
2009-03-13,1094.8096873120628
2009-03-16,1127.461635395994
2009-03-17,1124.0811983572403
2009-03-18,1135.5057796433334
2009-03-19,1150.0348827450428
2009-03-20,1129.8228967838093
2009-03-23,1183.049832896039
2009-03-24,1202.919082070861
2009-03-25,1181.4556912829726
2009-03-26,1223.7483639766517
2009-03-27,1227.4714834249862
2009-03-30,1181.4692965836673
2009-03-31,1192.9757938206144
2009-04-01,1198.5236899891688
2009-04-02,1253.1533793681156
2009-04-03,1255.258966370048
2009-04-06,1275.8159294341058
2009-04-07,1270.928698070126
2009-04-08,1235.8230743108772
2009-04-09,1264.4511702981235
2009-04-10,1272.7938891450212
2009-04-13,1281.977819885538
2009-04-14,1321.3446421846168
2009-04-15,1333.0265699506954
2009-04-16,1324.7534332010757
2009-04-17,1320.4230666590254
2009-04-20,1340.0083468697999
2009-04-21,1312.6253171568753
2009-04-22,1278.905111479786
2009-04-23,1302.539597440075
2009-04-24,1305.986747336363
2009-04-27,1268.2334967282625
