Date,ACWI WITH BRAZIL + INDIA + RUSSIA DR
2010-02-26,1000.0
2010-03-01,1007.3753547262205
2010-03-02,1015.7183385078772
2010-03-03,1022.8090499118586
2010-03-04,1020.96598597372
2010-03-05,1034.3088657601008
2010-03-08,1039.277749958894
2010-03-09,1038.85540334861
2010-03-10,1044.5526675205376
2010-03-11,1046.1697850778244
2010-03-12,1050.1981799415591
2010-03-15,1044.7943172765545
2010-03-16,1054.8179779533882
2010-03-17,1063.712133437416
2010-03-18,1058.701386406792
2010-03-19,1053.5935198460027
2010-03-22,1054.8594244296319
2010-03-23,1061.1977751254865
2010-03-24,1052.6479779736355
2010-03-25,1053.5205651946383
2010-03-26,1055.3277739158807
2010-03-29,1063.2270629453449
2010-03-30,1064.4184345664316
2010-03-31,1063.9941396905276
2010-04-01,1075.4689475896769
2010-04-02,1076.1261070302157
2010-04-05,1080.5015393341648
2010-04-06,1081.6876993028297
2010-04-07,1078.5367836564392
2010-04-08,1076.2509289103177
2010-04-09,1086.638931676137
2010-04-12,1091.0304553028282
2010-04-13,1087.4784295520112
2010-04-14,1099.506611771199
2010-04-15,1101.6763672336654
2010-04-16,1084.4587562993665
2010-04-19,1078.471786834763
2010-04-20,1088.2109515899513
2010-04-21,1086.4969989589704
2010-04-22,1080.8592241667704
2010-04-23,1086.5971329962122
2010-04-26,1090.61595137583
2010-04-27,1068.2131272251559
2010-04-28,1060.3235233827984
2010-04-29,1072.3343826699513
2010-04-30,1065.639143598717
2010-05-03,1067.5176189958574
2010-05-04,1041.297644731151
2010-05-05,1028.5957896812372
2010-05-06,1000.4641539227857
2010-05-07,978.1317423512851
2010-05-10,1025.9893619400848
2010-05-11,1017.9771070415593
2010-05-12,1029.9761103077672
2010-05-13,1026.254271323998
2010-05-14,1001.8683248960156
2010-05-17,993.4053942665033
2010-05-18,990.3116244752166
2010-05-19,974.6273111416817
2010-05-20,946.0643642054835
2010-05-21,954.5272283631
2010-05-24,947.457868735949
2010-05-25,931.2981266176077
2010-05-26,937.9806643564398
2010-05-27,966.0649626996184
2010-05-28,963.8740114592475
2010-05-31,964.1229031789404
2010-06-01,954.235026361563
2010-06-02,962.6848138489756
2010-06-03,973.6695342019436
2010-06-04,947.9706101451499
2010-06-07,930.2614460238092
2010-06-08,934.0800258055001
2010-06-09,938.2315484742537
2010-06-10,959.4700221846064
2010-06-11,964.9682552205574
2010-06-14,974.9659567199812
2010-06-15,989.4742070601932
2010-06-16,992.3302430818032
2010-06-17,993.9308711497681
2010-06-18,996.623609887683
2010-06-21,1003.9162963311185
2010-06-22,990.2915949776352
2010-06-23,982.1836333222014
2010-06-24,970.6320220266383
2010-06-25,967.7636988591335
2010-06-28,970.6024675750972
