Date,ACWI FM ex USA
2002-05-31,410.23813578774593
2002-06-03,410.4059255026211
2002-06-04,405.75648167550827
2002-06-05,401.6699327108086
2002-06-06,402.0504764305589
2002-06-07,397.5693114010696
2002-06-10,397.2842585422016
2002-06-11,398.66488037646536
2002-06-12,393.5287368562018
2002-06-13,389.15269575840864
2002-06-14,381.68726357381036
2002-06-17,386.48918137418735
2002-06-18,387.5732865815625
2002-06-19,382.67852945064016
2002-06-20,380.7293474366093
2002-06-21,380.3178111684187
2002-06-24,376.95355567545084
2002-06-25,380.65690951872614
2002-06-26,377.89365247306137
2002-06-27,380.5707996694099
2002-06-28,392.19457561024177
2002-07-01,392.658408309247
2002-07-02,384.40354035747623
2002-07-03,377.92785720622663
2002-07-04,381.9258360680587
2002-07-05,391.39739860314484
2002-07-08,394.3212575933293
2002-07-09,395.1187431838039
2002-07-10,384.468836061592
2002-07-11,374.100055403655
2002-07-12,375.30893008028596
2002-07-15,365.3020817905528
2002-07-16,364.5395348167063
2002-07-17,370.9062740617478
2002-07-18,375.8486924500654
2002-07-19,364.23605250664104
2002-07-22,349.8513138251162
2002-07-23,342.04024342802694
2002-07-24,338.0244069692952
2002-07-25,346.0699958725956
2002-07-26,341.50304699356246
2002-07-29,352.0424736308793
2002-07-30,355.543178642602
2002-07-31,354.71650678279696
2002-08-01,345.34517341764536
2002-08-02,345.50216802441054
2002-08-05,337.85109576127104
2002-08-06,339.3147559265121
2002-08-07,341.7830359769406
2002-08-08,349.68101021979066
2002-08-09,355.66751377576645
2002-08-12,351.08230455359194
2002-08-13,353.122506089059
2002-08-14,351.5171554759187
2002-08-15,357.44354988778827
2002-08-16,359.44178041385976
2002-08-19,362.36530170038094
2002-08-20,358.9956448269777
2002-08-21,362.8691140095503
2002-08-22,366.2416273088698
2002-08-23,363.0161387096862
2002-08-26,362.7310383649156
2002-08-27,367.85672692633415
2002-08-28,357.9936341343091
2002-08-29,353.70869316335364
2002-08-30,355.3185066835124
2002-09-02,351.6428412399143
2002-09-03,342.987837326351
2002-09-04,341.38236737639903
2002-09-05,340.8956855043815
2002-09-06,344.9456902252388
2002-09-09,342.8493787495128
2002-09-10,346.9530146382739
2002-09-11,351.1196458050832
2002-09-12,344.52526657710524
2002-09-13,338.84614989695683
2002-09-16,335.9302859843489
2002-09-17,335.5657726927022
2002-09-18,328.85367589434384
2002-09-19,327.27440828328423
2002-09-20,325.0297452976851
2002-09-23,317.1455783062227
2002-09-24,312.84323612301915
2002-09-25,314.43435388800424
