Date,AC ASIA ex JP MINIMUM VOLATILITY (USD)
1993-05-31,1130.42462456
1993-06-30,1113.75568763
1993-07-30,1109.62954956
1993-08-31,1175.72429976
1993-09-30,1196.69623155
1993-10-29,1374.14276252
1993-11-30,1389.06699899
1993-12-31,1714.28856257
1994-01-31,1638.27199685
1994-02-28,1560.35250288
1994-03-31,1415.08762311
1994-04-29,1445.13034586
1994-05-31,1533.75562635
1994-06-30,1489.35196773
1994-07-29,1539.40152682
1994-08-31,1633.27802356
1994-09-30,1624.77394632
1994-10-31,1644.7186767
1994-11-30,1519.97898643
1994-12-30,1481.71830417
1995-01-31,1342.90206694
1995-02-28,1422.14597709
1995-03-31,1418.72808172
1995-04-28,1416.61985897
1995-05-31,1541.87906146
1995-06-30,1529.47812027
1995-07-31,1568.11597995
1995-08-31,1512.6018722
1995-09-29,1517.18530771
1995-10-31,1498.72881739
1995-11-30,1448.88479602
1995-12-29,1486.73973476
1996-01-31,1576.56035139
1996-02-29,1643.66079213
1996-03-29,1654.62284613
1996-04-30,1702.51336203
1996-05-31,1701.1392874
1996-06-28,1672.14777216
1996-07-31,1554.23528517
1996-08-30,1579.51198188
1996-09-30,1573.17083959
1996-10-31,1530.65277709
1996-11-29,1547.98890282
1996-12-31,1545.68809688
1997-01-01,1545.68809688
1997-01-02,1544.37333954
1997-01-03,1543.73727918
1997-01-06,1548.95415212
1997-01-07,1550.79796106
1997-01-08,1562.16462082
1997-01-09,1570.76912198
1997-01-10,1574.07301252
1997-01-13,1575.72539347
1997-01-14,1572.69263751
1997-01-15,1593.23268848
1997-01-16,1588.9711104
1997-01-17,1590.06055115
1997-01-20,1598.28716645
1997-01-21,1587.50199246
1997-01-22,1592.56923847
1997-01-23,1593.32299281
1997-01-24,1579.22422735
1997-01-27,1573.96797192
1997-01-28,1572.41600804
1997-01-29,1565.36071289
1997-01-30,1566.6167272
1997-01-31,1564.72464285
1997-02-03,1564.34392222
1997-02-04,1569.574515
1997-02-05,1568.62522153
1997-02-06,1571.42632092
1997-02-07,1570.74150317
1997-02-10,1571.24809989
1997-02-11,1570.45864903
1997-02-12,1570.85810049
1997-02-13,1563.70935535
1997-02-14,1563.39958814
1997-02-17,1568.78292223
1997-02-18,1559.18148942
1997-02-19,1568.26813749
1997-02-20,1578.80976242
1997-02-21,1572.26318941
1997-02-24,1561.64516005
1997-02-25,1567.56743852
1997-02-26,1560.46593882
1997-02-27,1558.66120695
1997-02-28,1570.32011517
1997-03-03,1583.89027224
1997-03-04,1578.48427169
1997-03-05,1573.19084406
1997-03-06,1564.28043028
1997-03-07,1564.72444423
1997-03-10,1558.78439564
1997-03-11,1561.15614014
1997-03-12,1558.56715752
1997-03-13,1552.05561835
1997-03-14,1537.4631862
1997-03-17,1548.40371099
1997-03-18,1539.75250494
1997-03-19,1532.89779435
1997-03-20,1524.68104622
1997-03-21,1515.7411383
1997-03-24,1519.66236652
1997-03-25,1525.09801491
1997-03-26,1529.78610519
1997-03-27,1526.26322331
1997-03-28,1520.37621082
1997-03-31,1505.33357024
1997-04-01,1497.61298955
1997-04-02,1510.67960586
1997-04-03,1503.41822378
1997-04-04,1507.81455618
1997-04-07,1506.7987427
1997-04-08,1510.12714367
1997-04-09,1516.41591596
1997-04-10,1506.33655164
1997-04-11,1504.66053195
1997-04-14,1494.05129467
1997-04-15,1492.33726148
1997-04-16,1502.09740041
1997-04-17,1504.33343026
1997-04-18,1505.06873972
1997-04-21,1519.23487045
1997-04-22,1514.82328324
1997-04-23,1517.12035469
1997-04-24,1508.44707379
1997-04-25,1507.03172962
1997-04-28,1504.09054306
1997-04-29,1495.82027469
1997-04-30,1510.92656876
1997-05-01,1512.68668675
1997-05-02,1510.66673645
1997-05-05,1518.96333868
1997-05-06,1525.94189579
1997-05-07,1525.18491373
1997-05-08,1517.38401267
1997-05-09,1522.98227716
1997-05-12,1519.47105008
1997-05-13,1518.46842636
1997-05-14,1520.99049805
1997-05-15,1514.67860796
1997-05-16,1509.46678943
1997-05-19,1515.98853588
1997-05-20,1524.62785938
1997-05-21,1527.48883627
1997-05-22,1521.7609415
1997-05-23,1523.05007453
1997-05-26,1525.33350552
1997-05-27,1527.42926896
1997-05-28,1536.1140608
1997-05-29,1539.58979751
1997-05-30,1551.12981526
1997-06-02,1584.43214848
1997-06-03,1586.14947277
1997-06-04,1587.92906159
1997-06-05,1586.30152554
1997-06-06,1579.62239063
1997-06-09,1589.48037207
1997-06-10,1580.82920636
1997-06-11,1582.65308431
1997-06-12,1570.68277761
1997-06-13,1574.96840831
1997-06-16,1588.31083754
1997-06-17,1595.07682937
1997-06-18,1582.47792068
1997-06-19,1595.35627474
1997-06-20,1610.37954135
1997-06-23,1612.13619825
1997-06-24,1609.35541198
1997-06-25,1603.56768281
1997-06-26,1610.5618249
1997-06-27,1608.78247798
1997-06-30,1624.84697748
1997-07-01,1636.0129041
1997-07-02,1646.6545134
1997-07-03,1632.88041341
1997-07-04,1629.57779253
1997-07-07,1623.11707017
1997-07-08,1620.32386317
1997-07-09,1618.22686052
1997-07-10,1609.54799877
1997-07-11,1613.25418262
1997-07-14,1609.47258323
1997-07-15,1605.86437685
1997-07-16,1584.81916639
1997-07-17,1593.08169648
1997-07-18,1585.84359652
1997-07-21,1598.54757656
1997-07-22,1596.85010168
1997-07-23,1606.08216164
1997-07-24,1606.77158433
1997-07-25,1604.22014056
1997-07-28,1607.06452997
1997-07-29,1614.2706081
1997-07-30,1615.01416625
1997-07-31,1623.0136991
1997-08-01,1617.5587824
1997-08-04,1618.0464911
1997-08-05,1609.81179736
1997-08-06,1615.23790799
1997-08-07,1606.57151239
1997-08-08,1599.15976958
1997-08-11,1584.23273779
1997-08-12,1571.37975561
1997-08-13,1567.82732619
1997-08-14,1567.30637452
1997-08-15,1557.81040473
1997-08-18,1540.65064708
1997-08-19,1518.2470865
1997-08-20,1547.80458359
1997-08-21,1537.1325471
1997-08-22,1519.16775866
1997-08-25,1517.38123627
1997-08-26,1515.64361151
1997-08-27,1506.05988567
1997-08-28,1451.45097093
1997-08-29,1408.89150094
1997-09-01,1381.31783465
1997-09-02,1379.64039454
1997-09-03,1400.70382514
1997-09-04,1395.83436655
1997-09-05,1445.91047737
1997-09-08,1467.04842749
1997-09-09,1478.22608826
1997-09-10,1466.8770989
1997-09-11,1444.04313574
1997-09-12,1450.66942507
1997-09-15,1449.48221481
1997-09-16,1438.32794019
1997-09-17,1431.04143685
1997-09-18,1424.45854302
1997-09-19,1413.73895608
1997-09-22,1386.63092384
1997-09-23,1389.46356603
1997-09-24,1394.94171327
1997-09-25,1404.37743413
1997-09-26,1399.24601156
1997-09-29,1397.48718569
1997-09-30,1405.65299193
1997-10-01,1391.35509636
1997-10-02,1388.84673208
1997-10-03,1377.57688897
1997-10-06,1362.0157873
1997-10-07,1358.8884688
1997-10-08,1368.44438648
1997-10-09,1368.09386328
1997-10-10,1380.41908608
1997-10-13,1370.91547829
1997-10-14,1364.13277823
1997-10-15,1336.13150729
1997-10-16,1330.86162193
1997-10-17,1333.04646756
1997-10-20,1298.17070511
1997-10-21,1285.79488215
1997-10-22,1268.60985132
1997-10-23,1215.30192618
1997-10-24,1214.14506364
1997-10-27,1190.49202093
1997-10-28,1113.14678854
1997-10-29,1174.72239194
1997-10-30,1156.69704581
1997-10-31,1174.25807223
1997-11-03,1217.2869937
1997-11-04,1221.20193936
1997-11-05,1218.57115712
1997-11-06,1207.6116878
1997-11-07,1178.33331156
1997-11-10,1163.10333985
1997-11-11,1162.88894006
1997-11-12,1140.84082575
1997-11-13,1133.9775312
1997-11-14,1139.06361171
1997-11-17,1138.74597811
1997-11-18,1114.77839771
1997-11-19,1094.40820284
1997-11-20,1070.34574434
1997-11-21,1105.49448795
1997-11-24,1090.67649387
1997-11-25,1068.14031775
1997-11-26,1078.06542071
1997-11-27,1083.10634101
1997-11-28,1070.65544391
1997-12-01,1060.99614621
1997-12-02,1079.53694597
1997-12-03,1087.29126048
1997-12-04,1105.78247866
1997-12-05,1119.6761739
1997-12-08,1137.56690126
1997-12-09,1112.04881683
1997-12-10,1098.60090703
1997-12-11,1043.9552012
1997-12-12,1031.73046182
1997-12-15,1022.38001758
1997-12-16,1026.19466427
1997-12-17,1039.01953872
1997-12-18,1056.9902497
1997-12-19,1037.78968419
1997-12-22,1024.50685395
1997-12-23,1016.7640129
1997-12-24,1012.99593869
1997-12-25,1012.99593869
1997-12-26,1031.72192085
1997-12-29,1043.38281904
1997-12-30,1043.53321272
1997-12-31,1047.01183531
1998-01-01,1047.01183531
1998-01-02,1036.74334385
1998-01-05,1009.38526882
1998-01-06,981.92185737
1998-01-07,952.74060108
1998-01-08,920.53362507
1998-01-09,894.13702435
1998-01-12,846.40135337
1998-01-13,875.44090063
1998-01-14,920.88557187
1998-01-15,909.01949091
1998-01-16,919.66490091
1998-01-19,963.66906118
1998-01-20,960.08978092
1998-01-21,948.22848508
1998-01-22,919.50934273
1998-01-23,914.94825881
1998-01-26,925.07489293
1998-01-27,938.6287606
1998-01-28,936.89029021
1998-01-29,937.55172927
1998-01-30,955.58888285
1998-02-02,1029.54337619
1998-02-03,1054.36924505
1998-02-04,1031.17330844
1998-02-05,1036.032692
1998-02-06,1050.85228511
1998-02-09,1062.81489522
1998-02-10,1081.49155994
1998-02-11,1079.02616396
1998-02-12,1055.17580875
1998-02-13,1031.22815046
1998-02-16,1008.30534228
1998-02-17,1018.8352827
1998-02-18,1036.77045386
1998-02-19,1057.3175363
1998-02-20,1054.64620364
1998-02-23,1058.27565945
1998-02-24,1063.13295096
1998-02-25,1063.68817991
1998-02-26,1082.4169827
1998-02-27,1091.31613532
1998-03-02,1105.43178552
1998-03-03,1089.64733052
1998-03-04,1079.345204
1998-03-05,1047.6592875
1998-03-06,1042.39815303
1998-03-09,1042.89829498
1998-03-10,1053.22826238
1998-03-11,1059.67245184
1998-03-12,1053.87775527
1998-03-13,1069.10448795
1998-03-16,1071.16243981
1998-03-17,1066.28517342
1998-03-18,1067.85551169
1998-03-19,1085.05179803
1998-03-20,1091.8456517
1998-03-23,1106.48027538
1998-03-24,1102.36804282
1998-03-25,1114.88800585
1998-03-26,1104.30947467
1998-03-27,1108.34950068
1998-03-30,1096.20293159
1998-03-31,1092.80626813
1998-04-01,1081.0379183
1998-04-02,1065.09657915
1998-04-03,1052.81637804
1998-04-06,1060.07848718
1998-04-07,1066.34157058
1998-04-08,1070.37124483
1998-04-09,1079.98136158
1998-04-10,1078.87814666
1998-04-13,1078.42766557
1998-04-14,1071.50125463
1998-04-15,1068.79529702
1998-04-16,1056.23401866
1998-04-17,1052.95454781
1998-04-20,1059.17604481
1998-04-21,1061.91844859
1998-04-22,1055.66176634
1998-04-23,1050.70125569
1998-04-24,1045.89448924
1998-04-27,1032.27050767
1998-04-28,1033.93276064
1998-04-29,1024.9409951
1998-04-30,1023.78162197
1998-05-01,1031.1368516
1998-05-04,1027.2742983
1998-05-05,1018.62656602
1998-05-06,989.69560871
1998-05-07,980.60793767
1998-05-08,978.56916304
1998-05-11,978.33726656
1998-05-12,964.64475069
1998-05-13,933.7861127
1998-05-14,937.14913656
1998-05-15,939.38611894
1998-05-18,928.36023886
1998-05-19,922.84232615
1998-05-20,930.29505694
