Date,MSCI ACWI Min Vol EU CTB Index
2013-11-26,1000.0
2013-11-27,999.0423790751373
2013-11-28,1000.4274806638255
2013-11-29,1001.00492831712
2013-12-02,997.6862884513225
2013-12-03,995.9347565017073
2013-12-04,990.4650643298955
2013-12-05,986.9751083435931
2013-12-06,994.6915327510424
2013-12-09,997.3430623598302
2013-12-10,994.149168892468
2013-12-11,988.4594138826776
2013-12-12,982.0128696859233
2013-12-13,980.8605473738304
2013-12-16,982.2760120681825
2013-12-17,981.1612867733901
2013-12-18,990.6744550614227
2013-12-19,988.977260200329
2013-12-20,990.861115032151
2013-12-23,994.3621267310391
2013-12-24,995.7382912927254
2013-12-25,995.4890685426036
2013-12-26,998.9685749553045
2013-12-27,1001.8086687971437
2013-12-30,1005.5690518074731
2013-12-31,1007.4807262505549
2014-01-01,1007.5037261265746
2014-01-02,999.9249805558394
2014-01-03,999.2265775649696
2014-01-06,995.4236078298698
2014-01-07,996.651083829641
2014-01-08,996.5420510121123
2014-01-09,994.7818146499657
2014-01-10,998.7486344202817
2014-01-13,995.7745767159521
2014-01-14,995.8782629226816
2014-01-15,997.5853985096993
2014-01-16,998.9185546906115
2014-01-17,998.2882156891918
2014-01-20,998.1123695526132
2014-01-21,999.4243671785207
2014-01-22,1000.313208321596
2014-01-23,995.5546553893485
2014-01-24,984.4646048883641
2014-01-27,976.4357926021686
2014-01-28,977.8374708114707
2014-01-29,977.5877684653544
2014-01-30,978.7649170006813
2014-01-31,977.1046077778059
2014-02-03,964.751486517284
2014-02-04,957.9593586629599
2014-02-05,960.0457429155699
2014-02-06,965.7501778857411
2014-02-07,974.9074511121407
2014-02-10,978.7139106389119
2014-02-11,985.6889072459873
2014-02-12,988.710908646902
2014-02-13,991.0049860921001
2014-02-14,994.9028785053953
2014-02-17,996.6614018204463
2014-02-18,1000.810463922675
2014-02-19,999.2160551722727
2014-02-20,999.8801744325827
2014-02-21,1002.912125279341
2014-02-24,1005.4587697361924
2014-02-25,1007.6098991796846
2014-02-26,1007.8344715804186
2014-02-27,1010.711715060035
2014-02-28,1015.9574090723877
2014-03-03,1009.295109759889
2014-03-04,1017.4397606981482
2014-03-05,1016.4633328571585
2014-03-06,1018.3811096275181
2014-03-07,1018.6632604433762
2014-03-10,1015.9596366630761
2014-03-11,1017.7778667326031
2014-03-12,1014.4158284551769
2014-03-13,1011.0749454311256
2014-03-14,1004.8611712025514
2014-03-17,1008.8546902408025
2014-03-18,1013.6386263905009
2014-03-19,1008.1684871824015
2014-03-20,1004.0233860896705
2014-03-21,1003.6870793192196
2014-03-24,1004.1159263622029
2014-03-25,1007.4214639814859
2014-03-26,1008.5447501361093
2014-03-27,1011.34496285729
2014-03-28,1014.764167915742
2014-03-31,1023.3956560302294
2014-04-01,1023.4138529744939
2014-04-02,1023.6908060329685
2014-04-03,1024.4256372503448
2014-04-04,1020.6392438360589
2014-04-07,1016.5396882686913
2014-04-08,1020.0093428068046
2014-04-09,1025.2976178996594
2014-04-10,1020.2872579129211
2014-04-11,1012.4185189539173
