Date,ACWI ex JAPAN MINIMUM VOLATILITY (JPY)
2001-05-31,1000.0
2001-06-01,1001.3527513394855
2001-06-04,1005.8435801180957
2001-06-05,1012.1320879696492
2001-06-06,1005.335437666232
2001-06-07,1007.6393754412018
2001-06-08,1007.960318653249
2001-06-11,1002.5702748341848
2001-06-12,1004.6618403254964
2001-06-13,1003.6327514520918
2001-06-14,998.4050011873591
2001-06-15,996.4005990874482
2001-06-18,991.4296954427591
2001-06-19,991.1291046098033
2001-06-20,989.7323463983462
2001-06-21,987.6216295558534
2001-06-22,984.2290670521102
2001-06-25,982.2119333807027
2001-06-26,981.4954027667145
2001-06-27,975.8033362183241
2001-06-28,974.8117973813248
2001-06-29,976.8776290127132
2001-07-02,982.6843805139017
2001-07-03,978.8519550968435
2001-07-04,978.2082526366324
2001-07-05,972.6091266261668
2001-07-06,963.5712024622773
2001-07-09,965.6226884218987
2001-07-10,963.9191156646938
2001-07-11,963.3843558316709
2001-07-12,966.6668990427688
2001-07-13,969.9341416320868
2001-07-16,966.826358350271
2001-07-17,967.0738831560894
2001-07-18,972.715671959251
2001-07-19,979.9245064830776
2001-07-20,977.660381226153
2001-07-23,968.5767680091734
2001-07-24,960.1484306719082
2001-07-25,966.0920866447054
2001-07-26,970.2589860683084
2001-07-27,973.1595623333275
2001-07-30,976.2714700695842
2001-07-31,982.759623920816
2001-08-01,988.157505207731
2001-08-02,990.2003425726338
2001-08-03,987.0794439652615
2001-08-06,981.3977156559221
2001-08-07,982.1852825256498
2001-08-08,975.1339703400972
2001-08-09,975.5661211020779
2001-08-10,980.7318494357394
2001-08-13,984.58708184368
2001-08-14,986.7865684432544
2001-08-15,992.7993053569973
2001-08-16,993.3834409019079
2001-08-17,988.0503519075278
2001-08-20,988.2924656208384
2001-08-21,989.854640141859
2001-08-22,994.0324224950909
2001-08-23,991.9398654987049
2001-08-24,998.3890286897738
2001-08-27,997.5420416364922
2001-08-28,988.6632378968395
2001-08-29,984.2088945550712
2001-08-30,973.0773639891853
2001-08-31,972.6480198103409
2001-09-03,969.5584579383345
2001-09-04,971.9795900979568
2001-09-05,970.4236227945961
2001-09-06,961.0693776393011
2001-09-07,953.449207177175
2001-09-10,948.1856812019962
2001-09-11,938.3937107419916
2001-09-12,936.4599052961164
2001-09-13,939.0747124068092
2001-09-14,928.8992988665618
2001-09-17,913.628141532635
2001-09-18,910.5641173882489
2001-09-19,900.8842960827958
