Date,AC PACIFIC MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,999.29019539432
2001-06-04,1001.0639139603321
2001-06-05,996.521796295715
2001-06-06,997.5266643966413
2001-06-07,1004.160617896239
2001-06-08,1002.3018700364174
2001-06-11,993.255576477638
2001-06-12,981.5648988343308
2001-06-13,984.4109145952526
2001-06-14,984.3952900222688
2001-06-15,981.1383710079011
2001-06-18,973.3600797751259
2001-06-19,971.8969018864432
2001-06-20,971.4642997711647
2001-06-21,976.8798467254032
2001-06-22,980.9991803508454
2001-06-25,979.4956232507863
2001-06-26,984.5787581803664
2001-06-27,979.1358909171375
2001-06-28,968.1370585041809
2001-06-29,983.0900029007937
2001-07-02,977.4739256496816
2001-07-03,981.4216476489111
2001-07-04,976.0020298385026
2001-07-05,969.9253311437996
2001-07-06,957.8727489708782
2001-07-09,956.8919095912713
2001-07-10,960.9042722970494
2001-07-11,955.0199246230878
2001-07-12,962.8371316906024
2001-07-13,955.111513222694
2001-07-16,952.4756316254004
2001-07-17,944.9881885520333
2001-07-18,939.1252997630447
2001-07-19,941.9427174099724
2001-07-20,942.7278125538378
2001-07-23,925.5579649109712
2001-07-24,929.3355381203424
2001-07-25,934.9274982245952
2001-07-26,935.7734958252315
2001-07-27,937.0254754243362
2001-07-30,930.563291655897
2001-07-31,942.118456608284
2001-08-01,948.9145505985887
2001-08-02,964.7082236762002
2001-08-03,957.2639177790535
2001-08-06,957.3132832078908
2001-08-07,962.2579357336047
2001-08-08,965.3551133552188
2001-08-09,952.1265569303097
2001-08-10,957.557068778844
2001-08-13,954.2096236178794
2001-08-14,970.7898215871916
2001-08-15,982.9320185966259
2001-08-16,977.5909670396435
2001-08-17,977.4190020804497
2001-08-20,968.4406795346707
2001-08-21,974.8899357516834
2001-08-22,982.3062161973189
2001-08-23,976.1377647418064
2001-08-24,972.6091995327406
2001-08-27,976.3532879884539
2001-08-28,969.3756371541004
2001-08-29,966.1660294957056
2001-08-30,957.1932153703971
2001-08-31,954.4442085243428
2001-09-03,940.8114334590305
2001-09-04,949.9945357002345
2001-09-05,933.699496592984
2001-09-06,930.2020385602411
2001-09-07,929.7573242747615
2001-09-10,914.101451480191
2001-09-11,925.874733563983
2001-09-12,881.1559702751928
2001-09-13,888.1768107199
2001-09-14,902.4573096310452
2001-09-17,869.2500697853633
2001-09-18,874.8266635793727
2001-09-19,889.5752738281489
2001-09-20,882.8232796421023
2001-09-21,861.6203182612464
2001-09-24,856.0156126842218
2001-09-25,862.3167469665323
2001-09-26,856.6144532388365
2001-09-27,852.5464027379059
2001-09-28,872.556224679075
2001-10-01,880.4635380924403
2001-10-02,888.8434798573776
2001-10-03,880.5822029622065
2001-10-04,890.2845733849078
2001-10-05,893.382166060519
2001-10-08,892.9678725936482
2001-10-09,883.2330489115753
2001-10-10,880.375954327736
2001-10-11,890.9239885975961
2001-10-12,896.3409615979351
2001-10-15,895.0647568245539
2001-10-16,900.4479521129969
2001-10-17,905.2172491745523
2001-10-18,890.7482082154359
2001-10-19,888.6792287290937
2001-10-22,887.186338019872
2001-10-23,896.4429795254824
2001-10-24,899.0116894833241
