Date,AC ASIA PACIFIC ex JP MINIMUM VOL (USD)
2001-05-31,1000.0
2001-06-01,999.3183679845116
2001-06-04,1001.2202079353451
2001-06-05,1003.0572307410383
2001-06-06,1008.8029677329623
2001-06-07,1012.5862483484746
2001-06-08,1020.4057280134484
2001-06-11,1019.2969645261968
2001-06-12,1019.1421726185246
2001-06-13,1022.5183086331108
2001-06-14,1018.0492696480096
2001-06-15,1017.0398168386677
2001-06-18,1005.8958417535692
2001-06-19,1008.0094108999275
2001-06-20,1006.0287408852813
2001-06-21,1005.7069789290206
2001-06-22,1003.4926334952346
2001-06-25,1000.606144600245
2001-06-26,1002.1650623656271
2001-06-27,1001.2679899045999
2001-06-28,993.4351613332544
2001-06-29,1006.4862656270201
2001-07-02,999.1957504852294
2001-07-03,1001.2082059417991
2001-07-04,998.1367488056562
2001-07-05,991.9023266918381
2001-07-06,983.3548457853107
2001-07-09,978.5580214271101
2001-07-10,983.9951287465046
2001-07-11,976.8796306923846
2001-07-12,979.9095915500635
2001-07-13,976.4954265585275
2001-07-16,974.7450938436372
2001-07-17,968.246186805324
2001-07-18,966.5226101644085
2001-07-19,966.721246562775
2001-07-20,962.78953989624
2001-07-23,958.5169718615806
2001-07-24,951.6938373686053
2001-07-25,954.7074580470494
2001-07-26,957.8692563059601
2001-07-27,957.8987701271476
2001-07-30,962.7728143836086
2001-07-31,970.8467013473755
2001-08-01,981.7484583675449
2001-08-02,989.7199611907407
2001-08-03,988.5686651166466
2001-08-06,985.4497439259901
2001-08-07,983.741476370994
2001-08-08,987.7763741770922
2001-08-09,981.0053704939048
2001-08-10,983.7037018769489
2001-08-13,987.7850142551155
2001-08-14,993.8379644496873
2001-08-15,1001.598511747923
2001-08-16,1003.1537746411744
2001-08-17,1006.3568214819519
2001-08-20,997.5191645497397
2001-08-21,1000.4005114740786
2001-08-22,1002.7269366045093
2001-08-23,1003.2016247250078
2001-08-24,999.4482380085421
2001-08-27,1008.3008424851391
