Date,MSCI ACWI Minimum Volatility (USD)
1993-05-31,312.94119175
1993-06-30,313.65139105
1993-07-30,320.68489489
1993-08-31,333.09810533
1993-09-30,331.14218079
1993-10-29,341.15057376
1993-11-30,327.11944616
1993-12-31,346.23217674
1994-01-31,363.84340097
1994-02-28,355.74416366
1994-03-31,338.67263702
1994-04-29,340.82911079
1994-05-31,344.49780007
1994-06-30,343.04393616
1994-07-29,349.49848087
1994-08-31,361.79147951
1994-09-30,358.34227003
1994-10-31,364.64223688
1994-11-30,351.70101652
1994-12-30,352.64727501
1995-01-31,345.46424969
1995-02-28,347.5711313
1995-03-31,361.81320672
1995-04-28,370.55540074
1995-05-31,379.29894972
1995-06-30,380.27057117
1995-07-31,390.11418777
1995-08-31,385.65022264
1995-09-29,392.37812314
1995-10-31,389.48183485
1995-11-30,392.97304312
1995-12-29,410.69643692
1996-01-31,418.98929955
1996-02-29,417.80544893
1996-03-29,418.46346128
1996-04-30,428.15569667
1996-05-31,428.29450771
1996-06-28,431.66302204
1996-07-31,414.04668816
1996-08-30,416.84225955
1996-09-30,425.97406318
1996-10-31,424.37545952
1996-11-29,440.64639349
1996-12-31,441.04207402
1997-01-01,441.04207402
1997-01-02,440.65956945
1997-01-03,441.73528052
1997-01-06,443.3337951
1997-01-07,444.77735713
1997-01-08,443.62960193
1997-01-09,444.41855111
1997-01-10,443.15456771
1997-01-13,446.18304005
1997-01-14,449.25239519
1997-01-15,451.44239364
1997-01-16,452.08327313
1997-01-17,451.77997419
1997-01-20,450.08395121
1997-01-21,449.56354166
1997-01-22,450.30982321
1997-01-23,448.70526757
1997-01-24,446.53282365
1997-01-27,445.16476693
1997-01-28,444.7552625
1997-01-29,445.68351167
1997-01-30,446.49145659
1997-01-31,448.72124601
1997-02-03,448.86748489
1997-02-04,450.37851946
1997-02-05,448.48750733
1997-02-06,448.46236059
1997-02-07,450.22240993
1997-02-10,453.37682084
1997-02-11,454.53367383
1997-02-12,457.34114009
1997-02-13,459.25551783
1997-02-14,460.2548564
1997-02-17,460.88536044
1997-02-18,461.37820564
1997-02-19,460.37007207
1997-02-20,460.34327583
1997-02-21,460.58794521
1997-02-24,462.18747921
1997-02-25,463.15213842
1997-02-26,460.54246895
1997-02-27,458.46962937
1997-02-28,457.80444754
1997-03-03,457.95675299
1997-03-04,457.98570115
1997-03-05,458.61452179
1997-03-06,456.92041115
1997-03-07,458.49404922
1997-03-10,460.70177794
1997-03-11,461.20782867
1997-03-12,458.40467129
1997-03-13,453.94928418
1997-03-14,454.73863919
1997-03-17,454.33455158
1997-03-18,453.60891461
1997-03-19,451.40855167
1997-03-20,449.42673025
1997-03-21,450.11022475
1997-03-24,450.26573816
1997-03-25,451.78917748
1997-03-26,452.0678384
1997-03-27,448.69059407
1997-03-28,448.65584685
1997-03-31,444.99134443
1997-04-01,444.0179005
1997-04-02,443.80069306
1997-04-03,442.690157
1997-04-04,442.50934851
1997-04-07,442.85547246
1997-04-08,443.96773587
1997-04-09,443.05282705
1997-04-10,442.33552646
1997-04-11,437.84926522
1997-04-14,435.82468973
1997-04-15,439.05939078
1997-04-16,441.01065084
1997-04-17,440.58254538
1997-04-18,442.33541089
1997-04-21,442.96784702
1997-04-22,445.64629357
1997-04-23,446.91341025
1997-04-24,445.59918057
1997-04-25,444.84296738
1997-04-28,446.03060755
1997-04-29,450.34074093
1997-04-30,452.98957992
1997-05-01,454.23300661
1997-05-02,458.8387916
1997-05-05,462.57440445
1997-05-06,466.73569358
1997-05-07,463.47717171
1997-05-08,464.91471999
1997-05-09,466.67754228
1997-05-12,470.73302615
1997-05-13,470.76602627
1997-05-14,472.9607709
1997-05-15,474.58817232
1997-05-16,474.75267885
1997-05-19,474.21073642
1997-05-20,475.20662788
1997-05-21,473.32679672
1997-05-22,470.93333278
1997-05-23,475.64638222
1997-05-26,475.90724307
1997-05-27,474.21603175
1997-05-28,476.18350661
1997-05-29,476.74715563
1997-05-30,475.33156295
1997-06-02,478.0001509
1997-06-03,479.95711738
1997-06-04,479.41418598
1997-06-05,480.17265064
1997-06-06,482.43404852
1997-06-09,485.32917074
1997-06-10,487.22215526
1997-06-11,489.66458775
1997-06-12,493.17758976
1997-06-13,494.79557115
1997-06-16,496.38885101
1997-06-17,494.86747251
1997-06-18,494.1141605
1997-06-19,495.31642916
1997-06-20,494.6100693
1997-06-23,491.6644889
1997-06-24,494.99372938
1997-06-25,495.5354276
1997-06-26,494.77398974
1997-06-27,493.80188379
1997-06-30,496.07760385
1997-07-01,498.48523473
1997-07-02,502.1466324
1997-07-03,506.46741722
1997-07-04,506.52928639
1997-07-07,505.68934632
1997-07-08,506.00646732
1997-07-09,504.69037466
1997-07-10,506.6854477
1997-07-11,506.08146421
1997-07-14,505.36683048
1997-07-15,504.53665072
1997-07-16,506.75797581
1997-07-17,506.04661507
1997-07-18,500.91250687
1997-07-21,499.1930119
1997-07-22,505.12687457
1997-07-23,505.89032626
1997-07-24,506.33850697
1997-07-25,505.510556
1997-07-28,506.00592297
1997-07-29,506.98504442
1997-07-30,507.82761956
1997-07-31,509.55755673
1997-08-01,505.64268795
1997-08-04,504.94418017
1997-08-05,504.8803491
1997-08-06,509.5523247
1997-08-07,508.38113751
1997-08-08,505.4654435
1997-08-11,504.96697448
1997-08-12,504.01181449
1997-08-13,502.44087222
1997-08-14,500.38655338
1997-08-15,496.95109249
1997-08-18,495.39718241
1997-08-19,496.05068537
1997-08-20,498.88954463
1997-08-21,496.27070448
1997-08-22,493.66758791
1997-08-25,492.33956392
1997-08-26,492.19019386
1997-08-27,492.16002672
1997-08-28,488.88518672
1997-08-29,483.58536304
1997-09-01,481.67311632
1997-09-02,487.50823708
1997-09-03,491.37073224
1997-09-04,492.19663139
1997-09-05,494.61383708
1997-09-08,495.8496059
1997-09-09,498.07233596
1997-09-10,494.12708488
1997-09-11,489.65146224
1997-09-12,492.2285852
1997-09-15,492.58930237
1997-09-16,497.23712176
1997-09-17,497.17406475
1997-09-18,499.4987864
1997-09-19,500.24442196
1997-09-22,500.87239496
1997-09-23,501.34819588
1997-09-24,504.00330769
1997-09-25,504.1098001
1997-09-26,505.25913599
1997-09-29,507.3536874
1997-09-30,508.35188564
1997-10-01,510.55207047
1997-10-02,511.88312556
1997-10-03,511.64474996
1997-10-06,514.2989829
1997-10-07,515.81210383
1997-10-08,514.0554139
1997-10-09,511.74061819
1997-10-10,511.46049296
1997-10-13,512.70141794
1997-10-14,513.45097747
1997-10-15,514.16627126
1997-10-16,513.89744671
1997-10-17,510.41199681
1997-10-20,511.45842805
1997-10-21,514.6426457
1997-10-22,514.59914694
1997-10-23,503.60375921
1997-10-24,501.68786738
1997-10-27,482.15855641
1997-10-28,480.11130537
1997-10-29,487.24178799
1997-10-30,480.32894567
1997-10-31,484.01977415
1997-11-03,491.23477569
1997-11-04,491.82163197
1997-11-05,492.23824259
1997-11-06,490.7992989
1997-11-07,482.99312735
1997-11-10,482.88585002
1997-11-11,484.42051868
1997-11-12,477.0248794
1997-11-13,477.04666514
1997-11-14,476.00599636
1997-11-17,484.42017714
1997-11-18,484.27071291
1997-11-19,482.00203553
1997-11-20,487.35809831
1997-11-21,491.12360274
1997-11-24,486.75406415
1997-11-25,484.31633535
1997-11-26,485.76990678
1997-11-27,487.97224226
1997-11-28,488.25533897
1997-12-01,491.76381107
1997-12-02,492.54439624
1997-12-03,493.02137717
1997-12-04,491.95381068
1997-12-05,493.12953291
1997-12-08,492.85668912
1997-12-09,492.62502195
1997-12-10,491.17126439
1997-12-11,483.83890719
1997-12-12,485.24797966
1997-12-15,487.31461706
1997-12-16,488.69992925
1997-12-17,492.87731608
1997-12-18,491.83157377
1997-12-19,487.524782
1997-12-22,487.89680228
1997-12-23,488.12627633
1997-12-24,487.12041756
1997-12-25,487.13775482
1997-12-26,488.26350035
1997-12-29,495.58829414
1997-12-30,500.39682885
1997-12-31,500.70878143
1998-01-01,500.70878143
1998-01-02,500.78345638
1998-01-05,498.83006806
1998-01-06,495.2891367
1998-01-07,495.48939253
1998-01-08,492.02400153
1998-01-09,483.41372545
1998-01-12,476.55214377
1998-01-13,482.26675085
1998-01-14,485.55993809
1998-01-15,483.50782425
1998-01-16,489.90658126
1998-01-19,493.68228613
1998-01-20,496.10612531
1998-01-21,495.21672536
1998-01-22,493.89227995
1998-01-23,493.21391443
1998-01-26,494.38167536
1998-01-27,496.98603006
1998-01-28,497.36081751
1998-01-29,499.54357945
1998-01-30,498.07770151
1998-02-02,507.11790182
1998-02-03,508.5420806
1998-02-04,508.62292053
1998-02-05,510.89048985
1998-02-06,511.7507968
1998-02-09,510.50264542
1998-02-10,511.64438831
1998-02-11,511.75585618
1998-02-12,510.7159902
1998-02-13,509.50408644
1998-02-16,509.86705033
1998-02-17,511.85363181
1998-02-18,514.37377711
1998-02-19,512.86084527
1998-02-20,514.0085476
1998-02-23,514.64420396
1998-02-24,512.87855586
