Date,AC EUROPE MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,999.7758733745619
2001-06-04,1003.7933728135508
2001-06-05,1010.728291129169
2001-06-06,1005.0820577366693
2001-06-07,1007.1391322064517
2001-06-08,1004.2636221740576
2001-06-11,991.8429662249713
2001-06-12,993.5482605051182
2001-06-13,1002.722663828411
2001-06-14,1006.3129458693935
2001-06-15,1003.6877789145886
2001-06-18,997.2792886859168
2001-06-19,994.7624503398482
2001-06-20,988.2419112975949
2001-06-21,988.6327705575081
2001-06-22,992.3309582255766
2001-06-25,998.343855033189
2001-06-26,990.8908235499104
2001-06-27,990.0870177097321
2001-06-28,986.0073513500879
2001-06-29,989.6882085685432
2001-07-02,996.6566343376521
2001-07-03,989.0690014184687
2001-07-04,986.2545513840344
2001-07-05,977.9348214284213
2001-07-06,974.3067327012725
2001-07-09,977.1835996613074
2001-07-10,979.3857378977524
2001-07-11,979.9943250419198
2001-07-12,975.0720318537216
2001-07-13,977.8177458882012
2001-07-16,978.057345392476
2001-07-17,971.2037600423967
2001-07-18,984.8323829851823
2001-07-19,994.5780456068416
2001-07-20,994.4472932201785
2001-07-23,991.3107006264377
2001-07-24,989.8217049949875
2001-07-25,985.2822380220676
2001-07-26,986.9491864922561
2001-07-27,993.9427870187321
2001-07-30,999.3739759125602
2001-07-31,1006.7319823448701
2001-08-01,1014.106289382142
2001-08-02,1014.2978627747997
2001-08-03,1011.4822224097899
2001-08-06,1006.2205051902645
2001-08-07,1003.8277463095078
2001-08-08,996.857981850209
2001-08-09,997.9529459114982
2001-08-10,1001.1955066054438
2001-08-13,1007.6402404991703
2001-08-14,1012.1312534054612
2001-08-15,1023.9359069721373
2001-08-16,1021.1192548342485
2001-08-17,1015.2141063678057
2001-08-20,1011.4752955569289
2001-08-21,1018.7689025752774
2001-08-22,1026.451068162443
2001-08-23,1022.208915123482
2001-08-24,1032.0890081076475
2001-08-27,1028.6497241134216
2001-08-28,1021.2404384224035
2001-08-29,1019.4139995821972
2001-08-30,1005.0890380069012
2001-08-31,1007.486199451882
2001-09-03,999.6613515943878
2001-09-04,992.0611568341501
2001-09-05,985.016116111357
2001-09-06,976.6054519049785
2001-09-07,971.3486470974251
2001-09-10,955.1194641166987
2001-09-11,917.627067083661
2001-09-12,924.0974000951359
2001-09-13,937.1686491008985
2001-09-14,914.5441852543206
2001-09-17,920.8669321292247
2001-09-18,912.4123586115588
2001-09-19,907.3455885401262
2001-09-20,874.5808399653806
2001-09-21,839.6477764985655
2001-09-24,868.8138466748456
2001-09-25,881.5669285800552
2001-09-26,891.1152149508368
2001-09-27,903.9529533600492
2001-09-28,919.0700042926688
2001-10-01,912.5327238073402
2001-10-02,920.9934436991248
2001-10-03,927.9824689835051
2001-10-04,940.864755742547
2001-10-05,942.5793921236807
2001-10-08,938.7087122059506
2001-10-09,935.3264199609937
2001-10-10,944.58137623469
2001-10-11,943.860042884358
2001-10-12,946.0362220560526
2001-10-15,934.0005812978518
2001-10-16,938.6298520252705
2001-10-17,948.5161497520543
2001-10-18,936.7582011908678
2001-10-19,920.2955787150173
2001-10-22,923.1374915426816
2001-10-23,931.1285892988948
2001-10-24,935.0434765003624
2001-10-25,926.4260277537472
2001-10-26,937.2242157883223
2001-10-29,933.7832525961481
2001-10-30,923.6212100253815
2001-10-31,926.4505319492827
2001-11-01,935.9168185355084
2001-11-02,934.9729749233327
2001-11-05,942.1066739083811
2001-11-06,940.8424264079589
2001-11-07,947.6336587229166
2001-11-08,951.3086260152935
2001-11-09,946.3689111714506
2001-11-12,932.9739904551644
2001-11-13,937.8741971613109
2001-11-14,937.9378757838521
2001-11-15,930.5843354632607
2001-11-16,937.6792163996024
2001-11-19,940.5628659563367
2001-11-20,937.6917659462516
2001-11-21,933.8909825731317
2001-11-22,941.1951182657459
2001-11-23,935.2561034574998
2001-11-26,934.4293307233382
2001-11-27,929.770599901234
2001-11-28,928.9525655943005
2001-11-29,932.8591249004517
2001-11-30,944.4036311202395
2001-12-03,936.858772900074
2001-12-04,944.1467833619109
2001-12-05,952.0009276847127
2001-12-06,957.9309294982762
2001-12-07,947.8734900075206
2001-12-10,936.7948234678859
2001-12-11,935.9596226139853
2001-12-12,936.5246605133781
2001-12-13,931.215405442465
2001-12-14,929.6029830590502
2001-12-17,944.368617944283
2001-12-18,943.6170205129129
2001-12-19,936.6204183059299
2001-12-20,936.1682599800455
2001-12-21,941.0820790068399
2001-12-24,935.2026768678987
2001-12-25,935.1869858705239
2001-12-26,937.4410290299571
2001-12-27,956.4855988161921
2001-12-28,959.7393077620984
2001-12-31,967.1206718693072
2002-01-01,967.1206718693072
2002-01-02,968.9704347354478
2002-01-03,973.8688119788587
2002-01-04,968.7406701667079
2002-01-07,959.9845528244186
2002-01-08,954.1249933977404
2002-01-09,952.6285833527339
2002-01-10,952.6997917344406
2002-01-11,955.2728191827787
2002-01-14,947.6803939218576
2002-01-15,952.226556749317
2002-01-16,940.233820074302
2002-01-17,948.0994880418446
2002-01-18,950.0838434941035
2002-01-21,949.6131281252387
2002-01-22,950.5901942575042
2002-01-23,956.6906817411949
2002-01-24,956.3488561378538
2002-01-25,941.1910728904609
2002-01-28,943.0909453797778
2002-01-29,936.5971301372946
2002-01-30,930.7387618974683
2002-01-31,941.5496679699467
2002-02-01,944.6816098264783
2002-02-04,944.2652299146963
2002-02-05,938.3210864135737
2002-02-06,935.5986789401788
2002-02-07,936.5728093376287
2002-02-08,939.508827627698
2002-02-11,948.811851610889
2002-02-12,950.8369755968484
2002-02-13,954.7430430125405
2002-02-14,959.3678721274794
2002-02-15,959.9131693553668
2002-02-18,952.2722369277031
2002-02-19,944.6453949944002
2002-02-20,939.2024544888967
2002-02-21,941.9870464052766
2002-02-22,944.0798572509453
2002-02-25,948.4772256609926
2002-02-26,949.087207007184
2002-02-27,954.8554704359728
2002-02-28,956.0161439101034
2002-03-01,961.049732998454
2002-03-04,972.6106927251201
2002-03-05,969.6683791047182
2002-03-06,974.3999898183521
2002-03-07,982.2793396668894
2002-03-08,981.5782142268877
2002-03-11,980.1394189972361
2002-03-12,974.4223573929677
2002-03-13,977.4276222046258
2002-03-14,985.8203816562906
2002-03-15,992.340983472327
2002-03-18,991.9416711753028
2002-03-19,995.2859795382047
2002-03-20,991.9766344663495
2002-03-21,989.4932200688284
2002-03-22,990.989662284734
2002-03-25,985.2337048174672
2002-03-26,986.1351542311683
2002-03-27,983.1557105917648
2002-03-28,991.7883901230789
2002-03-29,991.7567345614385
2002-04-01,1000.7825124296495
2002-04-02,1001.8404265133763
2002-04-03,1000.3303982601698
2002-04-04,995.6546789847184
2002-04-05,995.8092401339397
2002-04-08,984.8042282149122
2002-04-09,989.1681619730022
2002-04-10,997.5974810827618
2002-04-11,993.4020106652325
