Date,AC ASEAN MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,998.0497740014638
2001-06-04,1000.5521570711817
2001-06-05,999.7493460473158
2001-06-06,995.1207768031172
2001-06-07,1002.7374130129343
2001-06-08,1012.5223927774472
2001-06-11,1011.4013747726581
2001-06-12,1014.016420716839
2001-06-13,1024.0166390240597
2001-06-14,1026.36020030684
2001-06-15,1026.2822835906102
2001-06-18,1023.9581491033235
2001-06-19,1021.5321032719784
2001-06-20,1015.5059925531879
2001-06-21,1024.044495002525
2001-06-22,1032.4964058338578
2001-06-25,1035.610325497892
2001-06-26,1037.6423598638144
2001-06-27,1033.5451733228945
2001-06-28,1029.2679613651076
2001-06-29,1034.7697808167484
2001-07-02,1020.6609537579867
2001-07-03,1022.242501703993
2001-07-04,1021.2136594290762
2001-07-05,1032.9456126544533
2001-07-06,1032.8204285209727
2001-07-09,1031.0197609428867
2001-07-10,1034.6853690937423
2001-07-11,1022.4313598300286
2001-07-12,1018.5508094690301
2001-07-13,1021.7856043967455
2001-07-16,1028.706399373126
2001-07-17,1026.5305259188638
2001-07-18,1033.0939598717166
2001-07-19,1034.052267922778
2001-07-20,1038.425265333891
2001-07-23,1029.3738903833428
2001-07-24,1028.8083637813957
2001-07-25,1033.8034992399944
2001-07-26,1036.8972928846845
2001-07-27,1037.9829876008575
2001-07-30,1047.5332638426287
2001-07-31,1053.0463285509334
2001-08-01,1049.3843915495129
2001-08-02,1049.8227925457707
2001-08-03,1048.6117594355417
2001-08-06,1047.4308443669038
2001-08-07,1052.5342269406228
2001-08-08,1049.8719845702901
2001-08-09,1043.993890676139
2001-08-10,1050.6220172980031
2001-08-13,1051.4975541697509
2001-08-14,1058.6525389575977
2001-08-15,1063.8324254967524
2001-08-16,1062.857279275146
2001-08-17,1058.7026002164703
2001-08-20,1056.7936911717943
2001-08-21,1058.494766277994
2001-08-22,1058.4659976882472
2001-08-23,1067.2238268482452
2001-08-24,1076.7809133759415
2001-08-27,1094.7380230597569
2001-08-28,1084.3300677323246
2001-08-29,1083.7056051716602
2001-08-30,1075.6255301690558
2001-08-31,1081.7518756995196
2001-09-03,1087.9080488992352
2001-09-04,1085.5302994236104
2001-09-05,1085.437652210518
2001-09-06,1085.9797675777572
2001-09-07,1084.7911064406442
2001-09-10,1077.9523534785983
