Date,ACWI MINIMUM VOLATILITY (GBP)
2001-05-31,1000.0
2001-06-01,1000.7446212380049
2001-06-04,1004.8773088746372
2001-06-05,1007.9791499114515
2001-06-06,1001.675334809721
2001-06-07,1004.146139640322
2001-06-08,1002.4845054350118
2001-06-11,996.1658751800164
2001-06-12,995.5483061812806
2001-06-13,995.413222359479
2001-06-14,992.6392673058566
2001-06-15,990.0447630444164
2001-06-18,985.9051325302667
2001-06-19,985.1678057436209
2001-06-20,985.8840620481045
2001-06-21,985.623943497032
2001-06-22,983.408492318336
2001-06-25,981.1116883352969
2001-06-26,980.5172511631426
2001-06-27,975.8144045987967
2001-06-28,973.0088871004054
2001-06-29,977.5106256989551
2001-07-02,982.7341911512449
2001-07-03,978.909379555041
2001-07-04,977.3405917175788
2001-07-05,972.093445643759
2001-07-06,963.0229860697474
2001-07-09,965.1384583088424
2001-07-10,964.409511971998
2001-07-11,963.8741795454094
2001-07-12,966.4412591345227
2001-07-13,968.0707680043027
2001-07-16,965.8130350228276
2001-07-17,965.027635620527
2001-07-18,968.6604977265954
2001-07-19,975.244180495693
2001-07-20,974.1778589958068
2001-07-23,962.5568395718994
2001-07-24,956.1486489784113
2001-07-25,962.6241353411108
2001-07-26,965.9598360843812
2001-07-27,967.7762992613942
2001-07-30,969.1257510469532
2001-07-31,977.3529548640295
2001-08-01,982.4301849953602
2001-08-02,986.3502658341539
2001-08-03,982.8395825206574
2001-08-06,977.8322735477473
2001-08-07,980.1434074952884
2001-08-08,974.188047398398
2001-08-09,972.6396478660556
2001-08-10,978.1210620664026
2001-08-13,979.2593439629687
2001-08-14,984.026657115967
2001-08-15,990.4580970475561
2001-08-16,989.6575368292813
2001-08-17,984.0068305703327
2001-08-20,983.7974426152708
2001-08-21,987.1290323878524
2001-08-22,992.8575657041523
2001-08-23,990.1123130610373
2001-08-24,995.432155820374
2001-08-27,994.6098162677005
2001-08-28,986.8512461546412
2001-08-29,981.931463731876
2001-08-30,970.6944574462898
2001-08-31,971.322269975784
2001-09-03,966.139250887644
2001-09-04,971.5671151835774
2001-09-05,968.3112307283916
2001-09-06,960.575799285521
2001-09-07,953.6305550257792
2001-09-10,946.312635834105
2001-09-11,939.1894316553804
2001-09-12,933.3339054397443
2001-09-13,938.0114762125492
2001-09-14,932.1093220579086
2001-09-17,917.1136911333776
2001-09-18,916.0810055252917
2001-09-19,909.6579749273527
2001-09-20,888.9918353054671
2001-09-21,864.0925334205618
2001-09-24,877.7532860815015
2001-09-25,884.2033412877546
2001-09-26,888.0408922987561
2001-09-27,897.4837957225185
2001-09-28,913.2580338387958
2001-10-01,911.0903288936595
2001-10-02,919.823549291564
2001-10-03,919.8126181817947
2001-10-04,926.2423629374726
2001-10-05,930.4983453713327
2001-10-08,926.8852385500722
2001-10-09,920.776529910202
2001-10-10,929.9084174368455
2001-10-11,932.6046241397052
