Date,AC PACIFIC ex JP MINIMUM VOLATILITY(USD)
2001-05-31,1000.0
2001-06-01,1000.5622175451828
2001-06-04,1004.0781435623654
2001-06-05,1007.9040018790554
2001-06-06,1014.687043315909
2001-06-07,1019.4566010734824
2001-06-08,1027.3808633551503
2001-06-11,1024.5035629529061
2001-06-12,1024.8101922964383
2001-06-13,1028.5812230783874
2001-06-14,1024.2446303435072
2001-06-15,1025.202957225398
2001-06-18,1013.323659699835
2001-06-19,1013.6675053711112
2001-06-20,1010.5747784771618
2001-06-21,1010.5896827969942
2001-06-22,1009.1704100307862
2001-06-25,1007.9815883220529
2001-06-26,1006.5167625290718
2001-06-27,1005.800739486102
2001-06-28,997.1970268431959
2001-06-29,1011.1614131713587
2001-07-02,1003.8188556629017
2001-07-03,1007.8495573349211
2001-07-04,1004.3050608592388
2001-07-05,997.6872932259085
2001-07-06,988.8074608617945
2001-07-09,982.8930931208711
2001-07-10,987.3974341016451
2001-07-11,978.0391102174748
2001-07-12,980.9429598615961
2001-07-13,976.5205271987844
2001-07-16,974.1679952985378
2001-07-17,966.798974896806
2001-07-18,965.0047890809664
2001-07-19,964.5999512718263
2001-07-20,962.375194273771
2001-07-23,957.3337202960374
2001-07-24,949.9439238591336
2001-07-25,954.5536396364637
2001-07-26,958.9033278336522
2001-07-27,959.3721683007792
2001-07-30,962.7153930797364
2001-07-31,970.8461595142958
2001-08-01,982.6384015828882
2001-08-02,991.7888097945907
2001-08-03,988.9895471262864
2001-08-06,985.1828166302035
2001-08-07,983.2778960317422
2001-08-08,988.0477445580053
2001-08-09,980.4174548722685
2001-08-10,984.3023225275919
2001-08-13,989.7672222139421
2001-08-14,995.7446790910336
2001-08-15,1004.5775847078315
2001-08-16,1006.795007541891
2001-08-17,1009.6906528921483
2001-08-20,1000.1825005818599
2001-08-21,1003.2599240746696
2001-08-22,1005.6536579188728
2001-08-23,1004.9950688077404
2001-08-24,1000.2301252206146
2001-08-27,1010.2785715015796
2001-08-28,1005.8059618572319
2001-08-29,1011.5399130446102
2001-08-30,1009.6811933850847
2001-08-31,1001.2218186660639
2001-09-03,998.1347014003029
2001-09-04,998.4610901227882
2001-09-05,989.2843914399251
2001-09-06,983.0676911217422
2001-09-07,976.0513458203513
2001-09-10,969.7659207878413
2001-09-11,970.7142452795109
2001-09-12,935.7635479891555
2001-09-13,930.0656030740524
2001-09-14,916.1530764157451
2001-09-17,881.0056546767338
2001-09-18,880.5421449270494
2001-09-19,890.1716944450023
2001-09-20,878.749361350289
2001-09-21,854.1935975431102
2001-09-24,854.2666989682912
2001-09-25,855.2505688719139
2001-09-26,857.9444731495262
2001-09-27,864.404456707208
2001-09-28,881.4871011830807
2001-10-01,882.5999526173257
2001-10-02,883.2133620850994
2001-10-03,884.1834036719051
2001-10-04,892.2869145701304
2001-10-05,905.0973416033175
2001-10-08,896.4749694381669
2001-10-09,904.8316022172269
2001-10-10,899.4634715373386
2001-10-11,911.8986797853137
2001-10-12,912.6774344678358
2001-10-15,918.6805873191227
2001-10-16,923.8042767932367
2001-10-17,930.9495190141364
