Date,EM ASIA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1013.1044419541395
1999-01-05,1034.1244238721029
1999-01-06,1069.309376700956
1999-01-07,1101.265002812821
1999-01-08,1110.3754210265793
1999-01-11,1123.4283934704406
1999-01-12,1110.7291478503294
1999-01-13,1066.3013847841098
1999-01-14,1029.8820866407002
1999-01-15,1052.7498025851785
1999-01-18,1064.2894139479818
1999-01-19,1052.461869985851
1999-01-20,1054.92350952162
1999-01-21,1040.0877363799245
1999-01-22,1011.8731021663275
1999-01-25,981.2171879764276
1999-01-26,983.109772624961
1999-01-27,1010.7416659303502
1999-01-28,1014.7713907986004
1999-01-29,1019.9856604860571
1999-02-01,1021.2309733821099
1999-02-02,1005.4693662035337
1999-02-03,1001.1067093103817
1999-02-04,988.2379125590325
1999-02-05,980.3442776420944
1999-02-08,984.6203488994951
1999-02-09,966.3678267217249
1999-02-10,971.8181485081591
1999-02-11,972.5563312999074
1999-02-12,992.3712810846961
1999-02-15,997.0418003311192
1999-02-16,1005.5740109581012
1999-02-17,998.5066007673798
1999-02-18,995.2735671772626
1999-02-19,992.0980283437071
1999-02-22,997.627328843238
1999-02-23,999.2420423085167
1999-02-24,996.5667408737552
1999-02-25,984.334524772624
1999-02-26,1003.9601599747954
1999-03-01,1018.5851868674201
1999-03-02,1018.2357767640406
1999-03-03,1027.0733787579454
1999-03-04,1028.4560570665863
1999-03-05,1028.1628667419086
1999-03-08,1042.5469467315927
1999-03-09,1042.1538793630446
1999-03-10,1036.7621230598738
1999-03-11,1048.2407227709048
1999-03-12,1045.0755517031466
1999-03-15,1057.7979518678903
1999-03-16,1064.933139529162
1999-03-17,1063.3167018204917
1999-03-18,1066.949436889846
1999-03-19,1095.9095505968487
1999-03-22,1112.171302179917
1999-03-23,1121.5160929961467
1999-03-24,1110.2202243160766
1999-03-25,1115.5895664790942
1999-03-26,1127.9861041626425
1999-03-29,1126.3905088369536
1999-03-30,1128.5358211717778
1999-03-31,1128.2411399166342
1999-04-01,1140.629845740416
1999-04-02,1156.4479045110247
1999-04-05,1153.4052952978996
1999-04-06,1164.2642586179902
1999-04-07,1164.4217837188437
1999-04-08,1170.3499014228885
1999-04-09,1186.2044549199372
1999-04-12,1174.0217837449325
1999-04-13,1187.474741907207
1999-04-14,1197.601243919872
1999-04-15,1233.1341349878483
1999-04-16,1270.6922347507466
1999-04-19,1313.3252443764636
1999-04-20,1322.02584871995
1999-04-21,1313.1657862795282
1999-04-22,1318.0705215327237
1999-04-23,1322.9635127794377
1999-04-26,1344.1286151920904
1999-04-27,1355.6848466362137
1999-04-28,1371.369750668353
1999-04-29,1380.8390045948477
1999-04-30,1409.0977041504927
1999-05-03,1444.370632687125
1999-05-04,1497.031147918804
1999-05-05,1506.0031071964447
1999-05-06,1533.8947157506675
1999-05-07,1528.3147281187366
1999-05-10,1538.9703226323927
1999-05-11,1548.9669381659128
1999-05-12,1554.8437826958257
1999-05-13,1539.1755242828997
1999-05-14,1541.569425606811
1999-05-17,1507.5564611319157
1999-05-18,1515.535819413077
1999-05-19,1532.0907233966084
1999-05-20,1529.225401614642
1999-05-21,1530.592282580698
1999-05-24,1555.1506496323439
1999-05-25,1562.5143328890347
1999-05-26,1578.2691749523708
1999-05-27,1583.4808794520482
1999-05-28,1561.134126280058
1999-05-31,1576.323862223045
1999-06-01,1579.7895193372665
1999-06-02,1603.139918341322
1999-06-03,1619.2464917796256
1999-06-04,1646.9273332900427
1999-06-07,1684.155877972371
1999-06-08,1708.7490434555111
1999-06-09,1692.0837244427616
1999-06-10,1717.6245876159007
1999-06-11,1734.4218752677757
1999-06-14,1760.126033427608
1999-06-15,1741.8148724378113
1999-06-16,1777.2722042133119
1999-06-17,1811.4455729922715
1999-06-18,1808.3793992629683
1999-06-21,1871.5546656618744
1999-06-22,1917.0820810205664
1999-06-23,1932.097370691823
1999-06-24,1929.0506339306705
1999-06-25,1890.9007103934907
1999-06-28,1942.4283835200636
1999-06-29,1966.2354855533313
1999-06-30,1944.9605562720167
1999-07-01,1960.936670607011
1999-07-02,1987.3466242201266
1999-07-05,2021.999883998656
1999-07-06,2033.4393308688245
1999-07-07,2030.6011728216472
1999-07-08,2045.4761857977212
1999-07-09,2067.3626210561274
1999-07-12,2093.7990713066656
1999-07-13,2050.4940546670723
1999-07-14,2006.2525202765605
1999-07-15,2001.5624156770791
1999-07-16,2000.943130767843
1999-07-19,2006.0095943954123
1999-07-20,1964.16659119796
1999-07-21,1931.172226574744
1999-07-22,1921.5961381165982
1999-07-23,1872.1028405019304
1999-07-26,1782.7873348980086
1999-07-27,1787.8032558472503
1999-07-28,1832.7245004563601
1999-07-29,1837.526374515039
1999-07-30,1820.9351343859182
1999-08-02,1815.8629430677968
1999-08-03,1831.4271895477061
1999-08-04,1821.500205288846
