Date,EM FAR EAST EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1015.6420421293934
1999-01-05,1041.3575818083098
1999-01-06,1085.293501453189
1999-01-07,1123.8174344113195
1999-01-08,1123.768851596175
1999-01-11,1134.1287895399753
1999-01-12,1121.825099310324
1999-01-13,1070.5332833572495
1999-01-14,1027.155091496608
1999-01-15,1061.1553817531214
1999-01-18,1073.3690386424553
1999-01-19,1062.0983187228153
1999-01-20,1064.3342797142143
1999-01-21,1036.6361702036281
1999-01-22,999.6202492405084
1999-01-25,957.1131857681913
1999-01-26,960.8455543447442
1999-01-27,992.9537974513735
1999-01-28,1002.5752223894926
1999-01-29,1010.4184998838904
1999-02-01,1016.5058823938585
1999-02-02,1002.7260773762349
1999-02-03,992.3606069066346
1999-02-04,977.531627943637
1999-02-05,969.9057588788046
1999-02-08,974.4217490016033
1999-02-09,949.0193384162299
1999-02-10,954.6410900364657
1999-02-11,953.2853305590666
1999-02-12,975.2392144803891
1999-02-15,978.3039370460492
1999-02-16,983.6454560440318
1999-02-17,973.9728812528056
1999-02-18,967.576588157974
1999-02-19,961.9644344296573
1999-02-22,966.8699519985183
1999-02-23,965.718111337862
1999-02-24,964.0408944423419
1999-02-25,952.4539856603092
1999-02-26,980.3828280196468
1999-03-01,987.2460870000236
1999-03-02,984.7157207047214
1999-03-03,990.5868747575151
1999-03-04,991.7090763415174
1999-03-05,990.1033329458738
1999-03-08,1001.534834513357
1999-03-09,991.5962960035818
1999-03-10,980.0620096695596
1999-03-11,1000.008184631577
1999-03-12,997.7798328923473
1999-03-15,1010.179263468236
1999-03-16,1021.9126194429691
1999-03-17,1021.8088831260399
1999-03-18,1026.6443278241761
1999-03-19,1058.727553508384
1999-03-22,1067.7539705087888
1999-03-23,1075.9900711535588
1999-03-24,1067.6018700449147
1999-03-25,1076.800622881279
1999-03-26,1089.6118894542187
1999-03-29,1086.8726517768307
1999-03-30,1088.1075194726413
1999-03-31,1084.4719995444766
1999-04-01,1104.0612071824498
1999-04-02,1126.779976685093
1999-04-05,1131.5342728180858
1999-04-06,1146.7010514973656
1999-04-07,1148.8010493491522
1999-04-08,1161.2449406420417
1999-04-09,1188.5222689066404
1999-04-12,1177.5397590078126
1999-04-13,1195.4185947011642
1999-04-14,1208.1124146657755
1999-04-15,1257.3188015374537
1999-04-16,1293.3550204507576
1999-04-19,1352.383262960278
1999-04-20,1361.835031822136
1999-04-21,1348.3866000500357
1999-04-22,1357.2884956080702
1999-04-23,1365.8687401880984
1999-04-26,1402.582314466019
1999-04-27,1418.65432227589
1999-04-28,1433.6502174468492
1999-04-29,1439.3751974659986
1999-04-30,1475.4180565323775
1999-05-03,1516.0349592128557
1999-05-04,1576.8472542941913
1999-05-05,1586.7065779432312
1999-05-06,1622.0712836367607
1999-05-07,1608.4707130811146
1999-05-10,1610.6108595812454
1999-05-11,1617.8592231692105
1999-05-12,1629.5941644651473
1999-05-13,1598.5168276236072
1999-05-14,1595.2022976623211
1999-05-17,1548.92150312334
1999-05-18,1552.9620775041296
1999-05-19,1562.9165445456865
1999-05-20,1558.635782521279
1999-05-21,1568.5426251884778
1999-05-24,1584.5262130115395
1999-05-25,1599.0671130860565
1999-05-26,1631.3582148033572
1999-05-27,1654.5937143146512
1999-05-28,1635.096530765272
1999-05-31,1635.054309812005
1999-06-01,1654.6542366057495
1999-06-02,1678.5794722083845
1999-06-03,1695.206280129154
1999-06-04,1723.1165264998763
1999-06-07,1773.2722142588145
1999-06-08,1807.632581684072
1999-06-09,1791.4025811270833
1999-06-10,1825.3585815744937
1999-06-11,1858.1778098881496
1999-06-14,1902.950551184635
1999-06-15,1886.6101032485035
1999-06-16,1917.6644539899398
1999-06-17,1956.357927972932
1999-06-18,1961.2905158223261
1999-06-21,2031.1886405449222
1999-06-22,2089.569928442221
1999-06-23,2120.452432892901
1999-06-24,2120.3465893062553
1999-06-25,2075.2580487212194
1999-06-28,2130.7439495340104
1999-06-29,2161.7472418021025
1999-06-30,2133.138546529407
1999-07-01,2156.3756701637776
1999-07-02,2180.593519332994
1999-07-05,2207.4076759474756
1999-07-06,2220.336783969137
1999-07-07,2211.0629488989857
1999-07-08,2228.672956456316
1999-07-09,2248.151126966654
1999-07-12,2245.798043755174
1999-07-13,2190.248930440337
1999-07-14,2124.9479849233508
1999-07-15,2127.305617500249
1999-07-16,2126.4831216786315
1999-07-19,2119.5380455251084
1999-07-20,2082.4785766637706
1999-07-21,2033.4575698415274
1999-07-22,2015.3114203212442
1999-07-23,1950.736369006142
1999-07-26,1837.5547041663917
1999-07-27,1846.175072318617
1999-07-28,1909.2074123647956
1999-07-29,1923.3825827934613
1999-07-30,1902.4138093530423
1999-08-02,1896.0124784457314
1999-08-03,1915.427841633911
1999-08-04,1892.800933167578
1999-08-05,1832.0702205057066
