Date,BRIC EQUAL WEIGHTED
1998-12-31,239.9411812095821
1999-01-01,239.9411812095821
1999-01-04,241.23700203637267
1999-01-05,242.58058814366572
1999-01-06,247.8058797899869
1999-01-07,248.88829688364052
1999-01-08,253.96667159396154
1999-01-11,253.67364531272307
1999-01-12,247.00164049429785
1999-01-13,230.90612133554959
1999-01-14,225.73241380527827
1999-01-15,229.3737409184754
1999-01-18,225.5140010093612
1999-01-19,223.77383251025412
1999-01-20,224.3366832533842
1999-01-21,222.28716246850732
1999-01-22,218.90752957667186
1999-01-25,216.45310571974514
1999-01-26,218.6223553932031
1999-01-27,222.32790219005787
1999-01-28,221.2133267073691
1999-01-29,220.48557297145555
1999-02-01,225.87296316842347
1999-02-02,227.27228331046712
1999-02-03,225.4666886635811
1999-02-04,224.94106332673408
1999-02-05,222.03816201004634
1999-02-08,220.0369254933246
1999-02-09,221.6420068039872
1999-02-10,224.10407144465225
1999-02-11,226.0420052206847
1999-02-12,227.3883348474961
1999-02-15,227.44847418892633
1999-02-16,230.67197296632665
1999-02-17,230.07580054889308
1999-02-18,230.073016827617
1999-02-19,232.12509803020342
1999-02-22,231.88015660092418
1999-02-23,230.7389509750879
1999-02-24,230.7697115503499
1999-02-25,225.67322673949116
1999-02-26,228.1313115900849
1999-03-01,232.4950925991376
1999-03-02,230.73073177991458
1999-03-03,235.68659293054836
1999-03-04,239.0108248495539
1999-03-05,242.4949745930971
1999-03-08,244.32986306187854
1999-03-09,248.09186991959572
1999-03-10,248.888487504881
1999-03-11,249.85852332035057
1999-03-12,247.847436940073
1999-03-15,253.89551184976446
1999-03-16,255.016731953055
1999-03-17,255.10801605754824
1999-03-18,261.2118814305712
1999-03-19,264.4308510629398
1999-03-22,270.40508065078484
1999-03-23,272.76833939191806
1999-03-24,268.71421012511723
1999-03-25,275.1895924523454
1999-03-26,275.0856196949371
1999-03-29,277.12127537339757
1999-03-30,278.3764850935994
1999-03-31,281.5801413193718
1999-04-01,281.2747332610417
1999-04-02,282.5594693723765
