Date,EM EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1012.7276137366455
1999-01-05,1027.0043728593
1999-01-06,1054.7273919401625
1999-01-07,1067.6938217763977
1999-01-08,1076.825449206976
1999-01-11,1078.9763256290425
1999-01-12,1061.9556090267872
1999-01-13,1004.4217084499447
1999-01-14,983.4226038407073
1999-01-15,1008.1603128086698
1999-01-18,1018.9515943937877
1999-01-19,1012.355921174158
1999-01-20,1019.4500263206016
1999-01-21,1002.7325822825859
1999-01-22,983.4836823416742
1999-01-25,964.1513351481478
1999-01-26,970.3278173349283
1999-01-27,989.8694959020645
1999-01-28,994.6536530885277
1999-01-29,1001.4922583146392
1999-02-01,1015.9254868008945
1999-02-02,1008.9642840692636
1999-02-03,1005.5039769848605
1999-02-04,1003.5838887738553
1999-02-05,997.5493139745648
1999-02-08,1001.5419356135825
1999-02-09,988.4100712075143
1999-02-10,991.5582410341034
1999-02-11,998.9283405952752
1999-02-12,1013.3513203069729
1999-02-15,1021.144372776243
1999-02-16,1028.3825542578543
1999-02-17,1022.5757864279093
1999-02-18,1020.7800791663948
1999-02-19,1023.7137755291019
1999-02-22,1028.95666794762
1999-02-23,1026.9550202748942
1999-02-24,1029.345102594993
1999-02-25,1017.899265591903
1999-02-26,1034.750285547794
1999-03-01,1044.1874963773712
1999-03-02,1042.6010412551211
1999-03-03,1051.4311651351572
1999-03-04,1057.94821569401
1999-03-05,1065.2775694746479
1999-03-08,1080.9241240621716
1999-03-09,1088.1409576655838
1999-03-10,1086.9321617349046
1999-03-11,1102.525766261723
1999-03-12,1097.8556215629283
1999-03-15,1108.939936491411
1999-03-16,1114.6761656282042
1999-03-17,1115.5088262759136
1999-03-18,1122.0573177020356
1999-03-19,1144.2001697698681
1999-03-22,1151.7960608720364
1999-03-23,1153.178010349158
1999-03-24,1138.6065026188135
1999-03-25,1155.8968341257957
1999-03-26,1170.4158972334424
1999-03-29,1173.3423173993226
1999-03-30,1178.1049494238127
1999-03-31,1177.4533743460806
1999-04-01,1181.5606798599183
1999-04-02,1193.7284390739176
1999-04-05,1199.7127072848255
1999-04-06,1209.8024854372618
1999-04-07,1214.7257402329892
1999-04-08,1217.0699976235294
1999-04-09,1226.6639697775568
1999-04-12,1216.1134182742621
1999-04-13,1227.1713555389338
1999-04-14,1241.1678791401062
1999-04-15,1270.0047154169104
1999-04-16,1302.2380364112562
1999-04-19,1338.0413019603038
1999-04-20,1338.6908104666206
1999-04-21,1334.742892453791
1999-04-22,1340.3751722721297
1999-04-23,1341.284968279068
1999-04-26,1354.232447249585
1999-04-27,1357.9422484914014
1999-04-28,1373.9199455705364
1999-04-29,1384.4748242607438
1999-04-30,1406.3383609311206
1999-05-03,1434.440149697572
1999-05-04,1463.7449662527538
1999-05-05,1469.358085927329
1999-05-06,1491.0760436737087
1999-05-07,1491.6890643419556
1999-05-10,1504.905933525474
1999-05-11,1519.342474229085
1999-05-12,1517.867245451421
1999-05-13,1520.1381806247555
1999-05-14,1520.324252628639
1999-05-17,1496.9964405078797
1999-05-18,1509.1233372941178
1999-05-19,1513.7590662012533
1999-05-20,1510.680861265337
1999-05-21,1506.163519271174
1999-05-24,1505.5615299397746
1999-05-25,1493.624279667603
1999-05-26,1514.181908243561
1999-05-27,1513.038714529259
1999-05-28,1499.730532552992
1999-05-31,1511.4779749807772
1999-06-01,1514.8166820972046
1999-06-02,1527.7682939582915
1999-06-03,1540.2311267397336
1999-06-04,1562.8143756137736
1999-06-07,1588.3083853618034
1999-06-08,1593.2952517337703
1999-06-09,1582.98504340339
1999-06-10,1596.1015074422924
1999-06-11,1605.4981300016304
1999-06-14,1622.084733569389
1999-06-15,1615.3200497919906
1999-06-16,1645.9482680209626
1999-06-17,1668.7918676264155
1999-06-18,1667.3838651370784
1999-06-21,1706.3616305138858
1999-06-22,1728.6031354457145
1999-06-23,1725.927717787399
1999-06-24,1716.1021341946446
1999-06-25,1684.8772320219398
1999-06-28,1717.7234994796152
1999-06-29,1733.2200885886732
1999-06-30,1735.5059983030699
1999-07-01,1758.2715784040356
1999-07-02,1775.6905100981664
1999-07-05,1799.887372001381
1999-07-06,1802.9313583478472
1999-07-07,1801.34592305969
1999-07-08,1808.3425144157354
1999-07-09,1820.6869695868686
1999-07-12,1832.5552057765342
1999-07-13,1801.851459974845
1999-07-14,1782.536905579326
1999-07-15,1784.122036530052
1999-07-16,1785.187982827753
1999-07-19,1797.1902211652693
1999-07-20,1754.8785453357825
1999-07-21,1730.3851048877661
1999-07-22,1726.0177447909657
1999-07-23,1699.2810079879266
1999-07-26,1635.2124282220232
1999-07-27,1637.6164048145395
1999-07-28,1663.5316173405258
1999-07-29,1653.6560835669736
1999-07-30,1647.6684661407178
1999-08-02,1636.4627399230405
1999-08-03,1643.5778994463124
