Date,EM LATAM ex BR EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,990.0483838254746
1999-01-05,986.5809981212518
1999-01-06,992.6389526014195
1999-01-07,986.7745072458085
1999-01-08,994.1669872276289
1999-01-11,975.5010772702574
1999-01-12,939.7871552611614
1999-01-13,872.0183578936038
1999-01-14,855.5875992437207
1999-01-15,915.7622479687061
1999-01-18,921.5202545915147
1999-01-19,910.1095594900904
1999-01-20,925.1199259867057
1999-01-21,906.9140559970778
1999-01-22,899.9387620883255
1999-01-25,910.0257920839737
1999-01-26,913.1017459817234
1999-01-27,925.773284020093
1999-01-28,938.7975917825282
1999-01-29,947.5175477069776
1999-02-01,965.0234136262375
1999-02-02,961.5681490795413
1999-02-03,965.7426975291892
1999-02-04,970.2545307404716
1999-02-05,970.262109998172
1999-02-08,970.8726510180625
1999-02-09,964.1111175589728
1999-02-10,968.2265257189557
1999-02-11,989.4614045895901
1999-02-12,991.0092385842768
1999-02-15,997.4793494353539
1999-02-16,1007.0955606944227
1999-02-17,995.6305549703278
1999-02-18,1003.1299306303231
1999-02-19,1022.7646193310699
1999-02-22,1028.0214692808338
1999-02-23,1026.4272601591024
1999-02-24,1029.882643719194
1999-02-25,1013.9556553832466
1999-02-26,1021.4566223424907
1999-03-01,1022.152537465177
1999-03-02,1011.5567982113125
1999-03-03,1012.7808631669336
1999-03-04,1033.8636945758747
1999-03-05,1039.4949842867522
1999-03-08,1049.1280145800104
1999-03-09,1055.037836985811
1999-03-10,1064.279700032189
1999-03-11,1085.5556963021875
1999-03-12,1080.3552877256113
1999-03-15,1094.9396354824428
1999-03-16,1106.759465947574
1999-03-17,1095.8209407059348
1999-03-18,1101.0978952431276
1999-03-19,1102.9998227992721
1999-03-22,1098.7710335317195
1999-03-23,1093.291637487068
1999-03-24,1095.9225879162443
1999-03-25,1116.343997997017
1999-03-26,1129.1290177934293
1999-03-29,1141.627855009942
1999-03-30,1144.2735334619179
1999-03-31,1149.4492377046877
1999-04-01,1151.5141364218287
1999-04-02,1154.8882985468206
1999-04-05,1190.1730364874052
1999-04-06,1192.1547448443412
1999-04-07,1193.8929906008493
1999-04-08,1197.7120645220946
1999-04-09,1208.62146199707
1999-04-12,1214.1644901296359
1999-04-13,1225.48078574699
1999-04-14,1227.6722434282472
1999-04-15,1265.9852889625636
1999-04-16,1312.8406559377247
1999-04-19,1350.7274022710073
1999-04-20,1343.5540907123582
1999-04-21,1350.2423454984978
1999-04-22,1362.215915864629
1999-04-23,1352.0514295177204
1999-04-26,1354.5631100289195
1999-04-27,1341.2556385074504
1999-04-28,1356.8691898597117
1999-04-29,1364.8120768331498
1999-04-30,1381.7681747083209
1999-05-03,1406.8478399865458
1999-05-04,1412.2506537248555
1999-05-05,1404.5440603362165
1999-05-06,1414.7144913745765
1999-05-07,1437.2984888082117
1999-05-10,1472.066334644399
1999-05-11,1484.6257640818978
1999-05-12,1473.107104169488
1999-05-13,1519.674311887223
1999-05-14,1485.8325301754421
1999-05-17,1477.052705844943
1999-05-18,1484.9576362449402
1999-05-19,1448.0401500972341
1999-05-20,1440.7865442996622
1999-05-21,1417.5080714686278
1999-05-24,1383.4834925896064
1999-05-25,1344.0503985979485
1999-05-26,1377.5552475996549
1999-05-27,1356.99807060585
1999-05-28,1362.7553320300008
1999-05-31,1369.4381268392692
1999-06-01,1354.1503527864481
1999-06-02,1360.7681029842888
1999-06-03,1366.4247631128821
1999-06-04,1382.1764003375597
1999-06-07,1399.6878408280547
1999-06-08,1385.1548685970104
1999-06-09,1373.748320367187
1999-06-10,1359.1283846574536
1999-06-11,1343.1874282467625
1999-06-14,1342.2222838193356
1999-06-15,1346.5861181799253
1999-06-16,1383.8741654603248
1999-06-17,1398.7009372166249
1999-06-18,1390.7015358841684
1999-06-21,1405.199153219824
1999-06-22,1411.62240334487
1999-06-23,1394.1626025349933
1999-06-24,1377.0825187917123
1999-06-25,1344.48717107253
1999-06-28,1364.9583923415735
1999-06-29,1371.967829144871
1999-06-30,1391.1616629331156
1999-07-01,1409.7917451786986
1999-07-02,1430.002206493331
1999-07-05,1435.3783432264368
1999-07-06,1434.2680539095454
1999-07-07,1437.5702100186522
1999-07-08,1426.3060851698415
1999-07-09,1423.547044725664
1999-07-12,1387.6065509746263
1999-07-13,1393.0797259238104
1999-07-14,1392.0810813654887
1999-07-15,1400.4024634079678
1999-07-16,1405.664351296385
1999-07-19,1411.8200259619434
1999-07-20,1365.5274005185327
1999-07-21,1356.799161915562
1999-07-22,1346.37972107581
1999-07-23,1329.2963502308455
1999-07-26,1281.0484666156365
1999-07-27,1282.5461828835014
1999-07-28,1291.784313466678
1999-07-29,1267.7766756928104
1999-07-30,1272.449122024283
1999-08-02,1263.7673070866474
1999-08-03,1256.6243785733268
1999-08-04,1238.6156181043968
