Date,GERMANY HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0004090335046
1999-01-04,1067.2691812780406
1999-01-05,1080.658563475836
1999-01-06,1118.615786511244
1999-01-07,1091.6531330082792
1999-01-08,1096.3932784172341
1999-01-11,1069.2023216744192
1999-01-12,1055.2328838439473
1999-01-13,998.4455812549095
1999-01-14,994.897342281118
1999-01-15,1006.6394723200498
1999-01-18,1033.864466093083
1999-01-19,1055.6195692850633
1999-01-20,1067.5576924531808
1999-01-21,1074.7122766507161
1999-01-22,1038.5148330034606
1999-01-25,1020.9169828044476
1999-01-26,1016.8721454063485
1999-01-27,1038.638372113908
1999-01-28,1067.3348453300541
1999-01-29,1097.348124428234
1999-02-01,1100.8736048057153
1999-02-02,1081.289471841969
1999-02-03,1058.506939412786
1999-02-04,1070.2978663545
1999-02-05,1069.0898670508236
1999-02-08,1068.0087373248818
1999-02-09,1022.0227966110863
1999-02-10,1003.4288392592773
1999-02-11,1029.4290596956732
1999-02-12,1049.3111149671174
1999-02-15,1038.1160430078014
1999-02-16,1047.4183959014533
1999-02-17,1025.9328662595656
1999-02-18,1049.2517347303985
1999-02-19,1045.930643252788
1999-02-22,1056.512168558301
1999-02-23,1091.4660867520802
1999-02-24,1092.4675105385495
1999-02-25,1082.0083600942191
1999-02-26,1082.974820451048
1999-03-01,1068.843253805617
1999-03-02,1093.7681037062148
1999-03-03,1053.3103199511727
1999-03-04,1050.0051100316832
1999-03-05,1072.1351360759713
1999-03-08,1062.7544836395268
1999-03-09,1057.47324017548
1999-03-10,1057.539582155086
1999-03-11,1068.042780284551
1999-03-12,1115.2997115712299
1999-03-15,1120.0809623229054
1999-03-16,1134.1162642365732
1999-03-17,1121.1720666209446
1999-03-18,1106.9846024092715
1999-03-19,1127.9997413810584
1999-03-22,1115.83981304631
1999-03-23,1086.6587797532213
1999-03-24,1070.0494838545203
1999-03-25,1091.304428548655
1999-03-26,1069.1951174699407
1999-03-29,1083.183175995674
1999-03-30,1070.4245201111164
1999-03-31,1076.9058539392543
1999-04-01,1090.976687206434
1999-04-02,1090.9766872064342
1999-04-05,1090.9766872064342
1999-04-06,1123.2870587152452
1999-04-07,1129.594733769553
1999-04-08,1136.8446426129804
1999-04-09,1159.9910241263817
1999-04-12,1159.2939117522446
1999-04-13,1171.93438082694
1999-04-14,1164.640195848796
1999-04-15,1152.530233835858
1999-04-16,1144.5812592288337
1999-04-19,1152.2023290606728
1999-04-20,1122.0654579111294
1999-04-21,1123.706185656798
1999-04-22,1125.7803332261797
1999-04-23,1119.3855874604303
1999-04-26,1134.1083661663602
1999-04-27,1172.1080954772162
1999-04-28,1163.922770500217
1999-04-29,1167.585986036774
1999-04-30,1167.5132915924805
1999-05-03,1173.9079543235907
1999-05-04,1171.4479962027644
1999-05-05,1146.6089356105178
1999-05-06,1156.0603258179556
1999-05-07,1155.644117277949
1999-05-10,1159.4573988164402
1999-05-11,1170.67456557902
1999-05-12,1155.7131437603935
1999-05-13,1155.7131437603937
1999-05-14,1150.466404611226
1999-05-17,1126.362568702779
1999-05-18,1129.6798233142035
1999-05-19,1146.6518865961473
1999-05-20,1167.1707750245782
1999-05-21,1166.8669537543872
1999-05-24,1166.8669537543872
1999-05-25,1139.6133310147602
