Date,UNITED KINGDOM HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,973.3474954896833
1999-01-05,973.9467778526417
1999-01-06,1017.5783750516459
1999-01-07,1013.2435550319799
1999-01-08,1024.4430559164693
1999-01-11,1015.9452551497881
1999-01-12,1007.4155659977238
1999-01-13,973.0948768031647
1999-01-14,962.594126119582
1999-01-15,984.9706137891129
1999-01-18,999.0703708839613
1999-01-19,984.4721139008261
1999-01-20,989.025100691885
1999-01-21,985.4790526836143
1999-01-22,965.1922742095943
1999-01-25,969.707853501737
1999-01-26,970.8866321445151
1999-01-27,986.7831382547009
1999-01-28,993.5781461688169
1999-01-29,1008.4757023894226
1999-02-01,1025.1071358024126
1999-02-02,1034.272849271598
1999-02-03,1028.0921704587606
1999-02-04,1030.2168010272082
1999-02-05,1028.1301486924303
1999-02-08,1030.1332708020814
1999-02-09,1022.1061240896805
1999-02-10,1018.0553185936252
1999-02-11,1025.9965467646891
1999-02-12,1041.7032721879602
1999-02-15,1046.6885977114964
1999-02-16,1069.8908122086432
1999-02-17,1057.9915396633737
1999-02-18,1058.3994317231934
1999-02-19,1058.4482353463256
1999-02-22,1061.1333832807607
1999-02-23,1075.511226603973
1999-02-24,1099.0420123601082
1999-02-25,1089.6591732801746
1999-02-26,1107.7731167724673
1999-03-01,1106.9626026683004
1999-03-02,1113.7579149192552
1999-03-03,1114.5731799853472
1999-03-04,1119.5446745202485
1999-03-05,1141.044527037269
1999-03-08,1136.8023848152511
1999-03-09,1147.6065770367
1999-03-10,1155.7330203846138
1999-03-11,1174.9169092832403
1999-03-12,1178.8972654921458
1999-03-15,1158.6935520368888
1999-03-16,1171.7854109675056
1999-03-17,1152.1466270058631
1999-03-18,1153.6048404425483
1999-03-19,1170.2485583909142
1999-03-22,1165.1983155007308
1999-03-23,1159.5455283499068
1999-03-24,1162.5959683549916
1999-03-25,1174.458114725716
1999-03-26,1183.5954999653559
1999-03-29,1189.9863556994046
1999-03-30,1181.2618152937264
1999-03-31,1188.2727464431193
1999-04-01,1182.9795685526253
1999-04-02,1184.7988896062388
1999-04-05,1190.0300781388844
1999-04-06,1191.7158875856535
1999-04-07,1217.3301173904165
1999-04-08,1223.8058399692634
1999-04-09,1243.9671571753959
1999-04-12,1230.8717220556662
1999-04-13,1252.484482711978
1999-04-14,1259.7001852666906
1999-04-15,1286.1947467393618
1999-04-16,1306.381397828349
1999-04-19,1334.9713648613981
1999-04-20,1308.0882160855663
1999-04-21,1305.5473425023877
1999-04-22,1318.6905335875015
1999-04-23,1321.2050135105515
1999-04-26,1328.2919990404648
1999-04-27,1334.95445831517
1999-04-28,1335.647922487458
1999-04-29,1330.9765242582564
1999-04-30,1348.4144994850567
1999-05-03,1349.9457011878076
1999-05-04,1347.3961285521682
1999-05-05,1334.226992900388
1999-05-06,1325.1586907721605
1999-05-07,1306.5672099548615
1999-05-10,1286.7214693074793
1999-05-11,1293.6412321751536
1999-05-12,1299.0343266445577
1999-05-13,1310.1457116277966
1999-05-14,1269.8112767355826
1999-05-17,1253.110444401568
1999-05-18,1259.816680190877
1999-05-19,1264.4794319472444
1999-05-20,1268.5909017899132
1999-05-21,1261.2903598842963
1999-05-24,1258.7292290653459
1999-05-25,1239.3822991134484
1999-05-26,1263.8111695543344
1999-05-27,1259.9706459203835
1999-05-28,1268.6463743354793
1999-05-31,1272.7273920964776
1999-06-01,1284.7322538420733
1999-06-02,1311.7192083387995
1999-06-03,1321.8547429368775
1999-06-04,1336.7507434745328
1999-06-07,1351.2809864550252
1999-06-08,1331.9658818853923
1999-06-09,1331.1884463057927
1999-06-10,1322.287645052856
1999-06-11,1353.0968111964269
1999-06-14,1352.5186968611124
1999-06-15,1339.1824820282936
1999-06-16,1367.7326004089462
1999-06-17,1370.906044971515
1999-06-18,1372.4523115444192
1999-06-21,1396.5631500057839
1999-06-22,1389.6796624744193
1999-06-23,1369.863624702705
1999-06-24,1357.7663518441636
1999-06-25,1344.440227790341
1999-06-28,1353.4578370018494
1999-06-29,1337.3983129438382
1999-06-30,1336.7504055732368
1999-07-01,1377.7214923629945
1999-07-02,1398.9319813721045
1999-07-05,1420.4221669814135
1999-07-06,1424.4169922676901
1999-07-07,1424.7111868400848
1999-07-08,1422.7388124384556
1999-07-09,1416.5131091257833
1999-07-12,1420.3318011806664
1999-07-13,1382.0406928173675
1999-07-14,1378.4276424455152
1999-07-15,1391.7925308099702
1999-07-16,1384.5397431195101
1999-07-19,1373.1882852502576
1999-07-20,1338.3290158141801
1999-07-21,1323.6645555785396
1999-07-22,1325.6422006386158
1999-07-23,1300.1117105235028
1999-07-26,1291.842266724986
1999-07-27,1299.5227975413118
1999-07-28,1299.8138045246646
1999-07-29,1288.8418836500584
1999-07-30,1318.277938333502
1999-08-02,1338.030706611602
