Date,JAPAN HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,973.4071031413176
1999-01-05,972.2452435974029
1999-01-06,976.1925651936697
1999-01-07,1001.2644929511204
1999-01-08,996.2350447411924
1999-01-11,1013.5991127696407
1999-01-12,988.5379066764889
1999-01-13,952.6871824017386
1999-01-14,962.8424787847446
1999-01-15,967.6251651521246
1999-01-18,960.351429571444
1999-01-19,961.07122488139
1999-01-20,969.2462413237457
1999-01-21,976.0442714264015
1999-01-22,956.0936802748438
1999-01-25,962.278467309704
1999-01-26,973.2978403953765
1999-01-27,971.9195707723053
1999-01-28,974.1301631843223
1999-01-29,986.2351853046979
1999-02-01,998.9818525869973
1999-02-02,1006.3229805361237
1999-02-03,991.4875366824926
1999-02-04,996.1520032703452
1999-02-05,985.7494198684036
1999-02-08,989.0858847710566
1999-02-09,970.1668613400857
1999-02-10,965.0938317532332
1999-02-11,969.0055617415982
1999-02-12,978.1463487672911
1999-02-15,975.421436371393
1999-02-16,967.7545888215079
1999-02-17,950.0149534382147
1999-02-18,943.4480056855172
1999-02-19,943.1624677090383
1999-02-22,957.0466658471782
1999-02-23,960.1373171847482
1999-02-24,956.989115780477
1999-02-25,972.4048742559312
1999-02-26,985.7867167931831
1999-03-01,980.3559721746356
1999-03-02,954.3173120230273
1999-03-03,960.4319557568845
1999-03-04,959.828470476531
1999-03-05,1001.4828313079983
1999-03-08,996.5499513548256
1999-03-09,1004.8795175538404
1999-03-10,1024.4913023040308
1999-03-11,1040.609120397004
1999-03-12,1035.1273090208574
1999-03-15,1068.3469688150128
1999-03-16,1099.712247942204
1999-03-17,1097.8608460110468
1999-03-18,1074.4008431680252
1999-03-19,1113.9309558107775
1999-03-22,1108.4577467701763
1999-03-23,1104.4455753787825
1999-03-24,1087.713855915146
1999-03-25,1104.042271178191
1999-03-26,1112.000997516113
1999-03-29,1127.107618893071
1999-03-30,1113.0490501636043
1999-03-31,1136.2967465284453
1999-04-01,1151.3089278312827
1999-04-02,1132.2059478046733
1999-04-05,1120.4651900799217
1999-04-06,1149.358859149075
1999-04-07,1136.2463313943204
1999-04-08,1157.0906929436921
1999-04-09,1150.6960808884794
1999-04-12,1137.3353810789858
1999-04-13,1157.9488659393373
1999-04-14,1191.7664974208058
1999-04-15,1200.8174172223557
1999-04-16,1237.2088971494381
1999-04-19,1257.8982417567006
1999-04-20,1249.330278054008
1999-04-21,1219.7450527623453
1999-04-22,1204.6106712021026
1999-04-23,1214.5817676251033
1999-04-26,1215.797433895491
1999-04-27,1206.4923740355566
1999-04-28,1210.3321648779315
1999-04-29,1215.4379101973007
1999-04-30,1201.4750484342433
1999-05-03,1195.2293363206334
1999-05-04,1182.6843982977905
1999-05-05,1173.7668925020516
1999-05-06,1211.125244385217
1999-05-07,1204.4813145480778
1999-05-10,1208.1634009823501
1999-05-11,1194.4817815444264
1999-05-12,1198.9533270434104
1999-05-13,1189.1767731759808
1999-05-14,1167.700722678017
1999-05-17,1137.5682087828045
1999-05-18,1134.3808545545312
1999-05-19,1110.1115389786332
1999-05-20,1115.6115134100155
1999-05-21,1134.3163909141422
1999-05-24,1135.828526879187
1999-05-25,1138.2612031187195
1999-05-26,1166.0332443550037
1999-05-27,1166.4087914779127
1999-05-28,1160.9940893473388
1999-05-31,1163.9487565369323
1999-06-01,1180.540381877071
1999-06-02,1192.8067916044226
1999-06-03,1177.409795465592
1999-06-04,1179.470014187239
1999-06-07,1194.524432312131
1999-06-08,1200.7191141067483
1999-06-09,1213.3217853322053
1999-06-10,1233.284548512604
1999-06-11,1239.5175689337289
1999-06-14,1215.095699614733
1999-06-15,1221.154482472874
1999-06-16,1231.9811735882392
1999-06-17,1248.7185091354424
1999-06-18,1221.993508440863
1999-06-21,1220.2185712563341
1999-06-22,1227.965218669055
1999-06-23,1208.4748414984724
1999-06-24,1207.476486550546
1999-06-25,1194.4846468491978
1999-06-28,1210.4666707042236
1999-06-29,1221.2495474159452
1999-06-30,1201.9039770346128
1999-07-01,1224.5764655567991
1999-07-02,1224.846815274643
1999-07-05,1218.6531393750593
1999-07-06,1216.9340288962683
1999-07-07,1223.6872944432464
1999-07-08,1224.9316833285923
1999-07-09,1226.6060849821888
1999-07-12,1238.6209635228379
1999-07-13,1240.7137450578366
1999-07-14,1246.431367349587
1999-07-15,1235.6515872086393
1999-07-16,1225.7624323301852
1999-07-19,1261.6368034538118
1999-07-20,1231.5365722606389
1999-07-21,1237.6505717625764
1999-07-22,1225.784273269417
1999-07-23,1228.6079084185064
1999-07-26,1195.8349339377633
1999-07-27,1194.6818091090408
1999-07-28,1198.9716268852844
1999-07-29,1204.061351667441
1999-07-30,1230.5509931241418
1999-08-02,1234.2952476003438
1999-08-03,1239.8014539438727
1999-08-04,1226.5993330249694
1999-08-05,1217.4989445618562
