Date,FRANCE HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0038645825871
1999-01-04,1047.7284915071066
1999-01-05,1063.370570398483
1999-01-06,1095.6020496244118
1999-01-07,1093.3681336146203
1999-01-08,1102.1511385193164
1999-01-11,1092.9100426744255
1999-01-12,1077.1990533779383
1999-01-13,1029.2744090532653
1999-01-14,1020.0891374831739
1999-01-15,1025.4126467730453
1999-01-18,1047.7559002248302
1999-01-19,1039.6549173200322
1999-01-20,1045.9644990056597
1999-01-21,1036.0513454629292
1999-01-22,1008.5809108288466
1999-01-25,1018.6845087677532
1999-01-26,1016.3763696445077
1999-01-27,1024.0127821122308
1999-01-28,1060.1996466091778
1999-01-29,1052.5809699073463
1999-02-01,1077.4243000660817
1999-02-02,1071.66273481498
1999-02-03,1061.6948418625816
1999-02-04,1064.2566684602346
1999-02-05,1080.492075196808
1999-02-08,1104.265786515638
1999-02-09,1082.3232883295877
1999-02-10,1056.125876477152
1999-02-11,1062.206768474221
1999-02-12,1050.1974016962042
1999-02-15,1056.3928547468565
1999-02-16,1061.3491373938712
1999-02-17,1052.0223225411194
1999-02-18,1044.120406945495
1999-02-19,1051.8549019760749
1999-02-22,1052.333204009393
1999-02-23,1066.2411405309037
1999-02-24,1060.3559103460823
1999-02-25,1058.6531127227788
1999-02-26,1052.7445707802171
1999-03-01,1049.9049649648764
1999-03-02,1058.2656417724102
1999-03-03,1053.828201796615
1999-03-04,1087.4577662964386
1999-03-05,1120.4456200247862
1999-03-08,1117.4437155870626
1999-03-09,1119.2124079359612
1999-03-10,1125.915941416853
1999-03-11,1173.3460492766458
1999-03-12,1165.5056178557834
1999-03-15,1165.9954305908761
1999-03-16,1180.5573197013737
1999-03-17,1187.9164775040504
1999-03-18,1200.9379450193958
1999-03-19,1217.1706585337072
1999-03-22,1206.262513192097
1999-03-23,1180.6864089795856
1999-03-24,1179.5755877620218
1999-03-25,1198.4762158449007
1999-03-26,1214.6922927172413
1999-03-29,1235.8718608370461
1999-03-30,1240.5072155531852
1999-03-31,1226.7291837673572
1999-04-01,1211.5286098480462
1999-04-02,1211.528609848046
1999-04-05,1211.5286098480456
1999-04-06,1232.9650188735334
1999-04-07,1227.5504168473253
1999-04-08,1213.9744859762452
1999-04-09,1217.1138538736545
1999-04-12,1230.2542896624118
1999-04-13,1237.1705762094346
1999-04-14,1235.8887941136466
1999-04-15,1244.8763123079286
1999-04-16,1254.7223242364196
1999-04-19,1299.1004503874603
1999-04-20,1267.8870493474149
1999-04-21,1271.1732571841544
1999-04-22,1263.2802889079417
1999-04-23,1256.0326188810336
1999-04-26,1270.9007611006111
1999-04-27,1300.8564894712547
1999-04-28,1302.782127089034
1999-04-29,1323.8879549067087
1999-04-30,1347.3300375320575
1999-05-03,1354.6318963546814
1999-05-04,1377.1143116882877
1999-05-05,1338.8485510662726
1999-05-06,1334.772031527747
1999-05-07,1318.315772800804
1999-05-10,1328.8996832975163
1999-05-11,1327.8533674250189
1999-05-12,1327.7126445621614
1999-05-13,1340.7321314116812
1999-05-14,1319.5779725355287
1999-05-17,1286.220412180122
1999-05-18,1300.1833449609364
1999-05-19,1314.6326518738745
1999-05-20,1332.5675773893404
1999-05-21,1337.9237871212642
1999-05-24,1337.923787121264
1999-05-25,1330.717702249373
1999-05-26,1322.67220139312
1999-05-27,1307.426709553677
1999-05-28,1307.1282116954692
1999-05-31,1316.4541563262871
1999-06-01,1316.3237686541754
1999-06-02,1313.402591281669
1999-06-03,1327.2781328353115
1999-06-04,1328.909644453757
1999-06-07,1343.692867163843
1999-06-08,1353.322070990924
1999-06-09,1359.0894131077146
1999-06-10,1357.207756182315
