Date,AUSTRALIA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1002.5642988494546
1999-01-05,1005.3351382018462
1999-01-06,1041.2378463019577
1999-01-07,1074.295336795143
1999-01-08,1066.4377339676284
1999-01-11,1084.8146529183873
1999-01-12,1100.9165637230444
1999-01-13,1060.6247532337331
1999-01-14,1050.9377721827261
1999-01-15,1059.4875203307058
1999-01-18,1064.714012845515
1999-01-19,1082.7755556274765
1999-01-20,1095.6684876969236
1999-01-21,1088.0937855324084
1999-01-22,1072.072971091351
1999-01-25,1057.0605106534633
1999-01-26,1053.6699745054602
1999-01-27,1060.5933885077952
1999-01-28,1079.596541196574
1999-01-29,1085.1732862201438
1999-02-01,1104.975005213716
1999-02-02,1096.967308253322
1999-02-03,1102.749158000804
1999-02-04,1120.728044610827
1999-02-05,1132.2816516999526
1999-02-08,1125.2564454919013
1999-02-09,1117.4562897439293
1999-02-10,1094.4425359433499
1999-02-11,1108.0653508539936
1999-02-12,1115.7610992460013
1999-02-15,1117.932639955125
1999-02-16,1103.6885669551264
1999-02-17,1094.1803549818064
1999-02-18,1097.5656374123566
1999-02-19,1134.3373019764656
1999-02-22,1143.0962716766007
1999-02-23,1158.4599369533023
1999-02-24,1163.8242453423086
1999-02-25,1135.5168489424364
1999-02-26,1117.1899278968
1999-03-01,1122.9065495985697
1999-03-02,1117.1848995176242
1999-03-03,1124.3878048595088
1999-03-04,1125.2797167544052
1999-03-05,1144.587630131658
1999-03-08,1160.383542679443
1999-03-09,1168.6300615139505
1999-03-10,1169.979371788002
1999-03-11,1192.9937117586808
1999-03-12,1189.9421655359442
1999-03-15,1195.2959645658354
1999-03-16,1184.3500773221267
1999-03-17,1173.6549281149048
1999-03-18,1185.4218092474127
1999-03-19,1203.0059861323887
1999-03-22,1216.314465372046
1999-03-23,1232.1555311479403
1999-03-24,1232.434471852154
1999-03-25,1247.100305732734
1999-03-26,1267.233431662774
1999-03-29,1248.4406604116687
1999-03-30,1247.7746838949613
1999-03-31,1234.7374554521189
1999-04-01,1247.7997311166093
1999-04-02,1244.2979398473383
1999-04-05,1248.7411530191314
1999-04-06,1246.1923255838808
1999-04-07,1232.4841422291795
1999-04-08,1223.2530250679094
1999-04-09,1247.7736080788038
1999-04-12,1248.3683621210741
1999-04-13,1279.688399013577
1999-04-14,1298.1390120305612
1999-04-15,1322.643238502678
1999-04-16,1373.320809156982
1999-04-19,1400.3855758366335
1999-04-20,1374.1971592361404
1999-04-21,1362.1151813537026
1999-04-22,1399.0924040896355
1999-04-23,1389.555040676338
1999-04-26,1387.4739569925855
1999-04-27,1397.202794920905
1999-04-28,1396.0363301172083
1999-04-29,1423.3417904718754
1999-04-30,1436.674146742625
1999-05-03,1424.9751772631837
1999-05-04,1428.9768551950237
1999-05-05,1388.3569630024476
1999-05-06,1393.2043434552656
1999-05-07,1352.798557611507
1999-05-10,1343.5185595548978
1999-05-11,1348.8173144143045
1999-05-12,1352.7362344810376
1999-05-13,1373.3039213280617
1999-05-14,1366.8978559285551
1999-05-17,1338.1699834914962
1999-05-18,1359.255681585898
1999-05-19,1333.84556326759
1999-05-20,1327.3750359005303
1999-05-21,1339.9099483602522
1999-05-24,1330.2663082416955
1999-05-25,1291.503131891111
1999-05-26,1289.6026855336988
1999-05-27,1284.5682195303432
1999-05-28,1287.342204124597
1999-05-31,1290.8086500459551
1999-06-01,1285.2279903523963
1999-06-02,1307.1440168334295
1999-06-03,1319.3194002503358
1999-06-04,1343.261701756273
1999-06-07,1361.9618232170264
1999-06-08,1350.7609006336136
1999-06-09,1361.825699459275
1999-06-10,1357.9484178871635
1999-06-11,1357.3805391350493
1999-06-14,1361.7360260403002
1999-06-15,1345.2139819944882
1999-06-16,1350.6884933123736
1999-06-17,1371.3481035089528
1999-06-18,1358.681218364811
1999-06-21,1357.544400219256
1999-06-22,1359.715677893367
1999-06-23,1357.3322576789092
1999-06-24,1342.1701733431182
1999-06-25,1334.724422069635
1999-06-28,1361.2129717719301
1999-06-29,1368.8411030036782
1999-06-30,1365.228441687689
1999-07-01,1402.4412316036894
1999-07-02,1423.385261699962
1999-07-05,1435.4668701336145
1999-07-06,1429.172326790646
1999-07-07,1423.8552267735681
1999-07-08,1441.3093617638283
1999-07-09,1423.489894816794
1999-07-12,1416.1924511786858
1999-07-13,1407.9712189647742
1999-07-14,1402.672695201378
1999-07-15,1411.1932852608504
1999-07-16,1410.8600592936066
1999-07-19,1404.0481178722025
1999-07-20,1381.2364512580648
1999-07-21,1362.3857567015993
1999-07-22,1349.4111156388524
1999-07-23,1343.2099076311213
1999-07-26,1306.233931503904
1999-07-27,1308.1958523795927
1999-07-28,1312.1549311312622
1999-07-29,1301.3140068012463
1999-07-30,1291.5777381103544
1999-08-02,1291.4441125644364
1999-08-03,1319.6236671214901
