Date,CANADA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1012.7879878299982
1999-01-05,1035.255944851681
1999-01-06,1086.7100672030115
1999-01-07,1083.152397658145
1999-01-08,1099.785812376194
1999-01-11,1085.0780246145491
1999-01-12,1060.5283577443229
1999-01-13,1028.187080364647
1999-01-14,1023.8839541541204
1999-01-15,1063.3210267374072
1999-01-18,1070.5142078786305
1999-01-19,1052.1573362570498
1999-01-20,1050.1209769751063
1999-01-21,1046.85425008148
1999-01-22,1036.4728441571422
1999-01-25,1052.0002081336693
1999-01-26,1059.8429639550347
1999-01-27,1068.9571227174877
1999-01-28,1072.0761506969943
1999-01-29,1115.0950306939433
1999-02-01,1124.533267717699
1999-02-02,1091.266746331158
1999-02-03,1100.1015960831646
1999-02-04,1108.9509907906129
1999-02-05,1112.9577605809925
1999-02-08,1106.7776666936927
1999-02-09,1077.3967709327853
1999-02-10,1067.0910729403147
1999-02-11,1090.7778047495544
1999-02-12,1078.7112049429343
1999-02-15,1084.0508072586417
1999-02-16,1073.5224117693365
1999-02-17,1063.08311477966
1999-02-18,1075.2954880933155
1999-02-19,1091.4009658243867
1999-02-22,1129.2682886949656
1999-02-23,1113.3974983492467
1999-02-24,1092.652443408936
1999-02-25,1086.7174793492286
1999-02-26,1091.419986060732
1999-03-01,1091.3258915756824
1999-03-02,1074.239169091543
1999-03-03,1061.260482304615
1999-03-04,1088.506656409159
1999-03-05,1123.919724930425
1999-03-08,1132.9812445459577
1999-03-09,1125.711340441888
1999-03-10,1131.3844968072658
1999-03-11,1143.322801542288
1999-03-12,1133.2728615230287
1999-03-15,1140.2396888358235
1999-03-16,1143.0834605664097
1999-03-17,1132.8895945593922
1999-03-18,1129.6996465963994
1999-03-19,1145.3433395735153
1999-03-22,1158.343379154073
1999-03-23,1155.1902608971293
1999-03-24,1172.2004857763384
1999-03-25,1195.2421305564742
1999-03-26,1222.02383163297
1999-03-29,1214.4198598430637
1999-03-30,1185.8958341643506
1999-03-31,1177.4360534839775
1999-04-01,1191.406256200194
1999-04-02,1199.4782642113928
1999-04-05,1239.9972787987895
1999-04-06,1244.173873211504
1999-04-07,1257.97938739453
1999-04-08,1300.0698730074746
1999-04-09,1275.1651328217342
1999-04-12,1280.854666928206
1999-04-13,1285.291074390848
1999-04-14,1281.9469976375433
1999-04-15,1283.678288917802
1999-04-16,1273.3230713158464
1999-04-19,1250.3679713408194
1999-04-20,1257.0725144577204
1999-04-21,1291.5023737069153
1999-04-22,1299.7673583166277
1999-04-23,1300.2835324900338
1999-04-26,1304.5204997732926
1999-04-27,1292.7491982624429
1999-04-28,1287.0773300208778
1999-04-29,1286.650629110384
1999-04-30,1270.7909493001987
1999-05-03,1279.1679160012625
1999-05-04,1277.1170749403416
1999-05-05,1256.1782929489132
1999-05-06,1232.6965561506004
1999-05-07,1235.6399452774185
1999-05-10,1241.9410603546532
1999-05-11,1260.8452195655286
1999-05-12,1262.5188804016905
1999-05-13,1275.438263030298
1999-05-14,1221.5983746747254
1999-05-17,1229.9902187414518
1999-05-18,1252.5970626333985
1999-05-19,1267.7829522396648
1999-05-20,1261.1028897451963
1999-05-21,1267.4814838359111
1999-05-24,1268.5129404798588
1999-05-25,1243.5462468148835
1999-05-26,1244.914022567901
1999-05-27,1239.113474947115
1999-05-28,1253.1016020724928
1999-05-31,1262.7037416796259
1999-06-01,1255.522918402434
1999-06-02,1272.3925995485497
1999-06-03,1281.12872320192
1999-06-04,1304.3580276291589
1999-06-07,1317.83935297321
1999-06-08,1284.434593299582
1999-06-09,1288.018702510232
1999-06-10,1272.3830948218167
1999-06-11,1272.9160124319872
1999-06-14,1282.8106438190512
1999-06-15,1282.6023481722568
1999-06-16,1316.3585464739026
1999-06-17,1312.1657194807028
1999-06-18,1304.2259709629025
1999-06-21,1303.6140941828112
1999-06-22,1297.694731361002
1999-06-23,1284.6481177224455
1999-06-24,1282.5783350029833
1999-06-25,1284.2964137918732
1999-06-28,1287.2480446132886
1999-06-29,1281.074040462128
1999-06-30,1294.4818355190887
1999-07-01,1312.5748475162443
1999-07-02,1346.6736174431392
1999-07-05,1379.4881993336985
1999-07-06,1362.9875120143854
1999-07-07,1354.410586729222
1999-07-08,1350.8302176374714
1999-07-09,1356.7432622473036
1999-07-12,1352.4776578340332
1999-07-13,1337.6970997528833
1999-07-14,1363.536055629742
1999-07-15,1369.7331572169403
1999-07-16,1361.2638848916715
1999-07-19,1359.662197349078
1999-07-20,1312.9846929475755
1999-07-21,1283.3927986595734
1999-07-22,1274.2920395069784
1999-07-23,1271.2358291256885
1999-07-26,1230.030534037832
1999-07-27,1238.759834746012
1999-07-28,1251.9806357394768
1999-07-29,1228.5437362127814
1999-07-30,1249.8479086348502
1999-08-02,1248.2738645023853
1999-08-03,1246.7247326340187
