Date,ACWI ex AUSTRALIA GROWTH
2000-12-29,1000.0
2001-01-01,999.8317547842503
2001-01-02,974.4713197158378
2001-01-03,1006.8959205145248
2001-01-04,1009.144483479062
2001-01-05,991.5508489083987
2001-01-08,984.782751169752
2001-01-09,982.7214898665061
2001-01-10,986.4388105177666
2001-01-11,1003.2195135211884
2001-01-12,1005.684743680514
2001-01-15,1005.3120513488412
2001-01-16,1003.8819845213105
2001-01-17,1013.9543591888466
2001-01-18,1033.1716665532606
2001-01-19,1035.0520474501207
2001-01-22,1032.9625124261936
2001-01-23,1039.6414094111742
2001-01-24,1036.7951788156436
2001-01-25,1029.1206304539955
2001-01-26,1028.6976700928212
2001-01-29,1030.627466765508
2001-01-30,1034.4458478516287
2001-01-31,1036.059377439822
2001-02-01,1039.8589400361927
2001-02-02,1018.8061969604906
2001-02-05,1016.3454583544676
2001-02-06,1016.0805545325882
2001-02-07,1002.3080240779278
2001-02-08,988.6467330522446
2001-02-09,970.0031687336663
2001-02-12,982.7566770670468
2001-02-13,971.1842089950954
2001-02-14,966.4456939357212
2001-02-15,975.5324805513459
2001-02-16,953.5201097046528
2001-02-19,952.3636225413699
2001-02-20,936.0781681903039
2001-02-21,921.7214115326174
2001-02-22,913.7591935163458
2001-02-23,906.8206814366783
2001-02-26,919.0795702888822
2001-02-27,914.6148427565486
2001-02-28,904.2763466249628
2001-03-01,904.2675778415885
2001-03-02,892.9220375940826
2001-03-05,898.1961709083104
2001-03-06,909.4198626085955
2001-03-07,910.2528216518821
2001-03-08,906.8853964414614
2001-03-09,887.9970860743103
2001-03-12,850.2927652827017
2001-03-13,852.8981935465085
2001-03-14,836.9819940945043
2001-03-15,841.6748771004457
2001-03-16,822.1960334328834
2001-03-19,828.450373119345
2001-03-20,822.0088184138694
2001-03-21,814.845439426914
2001-03-22,801.354629558428
2001-03-23,823.9580645290689
2001-03-26,839.9266423384246
2001-03-27,856.1790399626368
2001-03-28,838.271791641012
2001-03-29,826.3070238826552
2001-03-30,829.5655774950548
2001-04-02,818.988040898683
2001-04-03,795.7746773029385
2001-04-04,799.7228049003475
2001-04-05,828.0480181269314
2001-04-06,822.1376769145297
2001-04-09,823.4037501697267
2001-04-10,836.566592880505
2001-04-11,838.7108032017587
2001-04-12,850.995595637553
2001-04-13,850.5402557343241
2001-04-16,842.5440366241821
2001-04-17,846.6436430073879
2001-04-18,878.2738921629253
2001-04-19,895.6807275214805
2001-04-20,891.6246745275296
2001-04-23,876.8429716253484
2001-04-24,866.6128834010847
2001-04-25,877.0277467395679
2001-04-26,882.72207646699
2001-04-27,891.7272177059045
2001-04-30,895.411516079701
2001-05-01,908.5520510001328
2001-05-02,913.1552757690822
2001-05-03,900.0724860924943
2001-05-04,909.5153637210794
2001-05-07,909.9003923620025
2001-05-08,907.6899062470665
2001-05-09,898.5311297438576
2001-05-10,900.8603534514308
2001-05-11,893.3451786601242
2001-05-14,884.6026373958257
2001-05-15,888.5297982985873
2001-05-16,903.3510536795458
2001-05-17,911.0149006187705
2001-05-18,910.4997376958278
2001-05-21,922.8913519023139
2001-05-22,921.9653620918401
2001-05-23,911.5441007385499
2001-05-24,912.2944465778625
