Date,AC ASIA PACIFIC ex JAPAN GROWTH
2000-12-29,100.0
2001-01-01,99.68338766552817
2001-01-02,100.49032504063968
2001-01-03,99.08307768231826
2001-01-04,103.43789977667133
2001-01-05,105.53418721589179
2001-01-08,104.45482790506037
2001-01-09,105.43154535818613
2001-01-10,104.5161451380448
2001-01-11,102.93917365199265
2001-01-12,104.5683258520538
2001-01-15,105.18279770495049
2001-01-16,106.2463873201985
2001-01-17,106.41966655067468
2001-01-18,107.78075536536386
2001-01-19,110.42836577785152
2001-01-22,111.25000759701001
2001-01-23,110.46774306617472
2001-01-24,110.16597372493176
2001-01-25,110.29630778866213
2001-01-26,109.16203107312192
2001-01-29,108.27485493037537
2001-01-30,108.82961645699105
2001-01-31,111.10023544205316
2001-02-01,111.1132371811674
2001-02-02,111.03798781336498
2001-02-05,108.45852478060579
2001-02-06,108.59156145335736
2001-02-07,107.64164874335793
2001-02-08,107.81484749443598
2001-02-09,107.52739127353541
2001-02-12,107.54525418088402
2001-02-13,108.12374218715502
2001-02-14,107.12958800400936
2001-02-15,107.44166902730765
2001-02-16,107.76251966997876
2001-02-19,106.49722602806158
2001-02-20,106.53761549864838
2001-02-21,105.80821543231487
2001-02-22,103.6217751818341
2001-02-23,103.11312056926404
2001-02-26,102.67789414980314
2001-02-27,102.06273436208744
2001-02-28,102.7106069418763
2001-03-01,101.03362679495147
2001-03-02,99.31459889805042
2001-03-05,99.85669912197838
2001-03-06,100.53089336200203
2001-03-07,100.94246573787383
2001-03-08,100.50069059198167
2001-03-09,99.43819213248582
2001-03-12,97.32133496021379
2001-03-13,95.69791675455129
2001-03-14,96.35972792939926
2001-03-15,96.81581438277547
2001-03-16,96.35464251674289
2001-03-19,95.741000631877
2001-03-20,94.85045549077917
2001-03-21,94.6251857789628
2001-03-22,93.14116591459184
2001-03-23,94.01452103994743
2001-03-26,95.12813394480581
2001-03-27,94.01630777204701
2001-03-28,93.8905159064575
2001-03-29,92.57727061304199
2001-03-30,92.15585544813591
2001-04-02,91.23700373658087
2001-04-03,89.94862983659598
2001-04-04,87.65235408866204
2001-04-05,88.02493563027049
2001-04-06,89.76092184670681
2001-04-09,88.01765797091988
2001-04-10,88.23557224379243
2001-04-11,90.54470524950258
2001-04-12,91.7516270315742
2001-04-13,91.78294465282444
2001-04-16,91.4758697242405
2001-04-17,90.50779207743412
2001-04-18,92.69589171203592
2001-04-19,96.45105793487608
2001-04-20,96.11258720900234
2001-04-23,95.21967795611076
2001-04-24,94.68161599425123
2001-04-25,94.49416497916687
2001-04-26,94.51563719321692
2001-04-27,93.8394461669953
2001-04-30,95.37535593805337
2001-05-01,95.70976079401956
2001-05-02,97.63072908516307
2001-05-03,98.12524708206558
2001-05-04,96.10491447424414
2001-05-07,96.95709041585197
2001-05-08,96.67036805368879
2001-05-09,96.65670978183672
2001-05-10,96.74693211829508
2001-05-11,96.61063068456035
2001-05-14,95.22806323624606
2001-05-15,94.79881991686372
2001-05-16,94.66184903010924
2001-05-17,96.71683613683048
2001-05-18,95.82120448116031
2001-05-21,96.4477127225578
2001-05-22,96.92585290073657
2001-05-23,97.40723432599013
2001-05-24,96.93698761706692
2001-05-25,96.53952939196334
2001-05-28,96.47428015502885
2001-05-29,96.15784121845513
2001-05-30,95.01197934418413
2001-05-31,93.56599577059454
2001-06-01,93.23152182556245
2001-06-04,93.57070588067936
2001-06-05,93.7958734378014
2001-06-06,94.5302521364644
2001-06-07,95.38525238610764
2001-06-08,97.11305149833407
2001-06-11,96.42937512335375
2001-06-12,95.35836611738574
2001-06-13,95.27338893438245
2001-06-14,94.59647473909284
2001-06-15,94.07991075842227
2001-06-18,92.67108417848496
2001-06-19,92.70442993530011
2001-06-20,91.85342011179749
2001-06-21,91.81311920129771
2001-06-22,91.6686213698252
2001-06-25,91.05551368681185
2001-06-26,90.67897737827975
2001-06-27,90.49186330558456
2001-06-28,89.82228138102529
2001-06-29,91.32622598587872
2001-07-02,91.41212165226189
2001-07-03,92.12094874083459
2001-07-04,92.20158519958328
2001-07-05,91.1676597877822
2001-07-06,90.01815565623926
2001-07-09,88.62775787782729
2001-07-10,88.95885802221798
2001-07-11,88.35095146338146
2001-07-12,89.25611710612225
2001-07-13,88.6955269178044
2001-07-16,88.87025881441753
2001-07-17,88.41411845093344
2001-07-18,88.14557942750032
2001-07-19,87.97784690994055
2001-07-20,87.90198655918165
2001-07-23,87.28074371174681
2001-07-24,86.74106443133803
2001-07-25,87.06139131963228
2001-07-26,86.92088715678798
2001-07-27,87.4541324748457
2001-07-30,87.57461146812362
2001-07-31,89.26415367896517
2001-08-01,90.94531024357485
2001-08-02,91.62700366203488
2001-08-03,91.00501827599062
2001-08-06,90.6466126787957
2001-08-07,89.99990843228474
2001-08-08,90.07973161147856
2001-08-09,88.47373935036919
2001-08-10,88.81120061260899
2001-08-13,88.76570372979155
2001-08-14,90.11131361933735
2001-08-15,90.78760899590361
2001-08-16,89.97549406448937
2001-08-17,89.87437913823113
2001-08-20,88.06612750841964
2001-08-21,87.90958226353207
2001-08-22,87.42301804309822
2001-08-23,87.99089279887444
2001-08-24,87.49895624134592
2001-08-27,88.9547916883094
2001-08-28,88.77671218197169
2001-08-29,88.81556426956543
2001-08-30,88.44518625241463
2001-08-31,87.25299048343756
2001-09-03,86.90787720742077
2001-09-04,87.74499993556549
2001-09-05,86.94787856160333
2001-09-06,85.78129432716415
2001-09-07,84.96915535017848
2001-09-10,84.28773146719475
2001-09-11,84.25262099277133
2001-09-12,79.88630662880719
2001-09-13,79.73731268180941
