Date,ACWI ex SWITZERLAND ESG LEADERS
2007-09-28,1000.0
2007-10-01,1009.8792359995336
2007-10-02,1012.5259548633035
2007-10-03,1011.575893716701
2007-10-04,1011.3554567168818
2007-10-05,1021.0815417416868
2007-10-08,1016.3227961277219
2007-10-09,1023.7759703162972
2007-10-10,1026.0158803316995
2007-10-11,1028.9832839249564
2007-10-12,1026.9238180017676
2007-10-15,1020.4581458322282
2007-10-16,1009.7286871102137
2007-10-17,1013.9661027100826
2007-10-18,1016.786922157313
2007-10-19,1000.7888449359459
2007-10-22,993.6416333859343
2007-10-23,1006.435001679812
2007-10-24,1003.8476830495391
2007-10-25,1011.1086066534814
2007-10-26,1024.6489338074246
2007-10-29,1034.3027685518007
2007-10-30,1029.467984216661
2007-10-31,1040.6118290917882
2007-11-01,1025.4887157776973
2007-11-02,1023.401353231311
2007-11-05,1016.3611292738092
2007-11-06,1026.4450661847045
2007-11-07,1014.2205940380885
2007-11-08,1004.9784277716353
2007-11-09,990.2887988855579
2007-11-12,976.4774627925258
2007-11-13,991.4998448796033
2007-11-14,997.7313488662511
2007-11-15,984.9843201061599
2007-11-16,982.6016033489964
2007-11-19,969.4672105539427
2007-11-20,978.4882839723502
2007-11-21,960.3866106124331
2007-11-22,962.9979805483212
2007-11-23,973.5789246209367
2007-11-26,968.4878611336089
2007-11-27,972.0810314672647
2007-11-28,990.1778492000432
2007-11-29,996.9971537106705
2007-11-30,1001.6560813544037
2007-12-03,999.6307722027256
2007-12-04,994.4667573709144
2007-12-05,1004.3660565616595
2007-12-06,1012.4469374996784
2007-12-07,1015.5296317303619
2007-12-10,1021.7900431029727
2007-12-11,1009.991100590938
2007-12-12,1010.9209800580766
2007-12-13,996.9951100551141
2007-12-14,984.786765134593
2007-12-17,965.8825792306117
2007-12-18,968.3824193585184
2007-12-19,966.2484326069472
2007-12-20,968.8580674931358
2007-12-21,983.709789686134
2007-12-24,989.7314679609165
2007-12-25,991.8914284470321
2007-12-26,995.1883998817342
2007-12-27,991.0788221955054
2007-12-28,993.2610360559355
2007-12-31,989.574544327087
2008-01-01,989.558188512755
2008-01-02,981.4665873841533
2008-01-03,979.2408407331033
2008-01-04,958.8863805467143
2008-01-07,953.8129302127295
2008-01-08,949.4602488951251
2008-01-09,949.7447161326879
2008-01-10,948.936179688439
2008-01-11,939.8601856741374
2008-01-14,948.436686364008
2008-01-15,926.771170875432
2008-01-16,909.3909016069445
2008-01-17,899.3351614066013
2008-01-18,892.8939864359374
2008-01-21,864.7396756552376
2008-01-22,861.3208396990137
2008-01-23,865.8848669756618
2008-01-24,892.4318428476188
2008-01-25,894.7375298473944
2008-01-28,893.9813280507681
2008-01-29,903.2099126926689
2008-01-30,897.1044733707396
2008-01-31,906.3504164066001
2008-02-01,920.4989567044089
2008-02-04,920.0249780556368
2008-02-05,892.0095866539002
2008-02-06,884.419760250065
2008-02-07,878.6127462620856
2008-02-08,877.8180376421988
2008-02-11,877.8932333270687
2008-02-12,892.568936679821
2008-02-13,896.9245812706439
2008-02-14,899.0088951579905
2008-02-15,895.0537468306007
2008-02-18,898.6042679213941
2008-02-19,903.586944028683
2008-02-20,897.1784864120455
2008-02-21,901.2626819898074
