Date,AC ASIA PACIFIC ex JAPAN ESG LEADERS
2007-09-28,1000.0
2007-10-01,1007.300130006267
2007-10-02,1025.5814124325634
2007-10-03,1027.6662021533257
2007-10-04,1017.309795142737
2007-10-05,1030.3405530858943
2007-10-08,1033.677224925539
2007-10-09,1043.4000764572916
2007-10-10,1053.7865201362704
2007-10-11,1064.7003838703195
2007-10-12,1051.4643347644765
2007-10-15,1058.4834450821197
2007-10-16,1042.0950732027748
2007-10-17,1045.5677052617634
2007-10-18,1052.1900023894468
2007-10-19,1041.2946090888306
2007-10-22,1012.3683689247241
2007-10-23,1042.8344724271617
2007-10-24,1041.7399883758756
2007-10-25,1056.804447216
2007-10-26,1076.668001648049
2007-10-29,1100.4132718872497
2007-10-30,1097.2805223505673
2007-10-31,1101.8109324786274
2007-11-01,1099.5904644603845
2007-11-02,1079.6182715499813
2007-11-05,1058.1627667391185
2007-11-06,1067.1859711799136
2007-11-07,1078.2875005744772
2007-11-08,1050.3102965302858
2007-11-09,1044.856332867922
2007-11-12,1002.7579425569184
2007-11-13,1012.0041054546683
2007-11-14,1047.5457282925051
2007-11-15,1032.4075275501227
2007-11-16,1013.8792145457675
2007-11-19,1011.8092958923022
2007-11-20,1004.5132866902101
2007-11-21,971.4250909853714
2007-11-22,964.1550736510951
2007-11-23,967.7083959211055
2007-11-26,995.5060208238406
2007-11-27,987.8804821122482
2007-11-28,987.0095132853708
2007-11-29,1005.5137559495757
2007-11-30,1017.3579857858797
2007-12-03,1019.6398436788231
2007-12-04,1019.8202850073147
2007-12-05,1024.9839159357573
2007-12-06,1034.41145856238
2007-12-07,1036.2426914970129
2007-12-10,1029.3684638022874
2007-12-11,1044.092776436758
2007-12-12,1033.5259251866898
2007-12-13,1018.2216132773528
2007-12-14,1002.8311479465017
2007-12-17,972.0901245222823
2007-12-18,973.1734003686661
2007-12-19,972.7338609731544
2007-12-20,969.0407383833607
2007-12-21,987.4304723139217
2007-12-24,1004.9106783535957
2007-12-25,1005.7242663563677
2007-12-26,1008.7059809028856
2007-12-27,1010.008642462579
2007-12-28,1007.7084115622228
2007-12-31,1013.4428340165493
2008-01-01,1013.2672464865469
2008-01-02,1006.8955315306895
2008-01-03,997.2523798901999
2008-01-04,1002.0895171838038
2008-01-07,980.7207418035579
2008-01-08,988.0592155563705
2008-01-09,991.4934099435607
2008-01-10,984.2936585112927
2008-01-11,978.6552852349852
2008-01-14,976.7459083090057
2008-01-15,966.7040636106682
2008-01-16,931.129741699129
2008-01-17,938.7972856307838
2008-01-18,935.8385843708743
2008-01-21,894.3087425345414
2008-01-22,841.7175726044185
2008-01-23,873.7952299431322
2008-01-24,886.6806877237298
2008-01-25,929.654127977686
2008-01-28,912.2510087287602
2008-01-29,914.3082162916929
2008-01-30,895.7899060449362
2008-01-31,902.1767538786207
2008-02-01,927.0741264788792
2008-02-04,944.6801645823753
2008-02-05,935.2958131757654
2008-02-06,912.0815390822111
2008-02-07,905.2740054232884
2008-02-08,912.4941385451567
2008-02-11,888.5301466394488
2008-02-12,894.9445488068476
2008-02-13,882.7409984546026
