Date,AC EUROPE ESG LEADERS
2007-09-28,1000.0
2007-10-01,1009.2171250326147
2007-10-02,1007.8924461281553
2007-10-03,1008.6985340223505
2007-10-04,1008.8563796902066
2007-10-05,1015.9598189786437
2007-10-08,1006.7137234139939
2007-10-09,1013.2406861592723
2007-10-10,1019.2909604214832
2007-10-11,1030.9596232375027
2007-10-12,1024.324938025375
2007-10-15,1018.3228746434067
2007-10-16,1005.1213454216412
2007-10-17,1015.9839477417771
2007-10-18,1014.5304391064254
2007-10-19,1006.7004770418007
2007-10-22,988.2255109422839
2007-10-23,1004.841822800181
2007-10-24,997.6790280202453
2007-10-25,1015.5944545206951
2007-10-26,1026.534360904198
2007-10-29,1035.8893510091077
2007-10-30,1033.482982665006
2007-10-31,1045.6006205311257
2007-11-01,1029.6281438384829
2007-11-02,1027.0575234701062
2007-11-05,1020.6952538571343
2007-11-06,1030.0463290191656
2007-11-07,1028.7214678557025
2007-11-08,1023.269096623769
2007-11-09,1006.3508242048368
2007-11-12,997.9370289984353
2007-11-13,1007.6503427965747
2007-11-14,1019.2167882098506
2007-11-15,1003.431755714588
2007-11-16,996.6025263160706
2007-11-19,978.8926808057256
2007-11-20,999.5113356129688
2007-11-21,977.7770506771053
2007-11-22,988.7991322010404
2007-11-23,1000.0486892980899
2007-11-26,997.2845773612776
2007-11-27,992.9660965846736
2007-11-28,1011.8823022505146
2007-11-29,1015.8802988734274
2007-11-30,1022.4552307622864
2007-12-03,1019.521420214624
2007-12-04,1011.6484724586576
2007-12-05,1021.584412874735
2007-12-06,1019.2396236587546
2007-12-07,1028.612622119936
2007-12-10,1038.490172692424
2007-12-11,1033.2765120801087
2007-12-12,1035.029301073283
2007-12-13,1006.8935855284158
2007-12-14,1000.394016568274
2007-12-17,979.2235703660768
2007-12-18,979.7506343086598
2007-12-19,975.4440130177744
2007-12-20,974.6088067581561
2007-12-21,989.4186310602969
2007-12-24,992.1428857033401
2007-12-25,992.1537143314091
2007-12-26,998.0345266945108
2007-12-27,1004.2290348827626
2007-12-28,1011.0841893016105
2007-12-31,1006.0755458815303
2008-01-01,1006.0755458815303
2008-01-02,999.2914029071289
2008-01-03,995.127710650092
2008-01-04,980.1330233562016
2008-01-07,976.3584613385253
2008-01-08,983.7410269009806
2008-01-09,967.5756356619128
2008-01-10,962.9051060652812
2008-01-11,960.9923538398291
2008-01-14,968.442880417213
2008-01-15,940.2716145425235
2008-01-16,920.6921483332552
2008-01-17,919.1217286195653
2008-01-18,906.257857160028
2008-01-21,848.0893299224915
2008-01-22,875.8336728950891
2008-01-23,847.4363914983037
2008-01-24,901.0127201777187
2008-01-25,901.086010279267
2008-01-28,895.7344337148317
2008-01-29,908.9515059549757
2008-01-30,904.9604636988564
2008-01-31,906.5266685170907
2008-02-01,924.1598638328842
2008-02-04,925.4663364083007
2008-02-05,884.6093014354199
2008-02-06,890.3782180612301
2008-02-07,864.0521725035838
2008-02-08,868.257859060967
2008-02-11,860.7830544205591
2008-02-12,895.2566873877408
2008-02-13,895.0391447747324
2008-02-14,899.8015569652624
2008-02-15,887.1153307003294
2008-02-18,901.6181824230039
2008-02-19,907.9830067091217
2008-02-20,891.361778437915
2008-02-21,905.8738850804189
2008-02-22,901.2109809636474
2008-02-25,917.667458577377
2008-02-26,934.2984899113977
2008-02-27,945.3106461717755
2008-02-28,933.1624695818479
2008-02-29,920.9457864843672
2008-03-03,910.3567132612504
2008-03-04,899.3773955544331
2008-03-05,917.8246124464591
2008-03-06,911.5764085348817
2008-03-07,901.2378139750443
2008-03-10,892.8654397902775
2008-03-11,901.355618917153
2008-03-12,919.1804857365012
2008-03-13,912.0646453078077
2008-03-14,904.061392639367
2008-03-17,877.3891030998248
2008-03-18,910.3136081761073
2008-03-19,894.7330383620518
2008-03-20,881.9652403012506
2008-03-21,882.00540406765
2008-03-24,880.8056542866204
2008-03-25,921.2344188910309
2008-03-26,924.1139754707881
2008-03-27,936.8598990438846
2008-03-28,930.2855120662847
2008-03-31,931.488484897258
2008-04-01,946.538363394384
2008-04-02,958.1555419713785
2008-04-03,955.1949405966857
2008-04-04,963.5643328184
2008-04-07,969.9378282455674
2008-04-08,958.9001634658576
2008-04-09,954.9702318919592
2008-04-10,951.9506563573044
2008-04-11,939.8883787120412
2008-04-14,933.052900453656
2008-04-15,934.5231117888125
2008-04-16,957.5576897881515
2008-04-17,945.6183565248689
2008-04-18,958.4822542515836
2008-04-21,958.5608313535788
2008-04-22,957.1954928350848
2008-04-23,955.7252913842572
2008-04-24,948.4931883577982
2008-04-25,958.654427144652
2008-04-28,963.0923468156699
2008-04-29,951.1520212038333
2008-04-30,957.6755407709185
2008-05-01,952.5483757891564
2008-05-02,967.5509665767942
2008-05-05,969.3600209594451
2008-05-06,967.7161500185446
2008-05-07,965.6810853971441
2008-05-08,967.0331159448602
2008-05-09,955.5373667090761
2008-05-12,962.9295561698334
2008-05-13,961.4471467161534
2008-05-14,964.2782202708769
2008-05-15,969.3299624449661
2008-05-16,979.0435568817038
2008-05-19,985.8970309390886
2008-05-20,976.0558785709354
2008-05-21,975.1982055067257
2008-05-22,976.3467924635797
2008-05-23,966.1445657308321
2008-05-26,963.6833994114176
2008-05-27,957.5508678201712
2008-05-28,962.2710808897314
2008-05-29,957.0805964516943
2008-05-30,964.1885475566337
2008-06-02,952.9796395716808
2008-06-03,957.6933935992688
2008-06-04,947.1452884873385
2008-06-05,951.1066108423908
2008-06-06,944.938104895423
2008-06-09,938.2047211712819
2008-06-10,917.546993585651
2008-06-11,905.0205740343131
