Date,ACWI ESG LEADERS
2007-09-28,1000.0
2007-10-01,1009.7333439288348
2007-10-02,1012.0567943725526
2007-10-03,1010.9232795197277
2007-10-04,1010.8852360717245
2007-10-05,1020.3762158864467
2007-10-08,1015.6711890362753
2007-10-09,1023.2104225570683
2007-10-10,1025.5929823133345
2007-10-11,1028.6781458759556
2007-10-12,1026.366275007915
2007-10-15,1019.9608277053503
2007-10-16,1008.9319125237357
2007-10-17,1013.1499766880048
2007-10-18,1015.9820852090912
2007-10-19,1000.0955385457477
2007-10-22,992.6970810703469
2007-10-23,1005.2968111506269
2007-10-24,1002.6491881140524
2007-10-25,1009.8348490927029
2007-10-26,1023.1028061192312
2007-10-29,1032.5218822471986
2007-10-30,1027.8804823991375
2007-10-31,1039.2718517387398
2007-11-01,1024.2465006587886
2007-11-02,1022.0969595662818
2007-11-05,1015.1318840156194
2007-11-06,1025.07206048091
2007-11-07,1013.2084093778914
2007-11-08,1004.284425595279
2007-11-09,989.7386893823458
2007-11-12,976.4113625684747
2007-11-13,991.1371651540856
2007-11-14,997.8055109645508
2007-11-15,985.1142723666223
2007-11-16,982.5799784632953
2007-11-19,969.1523512263537
2007-11-20,978.5568608868803
2007-11-21,960.8249024873062
2007-11-22,964.359567163028
2007-11-23,975.1874712783434
2007-11-26,969.9280769639189
2007-11-27,974.0032324275165
2007-11-28,991.8232126763842
2007-11-29,998.7364537570802
2007-11-30,1003.5178821987749
2007-12-03,1001.0577731143703
2007-12-04,996.1766674193331
2007-12-05,1005.9901428701289
2007-12-06,1013.4984889892189
2007-12-07,1016.6323009262455
2007-12-10,1022.971463381787
2007-12-11,1011.2509249936571
2007-12-12,1012.1017686054903
2007-12-13,997.8847948994189
2007-12-14,985.7661533374238
2007-12-17,966.9764461375315
2007-12-18,969.2662828093978
2007-12-19,967.0090459185128
2007-12-20,969.6082272295655
2007-12-21,984.2344900304437
2007-12-24,990.0607404195401
2007-12-25,992.1635857204088
2007-12-26,995.5472519166174
2007-12-27,991.7609549104491
2007-12-28,994.1396329107604
2007-12-31,990.4756611485614
2008-01-01,990.4597377762142
2008-01-02,982.9267944581921
2008-01-03,980.4265464649446
2008-01-04,960.3759577650555
2008-01-07,955.4154136809437
2008-01-08,952.0395713431707
2008-01-09,952.7030105597763
2008-01-10,952.080420919652
2008-01-11,942.9275126164644
2008-01-14,951.4422050249602
2008-01-15,929.6858942179764
2008-01-16,912.3238679954968
2008-01-17,902.249110512091
2008-01-18,895.7885912783578
2008-01-21,867.1688075511198
2008-01-22,864.3426921887676
2008-01-23,868.4386207376876
2008-01-24,895.1087226469241
2008-01-25,897.0528138288588
2008-01-28,896.076985649872
2008-01-29,905.1903469189277
2008-01-30,899.3132538529562
2008-01-31,908.610657143991
2008-02-01,922.7961910823486
2008-02-04,922.0278344500693
2008-02-05,893.8681287520034
2008-02-06,886.7879564025797
2008-02-07,880.555909935411
2008-02-08,879.7974558542021
2008-02-11,879.7555645299112
2008-02-12,894.6840514009884
2008-02-13,898.9942562014245
2008-02-14,901.2930607181344
2008-02-15,897.1211852405414
2008-02-18,900.7579632376062
2008-02-19,905.8090734523583
2008-02-20,899.0567286565384
2008-02-21,903.3968678590602
2008-02-22,903.5158961761782
2008-02-25,917.966129045289
2008-02-26,929.3312281575687
2008-02-27,936.9954691437677
2008-02-28,929.6209369884074
2008-02-29,911.8193705342253
2008-03-03,901.9577665158683
2008-03-04,896.6327887255825
2008-03-05,904.5709047857255
2008-03-06,897.5597433181213
2008-03-07,885.0246471806086
2008-03-10,873.2752495288319
2008-03-11,892.3152081927902
2008-03-12,900.0227025889267
2008-03-13,895.8147259646703
2008-03-14,884.0837742663322
2008-03-17,865.8365794951615
2008-03-18,892.6645813553445
2008-03-19,880.5289377180815
2008-03-20,881.5868222884642
2008-03-21,883.8213173892177
2008-03-24,890.6234001183498
2008-03-25,913.1335294493107
2008-03-26,912.5067417925032
2008-03-27,910.1410991402586
2008-03-28,906.0412264268538
2008-03-31,904.5999173189597
2008-04-01,921.1855189000687
2008-04-02,931.3360086558347
2008-04-03,934.1696071471773
2008-04-04,938.1014481703653
2008-04-07,941.3624588772645
2008-04-08,933.2969642279456
2008-04-09,926.2626721995784
2008-04-10,928.4195121904772
2008-04-11,920.0494492976817
2008-04-14,912.5293306895264
2008-04-15,915.9293571222436
2008-04-16,936.3382910984096
2008-04-17,933.5974360041731
2008-04-18,944.2897276340077
2008-04-21,950.4986473883446
2008-04-22,944.2091951068268
2008-04-23,943.3343370509838
2008-04-24,941.728321781232
2008-04-25,950.9720465387801
2008-04-28,954.4679270879376
2008-04-29,948.5254568455154
2008-04-30,949.1125058647019
2008-05-01,954.3644779017488
2008-05-02,964.8859603244484
2008-05-05,964.5773107132698
2008-05-06,968.2564028006204
2008-05-07,960.2899026776437
2008-05-08,961.9822315281774
2008-05-09,953.6595332898503
2008-05-12,961.7693399339875
2008-05-13,962.7849670981996
2008-05-14,964.4340182342903
2008-05-15,974.9014311533606
2008-05-16,981.5652777306536
2008-05-19,984.7938241599248
2008-05-20,977.6861542667743
2008-05-21,967.9930104699749
2008-05-22,968.3841143452049
2008-05-23,959.226543923852
2008-05-26,954.4543858748348
2008-05-27,956.1553430376034
2008-05-28,958.8394538549754
2008-05-29,962.6890108034668
2008-05-30,968.7084272433103
2008-06-02,962.7060824992017
2008-06-03,959.1211037349083
2008-06-04,958.0140236151173
2008-06-05,965.581002803975
2008-06-06,953.5715599639467
2008-06-09,947.1074377608522
2008-06-10,933.4390669133599
2008-06-11,923.9293015703915
