Date,ACWI ex USA ESG LEADERS
2007-09-28,1000.0
2007-10-01,1006.6342391667976
2007-10-02,1010.9281829099077
2007-10-03,1012.5245100869486
2007-10-04,1011.3761376013281
2007-10-05,1019.7296861643655
2007-10-08,1013.4921519262717
2007-10-09,1020.8273769917874
2007-10-10,1025.8388402625055
2007-10-11,1035.951456272658
2007-10-12,1028.7898577132055
2007-10-15,1025.4132659746042
2007-10-16,1011.7118708081059
2007-10-17,1017.127399550426
2007-10-18,1021.0429804770624
2007-10-19,1011.5127779357899
2007-10-22,994.0821386554468
2007-10-23,1009.8350077816975
2007-10-24,1005.9432689146266
2007-10-25,1016.9051500127297
2007-10-26,1032.1347801979553
2007-10-29,1045.3368067628405
2007-10-30,1042.1142186848322
2007-10-31,1052.9985671019133
2007-11-01,1044.5152251496652
2007-11-02,1037.3382205437142
2007-11-05,1027.4156442050498
2007-11-06,1035.9289461158908
2007-11-07,1035.7684547497236
2007-11-08,1023.5463358589216
2007-11-09,1009.9031921537819
2007-11-12,992.0580781013946
2007-11-13,999.2312423784255
2007-11-14,1016.0061389572696
2007-11-15,1001.5322770784464
2007-11-16,992.4677350362352
2007-11-19,979.4606133933192
2007-11-20,992.7561731819372
2007-11-21,971.991970082571
2007-11-22,978.0120239364558
2007-11-23,985.9631306403055
2007-11-26,990.3538940826999
2007-11-27,988.104051504475
2007-11-28,999.481499728866
2007-11-29,1010.559793539979
2007-11-30,1015.6842196430279
2007-12-03,1014.671502733847
2007-12-04,1009.1449724310369
2007-12-05,1016.0773668627548
2007-12-06,1019.8419510916187
2007-12-07,1026.5579492654595
2007-12-10,1031.2260192299607
2007-12-11,1029.686439296992
2007-12-12,1026.6711106167957
2007-12-13,1002.3702755012401
2007-12-14,992.2146577276828
2007-12-17,970.7627060156684
2007-12-18,970.4496927547742
2007-12-19,967.0292085117724
2007-12-20,967.7160699465369
2007-12-21,981.7353352157498
2007-12-24,986.3980983631936
2007-12-25,989.9565795876775
2007-12-26,996.0637706790283
2007-12-27,999.2690131907683
2007-12-28,1002.7721976695802
2007-12-31,1001.4822750680203
2008-01-01,1001.4553480620773
2008-01-02,999.4420949379867
2008-01-03,996.130922149173
2008-01-04,980.1806719283042
2008-01-07,970.093174224165
2008-01-08,975.6566520757137
2008-01-09,969.0897117965145
2008-01-10,962.9037018904897
2008-01-11,957.9188332073998
2008-01-14,964.496190854356
2008-01-15,943.0556509468828
2008-01-16,917.3093172160972
2008-01-17,917.7834621712582
2008-01-18,910.8288764148715
2008-01-21,862.4319745615592
2008-01-22,863.7017433997265
2008-01-23,857.6155095509513
2008-01-24,895.9701289638051
2008-01-25,908.7624066901936
2008-01-28,897.0553498604946
2008-01-29,910.3647004204292
2008-01-30,903.2863163286693
2008-01-31,908.8715359440359
