Date,EM FAR EAST SMALL GROWTH
1998-05-29,751.1653860486241
1998-06-01,717.5301019415584
1998-06-02,711.2659617766778
1998-06-03,717.9980455913065
1998-06-04,703.2417279742613
1998-06-05,703.9094578210115
1998-06-08,702.3889833418916
1998-06-09,696.6051455729225
1998-06-10,671.083873779492
1998-06-11,663.2928705666768
1998-06-12,652.2015119500758
1998-06-15,638.8168202430666
1998-06-16,635.3831349006213
1998-06-17,657.2752637395863
1998-06-18,685.5549271220734
1998-06-19,684.5766181816875
1998-06-22,668.2449760434886
1998-06-23,663.8776972230839
1998-06-24,660.4698619266785
1998-06-25,662.5196688358384
1998-06-26,651.5527192419734
1998-06-29,638.6838235159289
1998-06-30,647.1337694720821
1998-07-01,650.8223398089383
1998-07-02,656.5641978955427
1998-07-03,657.137309990118
1998-07-06,661.2655354766388
1998-07-07,664.3824405301409
1998-07-08,665.8927356744375
1998-07-09,661.0010857945109
1998-07-10,654.1092381326333
1998-07-13,646.5420010815765
1998-07-14,652.5897975777028
1998-07-15,660.204654042974
1998-07-16,672.0145909024907
1998-07-17,680.5737455289129
1998-07-20,684.89931844977
1998-07-21,681.9352841387199
1998-07-22,674.0954548764623
1998-07-23,668.1339953017784
1998-07-24,675.6797034903253
1998-07-27,669.5447434925312
1998-07-28,662.9970431772488
1998-07-29,658.4187749153027
1998-07-30,660.0841237829761
1998-07-31,660.6757125152678
1998-08-03,647.9236593683405
1998-08-04,645.6435938481952
1998-08-05,634.8531755544565
1998-08-06,620.9377617793408
1998-08-07,618.2744340831638
1998-08-10,603.3775013194357
1998-08-11,596.7449862089735
1998-08-12,598.1442748174452
1998-08-13,597.9896949151338
1998-08-14,601.5914831977205
1998-08-17,590.4429842612827
1998-08-18,583.5450551045267
1998-08-19,602.818013302037
1998-08-20,609.4621333406479
1998-08-21,598.8096327770394
1998-08-24,585.1308030013474
1998-08-25,584.0976997709297
1998-08-26,579.4090106462129
1998-08-27,577.9251048701285
1998-08-28,565.7616516586417
1998-08-31,558.3042468594848
1998-09-01,558.7791743725205
1998-09-02,576.0471642693516
1998-09-03,579.7261288245503
1998-09-04,610.8267423350404
1998-09-07,662.9697443773363
1998-09-08,627.673147353947
1998-09-09,638.5744454813348
1998-09-10,630.1289806769289
1998-09-11,617.6989157471526
1998-09-14,626.0206037179473
1998-09-15,625.0316536620053
1998-09-16,639.2954432139154
1998-09-17,639.0494648423888
1998-09-18,641.4965658723424
1998-09-21,629.5788358523338
1998-09-22,632.9401846863725
1998-09-23,627.431071192018
1998-09-24,645.5849283651022
1998-09-25,646.6964696363704
1998-09-28,644.3813665431063
1998-09-29,642.743064033869
1998-09-30,574.9838419282404
1998-10-01,569.5826286349708
1998-10-02,563.2266911511222
1998-10-05,563.6140688171971
1998-10-06,574.4314356107806
1998-10-07,583.406239027964
1998-10-08,600.5182681129611
1998-10-09,610.356175898105
1998-10-12,627.6578344652759
1998-10-13,619.5696484982033
1998-10-14,617.4173519194673
1998-10-15,630.7970360410021
1998-10-16,641.7745944323703
1998-10-19,645.1916736358535
1998-10-20,658.3510756928334
1998-10-21,662.0518888153088
1998-10-22,659.2973137122037
1998-10-23,654.6789261844696
1998-10-26,652.832863238517
1998-10-27,645.6364667721509
1998-10-28,646.1752596859358
1998-10-29,649.8220212859843
1998-10-30,649.6299223555795
1998-11-02,659.3872723401836
1998-11-03,658.971827603439
1998-11-04,669.426948489102
1998-11-05,676.8150473860476
1998-11-06,686.0973237538274
1998-11-09,694.1041584949681
1998-11-10,676.9325925172957
1998-11-11,681.0710829864105
1998-11-12,669.0883084364864
1998-11-13,674.5176770593805
1998-11-16,686.9862959413027
1998-11-17,690.5409401440924
1998-11-18,693.1936501302312
1998-11-19,705.9124045483055
1998-11-20,719.0481758568352
1998-11-23,739.1020967821164
1998-11-24,747.4465992333043
1998-11-25,752.5241278652665
1998-11-26,755.0562571527016
1998-11-27,752.7570185041217
1998-11-30,754.8078086866519
1998-12-01,745.541615085428
1998-12-02,744.56942818786
1998-12-03,747.7850879474219
1998-12-04,762.6384094373475
1998-12-07,809.5095967999172
1998-12-08,808.1870018765851
1998-12-09,819.0829623136877
1998-12-10,842.040204232013
1998-12-11,846.9450433544839
1998-12-14,866.9759482574079
1998-12-15,897.5488673998592
1998-12-16,853.8879918122221
1998-12-17,810.9076152828986
1998-12-18,806.1365721130255
1998-12-21,835.0392046290838
1998-12-22,810.9713965974339
1998-12-23,803.2817207373863
1998-12-24,807.99249581416
1998-12-25,810.7899959862411
1998-12-28,797.9226228302591
1998-12-29,794.3294439286243
1998-12-30,802.4818622929698
1998-12-31,803.107406297711
1999-01-01,803.107406297711
1999-01-04,827.3142210650565
1999-01-05,834.3151464972086
1999-01-06,859.0213962729765
1999-01-07,884.1253797820923
1999-01-08,876.420539032982
1999-01-11,896.1543375155672
1999-01-12,891.0689862637904
1999-01-13,873.3554073143638
1999-01-14,833.0849101152716
1999-01-15,854.5153627505529
1999-01-18,863.7321329455851
1999-01-19,853.57346418457
1999-01-20,842.2796464343762
1999-01-21,815.2425194495038
1999-01-22,790.5963087378025
1999-01-25,761.055008342124
1999-01-26,752.0797606166386
1999-01-27,777.0505337992063
1999-01-28,771.4030379238808
1999-01-29,771.6433284560927
1999-02-01,782.2923213253964
1999-02-02,773.0363689444791
1999-02-03,759.7133327200954
1999-02-04,745.8839330056503
1999-02-05,742.7868526414217
1999-02-08,747.5484218898883
1999-02-09,729.8925070046554
1999-02-10,737.1250134657424
1999-02-11,739.8671252737279
1999-02-12,758.5340558431997
1999-02-15,761.5312949712389
1999-02-16,760.5804862820133
1999-02-17,757.1456064735803
1999-02-18,751.9885781285726
1999-02-19,735.7352099693468
1999-02-22,725.3987153571808
1999-02-23,715.674804023766
1999-02-24,707.8959688773974
1999-02-25,703.7407462735902
1999-02-26,722.4618710615474
1999-03-01,726.6385672167733
1999-03-02,729.3138404138043
1999-03-03,728.0646709326336
1999-03-04,727.1249323703813
1999-03-05,728.0570708404425
1999-03-08,750.4718439176006
1999-03-09,747.3702680687152
1999-03-10,744.8085003509553
1999-03-11,756.1300396496661
1999-03-12,762.3789611161534
1999-03-15,770.8379557293498
1999-03-16,775.798113017821
1999-03-17,778.7782079088573
1999-03-18,773.1979954696695
1999-03-19,794.7741469424288
1999-03-22,795.5714388689736
1999-03-23,797.9822127770618
1999-03-24,793.0187103618797
1999-03-25,796.4960649154833
1999-03-26,799.3664657125157
1999-03-29,790.3709295604364
1999-03-30,794.3030392457676
1999-03-31,793.9905275449722
1999-04-01,806.9768840468666
1999-04-02,815.9743290151381
1999-04-05,811.4701702984173
1999-04-06,828.965786988006
1999-04-07,832.194422273048
1999-04-08,841.685973009882
1999-04-09,851.3268903707345
1999-04-12,853.240600758175
1999-04-13,858.4312784019708
