Date,EM EASTERN EUROPE SMALL GROWTH
1996-11-29,242.54551475961281
1996-12-31,245.91692174009694
1997-01-01,245.91692174009694
1997-01-02,247.2197257362449
1997-01-03,247.0413620287507
1997-01-06,247.106048382727
1997-01-07,250.9742620783676
1997-01-08,251.872975456096
1997-01-09,254.95404249887974
1997-01-10,253.63837455872826
1997-01-13,255.25675802491386
1997-01-14,256.5687340064341
1997-01-15,259.4267082161317
1997-01-16,262.8211589754297
1997-01-17,261.88000532769945
1997-01-20,262.66169536895603
1997-01-21,263.985028924477
1997-01-22,262.0984196927448
1997-01-23,261.85209005745565
1997-01-24,262.3942790816249
1997-01-27,262.56067167107915
1997-01-28,259.644213255755
1997-01-29,258.31168155269484
1997-01-30,258.48181007817374
1997-01-31,262.2031422442696
1997-02-03,267.37292985415064
1997-02-04,269.2446717855476
1997-02-05,269.9326394274348
1997-02-06,273.1300833493006
1997-02-07,273.01348930968317
1997-02-10,273.89374322322857
1997-02-11,271.17151333580745
1997-02-12,270.49262821123557
1997-02-13,268.64098655157085
1997-02-14,273.3037244625104
1997-02-17,273.2980238114006
1997-02-18,274.0014592312462
1997-02-19,271.51629208394894
1997-02-20,270.1680284284152
1997-02-21,271.3222836296586
1997-02-24,272.68749228954493
1997-02-25,273.0265764177934
1997-02-26,273.73941416710096
1997-02-27,271.010457820976
1997-02-28,267.6612860450638
1997-03-03,266.8179500772298
1997-03-04,265.21153022577
1997-03-05,262.8712518613333
1997-03-06,260.5171956963124
1997-03-07,259.61912499005416
1997-03-10,259.5890605443784
1997-03-11,257.7668240748406
1997-03-12,257.97832431540303
1997-03-13,256.55681730422646
1997-03-14,253.27142537763316
1997-03-17,252.81700090694744
1997-03-18,253.43160270945071
1997-03-19,250.82803610132208
1997-03-20,247.1861385143169
1997-03-21,247.85343295021488
1997-03-24,247.03881067541494
1997-03-25,248.20186689638223
1997-03-26,248.48654355305345
1997-03-27,255.23925211371608
1997-03-28,255.2904673726117
1997-03-31,255.85086087071429
1997-04-01,252.41982769474595
1997-04-02,250.6306592875611
1997-04-03,249.83651083148231
1997-04-04,249.0296425575676
1997-04-07,245.60973734640515
1997-04-08,245.40712358865088
1997-04-09,245.09696057514714
1997-04-10,244.91236087219735
1997-04-11,245.15652622696186
1997-04-14,242.32679733236958
1997-04-15,241.30883616466122
1997-04-16,243.9363029376188
1997-04-17,244.9302353800331
1997-04-18,245.95415465722985
1997-04-21,246.83822401834902
1997-04-22,246.68433554602328
1997-04-23,248.56548018256387
