Date,EM GCC COUNTRIES SMALL GROWTH
2014-05-30,1000.0
2014-06-02,996.0499600333792
2014-06-03,990.8230815887175
2014-06-04,988.0291174548561
2014-06-05,996.9923753074079
2014-06-06,996.9798888677583
2014-06-09,971.9428622415458
2014-06-10,955.5936137694879
2014-06-11,955.3635351520547
2014-06-12,965.0759633288815
2014-06-13,965.0697398288037
2014-06-16,904.6176343545987
2014-06-17,917.1537207938954
2014-06-18,914.5788047014596
2014-06-19,931.1831436935316
2014-06-20,931.1831436935316
2014-06-23,891.6210575146227
2014-06-24,855.4502912234192
2014-06-25,870.1743866010582
2014-06-26,854.869716585286
2014-06-27,854.863806855305
2014-06-30,807.5305938574991
2014-07-01,820.9034552313266
2014-07-02,876.5881586150639
2014-07-03,904.6299428315601
2014-07-04,904.6359314176137
2014-07-07,920.1431390642431
2014-07-08,909.537678167082
2014-07-09,915.7361019030301
2014-07-10,907.152767863928
2014-07-11,907.1527678639279
2014-07-14,940.2522472712313
2014-07-15,952.1181896220965
2014-07-16,956.4590841201888
2014-07-17,957.0836918462255
2014-07-18,957.0836918462257
2014-07-21,942.0588922271237
2014-07-22,941.3842388539589
2014-07-23,930.9255588907861
2014-07-24,931.9930095110319
2014-07-25,931.9930095110318
2014-07-28,931.4651581191705
2014-07-29,931.4841397255658
2014-07-30,931.484139725566
2014-07-31,935.5800359377741
2014-08-01,935.5800359377741
2014-08-04,942.3169836760148
2014-08-05,951.974011493633
2014-08-06,934.4133782736931
2014-08-07,941.314818606957
2014-08-08,941.314818606957
2014-08-11,953.0839077642136
2014-08-12,958.6368688142869
2014-08-13,962.3925595903378
2014-08-14,964.3758751622108
2014-08-15,964.3558286632616
2014-08-18,971.6787577217907
2014-08-19,977.1893068096181
2014-08-20,972.6395805068829
2014-08-21,975.3184146978148
2014-08-22,975.2838003281806
2014-08-25,980.3300698361234
2014-08-26,982.2350180312765
2014-08-27,978.0934441572206
2014-08-28,969.6545546910062
2014-08-29,969.6755019784669
2014-09-01,971.9446257883764
2014-09-02,965.7460051297453
2014-09-03,975.5252439531973
2014-09-04,969.9163075347951
2014-09-05,969.9163075347951
2014-09-08,971.4416806748543
2014-09-09,973.1474863210883
2014-09-10,960.6696343972061
2014-09-11,970.2192225790836
2014-09-12,970.2192225790836
2014-09-15,978.1957562332162
2014-09-16,970.3625448895543
2014-09-17,975.180024333227
2014-09-18,983.4305697715953
2014-09-19,983.4305697715953
2014-09-22,965.3846733719714
2014-09-23,959.4487846960036
2014-09-24,957.7593939693386
2014-09-25,959.3494319006062
2014-09-26,959.3555300194752
2014-09-29,963.5482630938751
2014-09-30,964.2864975590828
2014-10-01,970.7707223626819
2014-10-02,965.9876298584741
2014-10-03,965.9805111135946
2014-10-06,965.9683275581286
2014-10-07,962.1054187985374
2014-10-08,962.1286147947649
2014-10-09,958.2711053644226
2014-10-10,958.2782237183527
2014-10-13,932.4905930281892
2014-10-14,921.8563032219138
2014-10-15,914.1894187311235
2014-10-16,888.4085133847361
2014-10-17,888.4018001495966
2014-10-20,893.2511680992876
2014-10-21,890.3921588987957
2014-10-22,901.5508388202309
2014-10-23,901.3309516830516
2014-10-24,901.3581687032869
2014-10-27,897.1636673826347
2014-10-28,904.0230313344415
2014-10-29,912.4791525356972
2014-10-30,895.3533843827194
2014-10-31,895.3279367452061
2014-11-03,907.241293919446
2014-11-04,905.1329084953151
2014-11-05,892.2716569328381
2014-11-06,902.7705411761493
2014-11-07,902.7705411761493
2014-11-10,920.1172869873205
2014-11-11,934.061708017503
2014-11-12,933.8355573688465
2014-11-13,936.3693053084334
2014-11-14,936.3558556956875
2014-11-17,935.076052796477
2014-11-18,941.5766803547104
2014-11-19,945.08749298784
2014-11-20,938.7420456614287
2014-11-21,938.7420456614285
2014-11-24,928.1759626973184
2014-11-25,891.6400326125848
2014-11-26,885.9401987157341
2014-11-27,885.4811247579086
2014-11-28,885.4569304368861
2014-12-01,841.1686656904055
