Date,EM (EMERGING MARKETS) SMALL GROWTH
1994-05-31,646.446046501144
1994-06-30,657.2660905194656
1994-07-29,683.953722603515
1994-08-31,756.7328814668633
1994-09-30,776.8365276369024
1994-10-31,785.964012106523
1994-11-30,767.4217374642353
1994-12-30,744.9894404309237
1995-01-31,675.294690042476
1995-02-28,656.2767025353689
1995-03-31,655.4447336611582
1995-04-28,650.439460239142
1995-05-31,694.3411636417799
1995-06-30,691.530853873232
1995-07-31,707.7015009433177
1995-08-31,665.2896847949812
1995-09-29,665.0814832746893
1995-10-31,632.5455098279396
1995-11-30,588.4887917754957
1995-12-29,594.9327909316527
1996-01-31,620.2884689815884
1996-02-29,642.4041653168954
1996-03-29,631.7781399525836
1996-04-30,645.3561034975357
1996-05-31,637.862590924332
1996-06-28,637.0458422619799
1996-07-31,593.1315532578582
1996-08-30,583.2503595726149
1996-09-30,587.1307854869752
1996-10-31,571.3762973598928
1996-11-29,568.3489484647082
1996-12-31,563.0273468819607
1997-01-01,562.844211612715
1997-01-02,565.8347163739029
1997-01-03,568.0894877193347
1997-01-06,565.3283471522391
1997-01-07,565.7894723806547
1997-01-08,567.2301197542217
1997-01-09,570.6277246696194
1997-01-10,574.7867137493258
1997-01-13,578.7613926860272
1997-01-14,583.2551136890354
1997-01-15,591.7977244232853
1997-01-16,594.0692049126137
1997-01-17,593.0402912139641
1997-01-20,599.2498928882698
1997-01-21,596.3982054139406
1997-01-22,597.2413807518249
1997-01-23,598.6362847159514
1997-01-24,603.1305221691624
1997-01-27,604.1213500897311
1997-01-28,599.6585303692419
1997-01-29,599.4552085681313
1997-01-30,602.6302741301972
1997-01-31,605.5296611449312
1997-02-03,604.4098265546785
1997-02-04,603.7256282026877
1997-02-05,604.7544131093226
1997-02-06,607.3125757195146
1997-02-07,608.0081321500087
1997-02-10,610.2455068723392
1997-02-11,613.2878468227171
1997-02-12,617.7325432448588
1997-02-13,617.1115003511109
1997-02-14,615.729013841311
1997-02-17,620.700374570022
1997-02-18,622.4255436453517
1997-02-19,626.7850251671355
1997-02-20,629.4048360551776
1997-02-21,630.9966186929071
1997-02-24,630.7774153000788
1997-02-25,631.5350757554806
1997-02-26,627.4610601531764
1997-02-27,624.7683826897596
1997-02-28,628.3362908565562
1997-03-03,627.8054393733192
1997-03-04,626.4288670256725
1997-03-05,625.1669806302209
1997-03-06,628.5182171893956
1997-03-07,632.1588719638687
1997-03-10,633.6833120753817
1997-03-11,632.9285131688562
1997-03-12,630.8203128716339
1997-03-13,627.8230007505985
1997-03-14,624.4824304287735
1997-03-17,629.7510629171047
1997-03-18,630.9488475188804
1997-03-19,627.1880322359452
1997-03-20,628.880421290506
1997-03-21,620.6916185082424
1997-03-24,610.9760032745603
1997-03-25,610.7216207698891
1997-03-26,618.6390195586099
1997-03-27,620.1313619972223
1997-03-28,622.5724193282222
1997-03-31,618.503062620733
1997-04-01,620.0004522691257
1997-04-02,622.474003423776
1997-04-03,622.8375108375428
1997-04-04,623.6441162882245
1997-04-07,623.1425650910758
1997-04-08,621.338877276695
1997-04-09,625.7714569189365
1997-04-10,621.7459679289277
1997-04-11,622.8303931210978
1997-04-14,622.4989853055994
1997-04-15,624.0065573368092
1997-04-16,625.9730463176433
1997-04-17,624.220347947601
1997-04-18,622.2276961795403
1997-04-21,623.7562791750936
1997-04-22,622.669409743346
1997-04-23,626.0653982436629
1997-04-24,625.0210629726259
1997-04-25,627.0923731419448
1997-04-28,624.622875908001
1997-04-29,624.008342515212
1997-04-30,622.7905009750101
1997-05-01,623.7402520436538
1997-05-02,617.8095606648105
1997-05-05,616.2488954192472
1997-05-06,618.085374102184
1997-05-07,619.9670910125336
1997-05-08,617.3823188693912
1997-05-09,617.1788107883474
1997-05-12,609.8372949966717
1997-05-13,610.1457960225276
1997-05-14,612.3285833117063
1997-05-15,611.6271149359507
1997-05-16,608.2260675130027
1997-05-19,612.9036848436776
1997-05-20,614.9835770959534
1997-05-21,614.5858972329509
1997-05-22,612.4978310238278
1997-05-23,613.498394929289
1997-05-26,610.7008122571631
1997-05-27,608.1596911210097
1997-05-28,606.4295765608066
1997-05-29,605.1925952175887
1997-05-30,609.2527914602197
1997-06-02,615.589044417698
1997-06-03,616.4373079708317
1997-06-04,616.2951780599069
1997-06-05,617.0787102135303
1997-06-06,618.1712457923303
1997-06-09,619.347772254379
1997-06-10,618.1063006517344
1997-06-11,618.1783356257689
1997-06-12,620.3031789001103
1997-06-13,617.5805167327603
1997-06-16,621.1977354952351
1997-06-17,622.8809620512175
1997-06-18,621.958159585969
1997-06-19,622.5330494373643
1997-06-20,625.3291213782911
1997-06-23,626.2924801791133
1997-06-24,626.5084234583314
1997-06-25,627.4422513469292
1997-06-26,628.1613452782537
1997-06-27,628.8400857461555
1997-06-30,635.5109008181187
1997-07-01,637.781003458585
1997-07-02,641.2752866434978
1997-07-03,643.7354241903879
1997-07-04,647.737219085321
1997-07-07,653.4473432603506
1997-07-08,655.0354250714744
1997-07-09,659.5970515817887
1997-07-10,660.7870778780333
1997-07-11,657.9375605935267
1997-07-14,657.1301530047865
1997-07-15,648.2075123320647
1997-07-16,647.8711890488138
1997-07-17,646.8169123281375
1997-07-18,645.4750015905763
1997-07-21,638.7232027178648
1997-07-22,637.1524556693513
1997-07-23,634.6388235067794
1997-07-24,639.0497003154999
1997-07-25,637.5288608267684
1997-07-28,641.9580372951281
1997-07-29,643.4802812645705
1997-07-30,644.8120145251684
1997-07-31,647.3521261701724
1997-08-01,646.5863603706613
1997-08-04,649.9341497840545
1997-08-05,651.0939213874706
1997-08-06,652.943268972604
1997-08-07,650.7487045168157
1997-08-08,651.7344788073038
1997-08-11,653.2040546254378
1997-08-12,649.6673163410217
1997-08-13,645.7300762410789
1997-08-14,644.4415645805597
1997-08-15,640.9242510549198
1997-08-18,633.6140272498075
1997-08-19,631.3262499412953
1997-08-20,634.4138895581726
1997-08-21,636.6751066007222
1997-08-22,632.9185904519538
1997-08-25,632.6330939526571
1997-08-26,631.8707941447511
1997-08-27,627.9901592975206
1997-08-28,620.9155131408526
1997-08-29,613.0319644322402
1997-09-01,604.4270980625633
1997-09-02,599.776471340116
1997-09-03,603.8771772543622
1997-09-04,602.6838385555627
1997-09-05,613.611677655752
1997-09-08,617.823726215679
1997-09-09,616.0533125737744
1997-09-10,616.2370989453061
1997-09-11,613.7619019864906
1997-09-12,615.3271482874792
1997-09-15,611.7906476886001
1997-09-16,611.0566198972753
1997-09-17,612.4296910103108
1997-09-18,612.6656749688061
1997-09-19,609.8175568578376
1997-09-22,607.4469323941707
1997-09-23,605.5242203077139
1997-09-24,608.965054072579
1997-09-25,607.540532058718
1997-09-26,604.4584153851987
1997-09-29,601.4390416086381
1997-09-30,604.8389164187203
1997-10-01,597.6464402778242
1997-10-02,596.7825275012516
1997-10-03,594.1212271163218
1997-10-06,594.8291566543726
1997-10-07,592.806652077995
1997-10-08,592.5084619256804
1997-10-09,597.8077127343319
1997-10-10,599.680495719434
1997-10-13,599.2907808156752
1997-10-14,600.2702519876015
1997-10-15,595.4685781692879
1997-10-16,589.6916045141854
1997-10-17,585.3154188407689
1997-10-20,569.6559335028435
1997-10-21,573.5477340385389
1997-10-22,577.8283128390206
1997-10-23,572.1767946790206
1997-10-24,559.5642662150348
1997-10-27,535.2322214245333
1997-10-28,517.9815932990862
1997-10-29,518.4040750506629
1997-10-30,509.85203564618496
1997-10-31,510.01386152217157
1997-11-03,523.4185938302193
1997-11-04,532.2057318881531
1997-11-05,536.2363180270336
1997-11-06,536.7984243091013
1997-11-07,522.3117017131099
1997-11-10,518.4221278360327
1997-11-11,514.8547175551029
1997-11-12,505.0615201487741
1997-11-13,498.39203982696836
1997-11-14,498.6225001304865
1997-11-17,497.73553005871946
1997-11-18,492.64302000815803
1997-11-19,487.24826052673643
1997-11-20,480.77903086080033
1997-11-21,486.8933984913068
1997-11-24,474.0950741676937
1997-11-25,469.376581329066
1997-11-26,469.92319533921255
1997-11-27,473.6744053847492
1997-11-28,469.53743225763867
1997-12-01,460.9210552139978
1997-12-02,460.22381965189027
1997-12-03,462.9503108403634
1997-12-04,471.85059172343847
1997-12-05,471.84607773688185
1997-12-08,468.89014606175607
1997-12-09,461.14279556459417
1997-12-10,457.18719888396964
1997-12-11,443.073098533304
1997-12-12,439.6521679264471
1997-12-15,439.21903500380574
1997-12-16,441.39497890324594
1997-12-17,446.21788233347525
1997-12-18,449.24020732898737
1997-12-19,444.37615938354367
1997-12-22,441.0511871905421
1997-12-23,435.33116324296776
1997-12-24,435.07369083949914
1997-12-25,434.6047955921034
1997-12-26,442.60480971347545
1997-12-29,445.8246211209788
1997-12-30,447.3895195204461
1997-12-31,450.6702305941372
1998-01-01,450.90865325489824
1998-01-02,449.5768993248665
1998-01-05,444.2461436279904
1998-01-06,438.88795239108754
1998-01-07,432.7299006355881
1998-01-08,423.9635740374494
1998-01-09,419.9506728371443
1998-01-12,405.5995584452911
1998-01-13,411.3500139383439
1998-01-14,416.1626302496417
1998-01-15,413.36917736098763
1998-01-16,415.90892052725934
1998-01-19,422.6275919813571
1998-01-20,420.02661366878704
1998-01-21,418.57127330058967
1998-01-22,414.05184410836665
1998-01-23,411.2993985654089
1998-01-26,411.5135924525668
1998-01-27,411.9938983061285
1998-01-28,409.86728409876594
1998-01-29,408.9806265044672
1998-01-30,414.67462720967404
1998-02-02,422.7455830189362
1998-02-03,427.64116817724965
1998-02-04,425.06892609322244
1998-02-05,428.597051029819
1998-02-06,429.4545359576227
1998-02-09,428.50419493569234
1998-02-10,428.7743814812626
1998-02-11,430.9408402277904
1998-02-12,428.9498896649024
