Date,EM ASIA SMALL GROWTH
1994-05-31,1679.3307690853164
1994-06-30,1661.7813340437713
1994-07-29,1687.458074485026
1994-08-31,1772.5395418250791
1994-09-30,1725.964074575229
1994-10-31,1737.9428325627555
1994-11-30,1611.5183045232961
1994-12-30,1590.7244025304383
1995-01-31,1418.4691250229862
1995-02-28,1403.1004012674102
1995-03-31,1361.858460332198
1995-04-28,1285.8803523198496
1995-05-31,1372.8097108768177
1995-06-30,1364.0302558392339
1995-07-31,1400.461678034157
1995-08-31,1313.773496113228
1995-09-29,1301.2632507630065
1995-10-31,1243.5912111648784
1995-11-30,1135.9093254540924
1995-12-29,1165.7105757399052
1996-01-31,1170.6072136638998
1996-02-29,1206.5183134981041
1996-03-29,1190.9097067352832
1996-04-30,1227.9865462620037
1996-05-31,1213.911009550476
1996-06-28,1189.8909897440594
1996-07-31,1092.0070719253165
1996-08-30,1056.9632935539485
1996-09-30,1050.977574117232
1996-10-31,1019.5959529922137
1996-11-29,1008.2887119593865
1996-12-31,990.1631510219313
1997-01-01,989.9869099214238
1997-01-02,996.8681123550555
1997-01-03,999.5136143597227
1997-01-06,987.3565719125717
1997-01-07,982.9540798619443
1997-01-08,985.2954692606843
1997-01-09,993.1344005900189
1997-01-10,1004.0303903173658
1997-01-13,1015.1675765870201
1997-01-14,1021.3556612874296
1997-01-15,1038.6913985770104
1997-01-16,1044.12560302623
1997-01-17,1037.231180604086
1997-01-20,1053.5193962656465
1997-01-21,1040.7096677911481
1997-01-22,1045.4475028918887
1997-01-23,1041.585399362227
1997-01-24,1045.98606630015
1997-01-27,1042.8922057341938
1997-01-28,1037.3841413212429
1997-01-29,1032.3455869362422
1997-01-30,1034.9399073089505
1997-01-31,1038.7586398889623
1997-02-03,1035.3220932464787
1997-02-04,1036.7556509872652
1997-02-05,1036.1269914747086
1997-02-06,1037.4200335368546
1997-02-07,1036.8125394739627
1997-02-10,1042.3007688680027
1997-02-11,1049.6923975991645
1997-02-12,1052.9763315065927
1997-02-13,1052.4552392355117
1997-02-14,1048.518498181805
1997-02-17,1061.7560566995433
1997-02-18,1061.921028408999
1997-02-19,1073.5467402610325
1997-02-20,1081.1611335226842
1997-02-21,1081.421707496169
1997-02-24,1076.3201672576104
1997-02-25,1076.0526828524046
1997-02-26,1067.0245378030957
1997-02-27,1068.5317553546129
1997-02-28,1077.7757886887612
1997-03-03,1084.6707025574044
1997-03-04,1089.6163105103512
1997-03-05,1092.738164177957
1997-03-06,1096.0416648060982
1997-03-07,1107.2134915672393
1997-03-10,1102.8785430288467
1997-03-11,1104.6346415765397
1997-03-12,1103.7616464286164
1997-03-13,1096.6027901210684
1997-03-14,1085.8413017265289
1997-03-17,1099.1444570882327
1997-03-18,1103.2937621430015
1997-03-19,1090.4859731259774
1997-03-20,1097.3233787813265
1997-03-21,1073.2727879241
1997-03-24,1044.4677799447443
1997-03-25,1046.632157784347
1997-03-26,1066.2242264144418
1997-03-27,1072.2063087920335
1997-03-28,1076.8514386464133
1997-03-31,1072.1287082155575
1997-04-01,1078.1725194437308
1997-04-02,1087.4175496057503
1997-04-03,1089.576240840856
1997-04-04,1090.5814303486256
1997-04-07,1092.4083592862487
1997-04-08,1086.828895120534
1997-04-09,1101.6471341581876
1997-04-10,1092.0220103949562
1997-04-11,1097.4282741933828
1997-04-14,1102.813644370269
1997-04-15,1105.4025563397474
1997-04-16,1108.9844495195518
1997-04-17,1102.8824220263443
1997-04-18,1095.9957476551888
1997-04-21,1100.4252007334173
1997-04-22,1096.5440058554923
1997-04-23,1102.9893296901246
1997-04-24,1102.9031736114966
1997-04-25,1108.6742161371994
1997-04-28,1106.7082076775669
1997-04-29,1101.2030412671058
1997-04-30,1097.335171603361
1997-05-01,1096.971414649147
1997-05-02,1081.2118545185435
1997-05-05,1080.415960712443
1997-05-06,1082.0093498713761
1997-05-07,1082.7217408954211
1997-05-08,1074.9380170149097
1997-05-09,1072.1208561357678
1997-05-12,1050.4700048378152
1997-05-13,1049.1292819312346
1997-05-14,1054.9356290703718
1997-05-15,1047.3549482301937
1997-05-16,1041.1295163714703
1997-05-19,1056.3277998919011
1997-05-20,1056.818360776782
1997-05-21,1057.5839384641258
1997-05-22,1055.50785252655
1997-05-23,1056.8485086914247
1997-05-26,1050.1586485750383
1997-05-27,1045.6120821941595
1997-05-28,1039.1077784868417
1997-05-29,1036.8355593498775
1997-05-30,1040.0087097011692
1997-06-02,1057.6310585253157
1997-06-03,1059.8065277484677
1997-06-04,1059.325649059701
1997-06-05,1063.528576952593
1997-06-06,1064.9290698030654
1997-06-09,1065.5910951752073
1997-06-10,1064.3735040441704
1997-06-11,1061.0482652167477
1997-06-12,1063.2254839080715
1997-06-13,1055.3660664783254
