Date,EM MINIMUM VOLATILITY (GBP)
2001-05-31,1000.0
2001-06-01,992.9193073985173
2001-06-04,995.2901077298725
2001-06-05,994.4337000670401
2001-06-06,996.0165466120893
2001-06-07,994.6753923051326
2001-06-08,999.6494769902146
2001-06-11,998.1662515980622
2001-06-12,997.0426540924807
2001-06-13,998.36820409068
2001-06-14,995.1393919521416
2001-06-15,992.7248476467971
2001-06-18,981.2892618404665
2001-06-19,980.5056560317283
2001-06-20,977.8877137623083
2001-06-21,981.7861459741926
2001-06-22,982.4083892316422
2001-06-25,984.4397460801272
2001-06-26,980.8559688652804
2001-06-27,982.6554544106854
2001-06-28,979.5800743545011
2001-06-29,987.3487653398769
2001-07-02,988.6641057278484
2001-07-03,982.4567865674568
2001-07-04,974.0063657195348
2001-07-05,968.9290868445033
2001-07-06,964.6322650825814
2001-07-09,962.5096953425536
2001-07-10,960.2827468328405
2001-07-11,944.2971721397979
2001-07-12,944.8556341508219
2001-07-13,943.0361921040624
2001-07-16,937.6923843380954
2001-07-17,938.9791830475713
2001-07-18,934.5699272362018
2001-07-19,933.770941213758
2001-07-20,932.4287694786806
2001-07-23,932.9826628374802
2001-07-24,926.3112251473534
2001-07-25,927.2610986992967
2001-07-26,936.7259196587268
2001-07-27,940.3426166378554
2001-07-30,944.5727938513742
2001-07-31,944.1495595912218
2001-08-01,944.4809286353745
2001-08-02,953.5953428696884
2001-08-03,955.1959277005407
2001-08-06,950.0914911707437
2001-08-07,949.1148693781147
2001-08-08,953.4827412192038
2001-08-09,949.962483675535
2001-08-10,952.2069337478838
2001-08-13,956.5346288470646
2001-08-14,962.3424859713041
2001-08-15,963.4471805668337
2001-08-16,963.8242738324317
2001-08-17,954.937803044815
2001-08-20,949.9876633747291
2001-08-21,952.0182910961911
2001-08-22,956.9309207175013
2001-08-23,957.7075931894984
2001-08-24,957.9995516858548
2001-08-27,964.2561232022794
2001-08-28,961.0728059624149
2001-08-29,967.3337172182843
2001-08-30,963.0420214858193
2001-08-31,958.5055053036388
2001-09-03,953.2121015849777
2001-09-04,953.3887514094683
2001-09-05,952.515654973681
2001-09-06,947.6315387062083
2001-09-07,947.8072457963991
2001-09-10,940.0712234492357
2001-09-11,916.1769365019982
2001-09-12,901.8529487163883
2001-09-13,892.6686574304363
2001-09-14,874.7276903125947
2001-09-17,859.204113778191
2001-09-18,864.2891148760642
2001-09-19,871.5099313815515
2001-09-20,851.9651837697835
2001-09-21,833.4697646734128
2001-09-24,835.3589008243994
2001-09-25,835.9210917789645
2001-09-26,837.6121410938788
2001-09-27,839.11340541434
2001-09-28,847.1909496695638
2001-10-01,844.7968692163021
2001-10-02,839.788582966027
2001-10-03,833.8561280018438
2001-10-04,841.6723059782217
2001-10-05,846.290586273068
2001-10-08,839.9324960804532
2001-10-09,848.8261150318659
2001-10-10,857.3382170155678
2001-10-11,873.0517701963604
2001-10-12,869.3633182232761
2001-10-15,869.0783896087223
2001-10-16,877.4584273695586
2001-10-17,881.6026861592159
2001-10-18,875.7375194532632
2001-10-19,876.0956959408293
2001-10-22,879.0595339442565
2001-10-23,881.5832635453276
2001-10-24,889.2483168726626
2001-10-25,888.182482877217
2001-10-26,892.3410471974585
2001-10-29,890.6036578834538
2001-10-30,878.311761698776
2001-10-31,879.8185799940524
2001-11-01,883.0417326602222
2001-11-02,883.6074254079357
2001-11-05,893.860548328482
2001-11-06,895.6688350786374
2001-11-07,895.8527305977831
2001-11-08,902.8460664597503
2001-11-09,901.9358919891439
