Date,EM MINIMUM VOLATILITY (USD)
1993-05-31,195.4135505
1993-06-30,199.5939869
1993-07-30,204.4777575
1993-08-31,213.925086
1993-09-30,217.5550837
1993-10-29,234.2158982
1993-11-30,246.4975139
1993-12-31,288.2270263
1994-01-31,293.4291289
1994-02-28,289.3896461
1994-03-31,262.1509072
1994-04-29,263.5268807
1994-05-31,272.2518005
1994-06-30,263.5241698
1994-07-29,272.3160711
1994-08-31,296.5456348
1994-09-30,302.5459325
1994-10-31,309.1989914
1994-11-30,299.0037209
1994-12-30,279.57423
1995-01-31,255.969297
1995-02-28,253.8287948
1995-03-31,254.2548932
1995-04-28,263.5861066
1995-05-31,281.3577163
1995-06-30,282.3839145
1995-07-31,285.8900519
1995-08-31,278.2830924
1995-09-29,278.0627924
1995-10-31,273.7429848
1995-11-30,265.4853371
1995-12-29,278.0147197
1996-01-31,289.0614636
1996-02-29,287.577215
1996-03-29,289.6912269
1996-04-30,300.4481482
1996-05-31,300.0640761
1996-06-28,298.7073475
1996-07-31,282.6928986
1996-08-30,288.1775093
1996-09-30,291.1159613
1996-10-31,284.8971733
1996-11-29,285.2882914
1996-12-31,289.2538376
1997-01-01,289.2538376
1997-01-02,290.522519
1997-01-03,291.2537486
1997-01-06,292.9113539
1997-01-07,295.6575079
1997-01-08,297.9041688
1997-01-09,298.3563415
1997-01-10,298.6814553
1997-01-13,300.2676147
1997-01-14,301.8749413
1997-01-15,303.987334
1997-01-16,303.9798901
1997-01-17,304.1313746
1997-01-20,305.7119649
1997-01-21,303.7278269
1997-01-22,303.0183778
1997-01-23,303.5959993
1997-01-24,302.0880755
1997-01-27,301.2789248
1997-01-28,301.3343061
1997-01-29,301.222202
1997-01-30,303.0245457
1997-01-31,304.7527736
1997-02-03,307.0468579
1997-02-04,308.2397792
1997-02-05,310.7896409
1997-02-06,311.5763217
1997-02-07,312.3572923
1997-02-10,313.8063109
1997-02-11,313.7517885
1997-02-12,314.7966179
1997-02-13,315.4725728
1997-02-14,316.1500635
1997-02-17,317.5379409
1997-02-18,317.800852
1997-02-19,318.4598901
1997-02-20,318.6979508
1997-02-21,319.5490694
1997-02-24,320.0552277
1997-02-25,321.57955
1997-02-26,319.6672816
1997-02-27,316.2795185
1997-02-28,314.6142319
1997-03-03,312.3054463
1997-03-04,312.0048155
1997-03-05,312.9287179
1997-03-06,313.1118713
1997-03-07,313.3323199
1997-03-10,313.9512364
1997-03-11,313.2674423
1997-03-12,311.6983153
1997-03-13,311.2838222
1997-03-14,310.4665182
1997-03-17,311.2841319
1997-03-18,310.4588188
1997-03-19,309.3690741
1997-03-20,308.7567312
1997-03-21,307.9811908
1997-03-24,307.5435471
1997-03-25,308.1536245
1997-03-26,308.9845864
1997-03-27,310.4651062
1997-03-28,311.0221713
1997-03-31,310.4056754
1997-04-01,309.6376376
1997-04-02,311.1709796
1997-04-03,310.4988374
1997-04-04,310.795094
1997-04-07,311.9495127
1997-04-08,311.6563496
1997-04-09,311.7437251
1997-04-10,310.9293184
1997-04-11,309.4428632
1997-04-14,307.9344692
1997-04-15,308.1839773
1997-04-16,309.5170431
1997-04-17,309.7041778
1997-04-18,310.3249397
1997-04-21,312.0847093
1997-04-22,312.2166581
1997-04-23,313.433529
1997-04-24,313.1806688
1997-04-25,312.821587
1997-04-28,312.8848884
1997-04-29,313.0324618
1997-04-30,315.3505734
1997-05-01,315.7976521
1997-05-02,317.3986866
1997-05-05,318.4743842
1997-05-06,318.8081429
1997-05-07,318.3280052
1997-05-08,318.0052122
1997-05-09,319.02743
1997-05-12,318.3417945
1997-05-13,318.2972449
1997-05-14,317.8896428
1997-05-15,318.583676
1997-05-16,318.0394019
1997-05-19,318.3739713
1997-05-20,319.6720409
1997-05-21,319.9991827
1997-05-22,319.6624567
1997-05-23,321.2143143
1997-05-26,320.7844763
1997-05-27,320.477357
1997-05-28,322.1847675
1997-05-29,322.5978653
1997-05-30,322.0076833
1997-06-02,326.206215
1997-06-03,327.8804074
1997-06-04,328.5474288
1997-06-05,327.9949954
1997-06-06,327.5612735
1997-06-09,329.9877362
1997-06-10,330.0898784
1997-06-11,331.3886561
1997-06-12,331.9874103
1997-06-13,332.1502048
1997-06-16,334.4927901
1997-06-17,333.7457122
1997-06-18,333.2485339
1997-06-19,334.5195714
1997-06-20,334.2801611
1997-06-23,333.8302478
1997-06-24,333.7604507
1997-06-25,333.3421683
1997-06-26,333.073705
1997-06-27,332.5220309
1997-06-30,334.0802334
1997-07-01,337.1006997
1997-07-02,338.8003679
1997-07-03,339.9589312
1997-07-04,341.16767
1997-07-07,341.3237892
1997-07-08,341.2669266
1997-07-09,341.9052474
1997-07-10,341.5435702
1997-07-11,340.6273106
1997-07-14,338.4370908
1997-07-15,334.5737542
1997-07-16,334.0316966
1997-07-17,334.071217
1997-07-18,331.324637
1997-07-21,330.590577
1997-07-22,332.3720484
1997-07-23,335.1935416
1997-07-24,337.1360512
1997-07-25,338.2851422
1997-07-28,339.3696399
1997-07-29,340.5153252
1997-07-30,340.6285439
1997-07-31,341.1463754
1997-08-01,339.4544923
1997-08-04,338.9356917
1997-08-05,338.9660531
1997-08-06,342.1520841
1997-08-07,341.8287656
1997-08-08,340.7484117
1997-08-11,338.6885276
1997-08-12,337.5870661
1997-08-13,337.8247361
1997-08-14,338.3952568
1997-08-15,338.5055554
1997-08-18,334.3045275
1997-08-19,333.8776242
1997-08-20,335.4934539
1997-08-21,335.0657516
1997-08-22,333.4289705
1997-08-25,332.5038934
1997-08-26,333.2604314
1997-08-27,332.8145773
1997-08-28,328.5475342
1997-08-29,322.5162796
1997-09-01,318.7614998
1997-09-02,320.3028084
1997-09-03,322.6218678
1997-09-04,321.9504043
1997-09-05,327.9816884
1997-09-08,330.1859305
1997-09-09,330.2937908
1997-09-10,328.8325159
1997-09-11,325.5083602
1997-09-12,327.5102615
1997-09-15,327.3816322
1997-09-16,326.6571129
1997-09-17,327.9373375
1997-09-18,327.0692903
1997-09-19,326.6724455
1997-09-22,323.7972872
1997-09-23,323.544758
1997-09-24,324.9770982
1997-09-25,324.6894744
1997-09-26,325.5837634
1997-09-29,327.2250864
1997-09-30,328.4615277
1997-10-01,327.5942692
1997-10-02,328.4432025
1997-10-03,329.3547583
1997-10-06,329.1706372
1997-10-07,328.8868161
1997-10-08,329.7325695
1997-10-09,331.6186239
1997-10-10,331.6535467
1997-10-13,331.0025772
1997-10-14,331.1809567
1997-10-15,329.8070862
1997-10-16,328.9602425
1997-10-17,325.407984
1997-10-20,323.5452322
1997-10-21,324.230252
1997-10-22,324.7061729
1997-10-23,317.2453884
1997-10-24,312.6177201
1997-10-27,297.9416602
1997-10-28,290.0586291
1997-10-29,294.1263217
1997-10-30,287.3106307
1997-10-31,289.42496
1997-11-03,297.7066821
1997-11-04,300.6962996
1997-11-05,301.1237316
1997-11-06,298.8447908
1997-11-07,292.2069512
1997-11-10,289.9068279
1997-11-11,288.98087
1997-11-12,280.6552058
1997-11-13,278.9849375
1997-11-14,278.291308
1997-11-17,279.5228958
1997-11-18,277.7939632
1997-11-19,276.2690062
1997-11-20,274.7583572
1997-11-21,278.977714
1997-11-24,275.4694972
1997-11-25,272.9302506
1997-11-26,274.4006043
1997-11-27,276.2954463
1997-11-28,275.4672845
1997-12-01,273.2186108
1997-12-02,275.2033187
1997-12-03,276.8149391
1997-12-04,278.5209386
1997-12-05,278.180392
1997-12-08,279.2718522
1997-12-09,276.2734135
1997-12-10,274.0932093
1997-12-11,266.8310705
1997-12-12,264.8720169
1997-12-15,266.9282407
1997-12-16,268.6059725
1997-12-17,271.1711408
1997-12-18,270.7825745
1997-12-19,267.4193299
1997-12-22,265.2077644
1997-12-23,264.5925526
1997-12-24,264.2948559
1997-12-25,264.2948559
1997-12-26,267.5417395
1997-12-29,270.4853386
1997-12-30,273.1920013
1997-12-31,274.4273114
1998-01-01,274.4273114
1998-01-02,273.6430222
1998-01-05,270.1591829
1998-01-06,264.8042907
1998-01-07,260.7837235
1998-01-08,255.2063598
1998-01-09,249.1287318
1998-01-12,241.4554377
1998-01-13,245.4660236
1998-01-14,249.3949371
1998-01-15,246.5344799
1998-01-16,248.8789627
1998-01-19,253.5265104
1998-01-20,253.0743479
1998-01-21,251.4767677
1998-01-22,248.8452019
1998-01-23,247.9270206
1998-01-26,248.4628216
1998-01-27,250.8879125
1998-01-28,251.4012368
1998-01-29,252.4320591
1998-01-30,255.0388365
1998-02-02,261.2272334
1998-02-03,264.3148538
1998-02-04,261.6924192
1998-02-05,263.3915347
1998-02-06,265.5933741
1998-02-09,265.9299922
1998-02-10,269.0002606
1998-02-11,268.3197139
1998-02-12,264.8356309
1998-02-13,262.7078461
1998-02-16,261.3002246
1998-02-17,262.8424847
1998-02-18,263.6052986
1998-02-19,266.3355028
1998-02-20,265.9695686
1998-02-23,266.3340288
1998-02-24,267.1294798
