Date,EM MINIMUM VOLATILITY (EUR) 2011
2001-05-31,205.21966965120336
2001-06-01,203.76745503987004
2001-06-04,204.2432773420333
2001-06-05,204.0972054847629
2001-06-06,204.38679941216407
2001-06-07,204.06817470136153
2001-06-08,205.12538326883097
2001-06-11,204.85350973655625
2001-06-12,204.5307664138188
2001-06-13,204.85183899492895
2001-06-14,204.2099360073006
2001-06-15,203.72009737900078
2001-06-18,201.3535175795121
2001-06-19,201.30837565421658
2001-06-20,200.76514626805272
2001-06-21,201.60616997645656
2001-06-22,201.75016969577678
2001-06-25,202.13044375550544
2001-06-26,201.48306108106115
2001-06-27,201.9537029467891
2001-06-28,201.33282784696073
2001-06-29,202.95770515495326
2001-07-02,203.22147406704892
2001-07-03,202.01574282826218
2001-07-04,200.22393323072257
2001-07-05,199.18267477891658
2001-07-06,198.2961171881735
2001-07-09,197.8776936102605
2001-07-10,197.54257656400804
2001-07-11,194.3447161825209
2001-07-12,194.70630767095162
2001-07-13,194.1959922887235
2001-07-16,193.21732175383275
2001-07-17,193.31876120508213
2001-07-18,192.4267413564833
2001-07-19,192.35106145379248
2001-07-20,191.90999199959802
2001-07-23,191.89603085229078
2001-07-24,190.57643861982507
2001-07-25,190.69393341038094
2001-07-26,192.57821210628225
2001-07-27,193.3795475313166
2001-07-30,194.31630283240688
2001-07-31,194.19076575167165
2001-08-01,194.41282110132047
2001-08-02,196.3529947239669
2001-08-03,196.66908149650087
2001-08-06,195.6528175270041
2001-08-07,195.36904768351522
2001-08-08,196.09471100539815
2001-08-09,195.29473042364444
2001-08-10,195.83056118445543
2001-08-13,196.774215933751
2001-08-14,198.07968680949074
2001-08-15,198.25553521623775
2001-08-16,198.28594731543055
2001-08-17,196.58477444567907
2001-08-20,195.54546983110757
2001-08-21,195.98829383899928
2001-08-22,196.89788416331527
2001-08-23,197.11879725877452
2001-08-24,197.20985260606818
2001-08-27,198.51058950269575
2001-08-28,197.8350489714428
2001-08-29,199.1487542451615
2001-08-30,198.20044007490802
2001-08-31,197.28519583831732
2001-09-03,196.19236146552822
2001-09-04,196.23956466919626
2001-09-05,196.01649540293585
2001-09-06,195.01926251343116
2001-09-07,195.03709139724984
2001-09-10,193.55890918682726
2001-09-11,188.63951809886132
2001-09-12,185.5146083307078
2001-09-13,183.7783259910808
2001-09-14,180.074912698715
2001-09-17,176.8158100289389
2001-09-18,177.80550860179324
2001-09-19,179.29956962565376
2001-09-20,175.31553666374109
2001-09-21,171.53907091671158
2001-09-24,171.9693946616708
2001-09-25,172.147822392462
2001-09-26,172.5431086421061
2001-09-27,172.9422563950643
2001-09-28,174.6276671966486
2001-10-01,174.10578355899142
2001-10-02,173.18680308452022
2001-10-03,172.04465899932438
2001-10-04,173.79842069350101
2001-10-05,174.67080167636595
2001-10-08,173.45334303809133
2001-10-09,175.2947906395048
2001-10-10,176.91610178523584
2001-10-11,180.06126123163375
2001-10-12,179.20303586151218
2001-10-15,179.18901227920296
2001-10-16,180.8310099426911
2001-10-17,181.63842841187528
2001-10-18,180.43183749893979
2001-10-19,180.46691808755287
2001-10-22,181.05035553802384
2001-10-23,181.56918773068594
2001-10-24,183.22473863170745
2001-10-25,183.05541362931402
2001-10-26,183.94361628984862
2001-10-29,183.73849464176013
2001-10-30,181.17985396350286
2001-10-31,181.47344108363606
2001-11-01,182.1205389433288
2001-11-02,182.252247674019
2001-11-05,184.4081296243621
2001-11-06,184.77842297707107
2001-11-07,184.6864319470491
2001-11-08,186.1283392155289
2001-11-09,185.95995844534042
2001-11-12,185.92001275748785
2001-11-13,187.67405255416182
2001-11-14,190.015368908858
2001-11-15,191.69848548418855
2001-11-16,192.05918435258607
2001-11-19,193.26471313291125
2001-11-20,191.7370799975396
2001-11-21,192.15314761107697
2001-11-22,192.25925563570382
2001-11-23,193.68871367722105
2001-11-26,196.29098044835632
2001-11-27,195.32755598201425
2001-11-28,193.2835964648053
2001-11-29,192.35912119395465
2001-11-30,192.15626979305728
2001-12-03,193.6372956720667
2001-12-04,194.92987097608972
2001-12-05,197.81683746248683
2001-12-06,199.5501142030242
2001-12-07,200.42778760822307
2001-12-10,199.83588183755325
2001-12-11,198.97603405249214
2001-12-12,200.76683650303337
2001-12-13,198.55868578750022
2001-12-14,198.2984212191093
2001-12-17,198.87379490783886
2001-12-18,197.7995125880215
2001-12-19,196.34935272038882
2001-12-20,196.50682326812912
2001-12-21,195.34162760652984
2001-12-24,196.7253523316821
2001-12-25,198.0619393573456
2001-12-26,198.31624716221594
2001-12-27,198.8231592466845
2001-12-28,199.67944598249406
2001-12-31,201.79446869240138
2002-01-01,202.0502574688276
2002-01-02,204.00558317582124
2002-01-03,205.5795655147553
2002-01-04,208.0186619880954
2002-01-07,209.58385863481314
2002-01-08,208.12983554866764
2002-01-09,208.96761244975335
2002-01-10,206.78078851718598
2002-01-11,206.25808430965864
2002-01-14,205.97355133930725
2002-01-15,204.21169235777325
2002-01-16,203.17800273499893
2002-01-17,204.01439617024357
2002-01-18,204.40645730480188
2002-01-21,206.04277949351888
2002-01-22,205.77814771146058
2002-01-23,206.81539197769882
2002-01-24,207.76320404103387
2002-01-25,209.2644782833683
2002-01-28,209.1450895164373
2002-01-29,208.1495462615613
2002-01-30,206.78651045949138
2002-01-31,209.46034885343565
2002-02-01,208.86613761700727
2002-02-04,208.45122338533355
2002-02-05,208.05899163615769
2002-02-06,209.47040693902431
2002-02-07,207.92620478591863
2002-02-08,208.7410355590787
2002-02-11,207.61773004409997
2002-02-12,208.46854504567528
2002-02-13,209.56348131231587
2002-02-14,212.5999215890698
2002-02-15,212.60296877433075
2002-02-18,211.90146017408583
2002-02-19,209.73406926996856
2002-02-20,208.41359790530797
2002-02-21,207.99339748995
