Date,EM EUROPE MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1015.7604171086558
2001-06-04,1027.062643301629
2001-06-05,1008.2085589234749
2001-06-06,1008.890146513259
2001-06-07,1004.2809008724415
2001-06-08,1007.7052759141656
2001-06-11,989.4054339320411
2001-06-12,986.1982174481228
2001-06-13,975.8455862171744
2001-06-14,993.2062479250059
2001-06-15,997.9334814633004
2001-06-18,982.7729844363442
2001-06-19,985.2401960765526
2001-06-20,974.9353814455128
2001-06-21,985.0050428615788
2001-06-22,1001.4965030760264
2001-06-25,991.075688742179
2001-06-26,990.545915748786
2001-06-27,993.1880833570204
2001-06-28,982.1672879083567
2001-06-29,978.2756046515924
2001-07-02,973.0271905118047
2001-07-03,962.8690387004723
2001-07-04,966.493424326877
2001-07-05,961.4866104290286
2001-07-06,916.3671282736912
2001-07-09,902.2265752740531
2001-07-10,893.6091511955007
2001-07-11,849.5700396775425
2001-07-12,874.8293945292212
2001-07-13,875.7697166009023
2001-07-16,868.5149858893899
2001-07-17,856.6316504655944
2001-07-18,875.6026864024935
2001-07-19,896.442402753888
2001-07-20,890.6460253788296
2001-07-23,900.9711898093681
2001-07-24,900.2975341504286
2001-07-25,897.3208892752849
2001-07-26,922.6580162883195
2001-07-27,912.9571829958671
2001-07-30,913.7040465580274
2001-07-31,902.0394320032464
2001-08-01,904.6381648263409
2001-08-02,908.4956542398029
2001-08-03,909.3235238726018
2001-08-06,892.603190547302
2001-08-07,879.6337631972384
2001-08-08,877.7119610426207
2001-08-09,879.4025885927805
2001-08-10,883.7877821329687
2001-08-13,876.4898136376155
2001-08-14,882.092044114694
2001-08-15,877.3418147537066
2001-08-16,870.3693752493222
2001-08-17,871.0455373192982
2001-08-20,875.595873377083
2001-08-21,876.6637050230029
2001-08-22,886.2188851389576
2001-08-23,892.0172933461018
2001-08-24,906.1017174689923
2001-08-27,916.6928898954134
2001-08-28,924.9611634416862
2001-08-29,912.8398466211104
2001-08-30,909.6038837102161
2001-08-31,910.8103355059272
2001-09-03,910.6665508118506
2001-09-04,902.3011570785304
2001-09-05,904.6305233646419
2001-09-06,917.5283140914908
2001-09-07,910.644510083724
2001-09-10,896.6689788613174
2001-09-11,872.4723550947336
2001-09-12,855.3624008665996
2001-09-13,851.2211431352684
2001-09-14,821.6112470866202
2001-09-17,806.0289945154179
2001-09-18,816.0965477001436
2001-09-19,838.0282490826011
2001-09-20,811.6204138893387
2001-09-21,775.0733322202115
2001-09-24,778.3841627930893
2001-09-25,778.4543832326202
2001-09-26,776.8046760753365
2001-09-27,776.3380816503201
2001-09-28,788.8858700050952
2001-10-01,790.804825840375
2001-10-02,793.8960441095477
2001-10-03,772.6223014089312
2001-10-04,781.5942821062903
