Date,EM FAR EAST MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,992.7661362664177
2001-06-04,995.4143626970852
2001-06-05,995.4939811675445
2001-06-06,1001.6390498142588
2001-06-07,1000.2190912697903
2001-06-08,1015.9779056999213
2001-06-11,1016.1957156999289
2001-06-12,1017.8840282517419
2001-06-13,1016.3308623367689
2001-06-14,1005.802353790818
2001-06-15,1008.9183146368247
2001-06-18,995.0527702219173
2001-06-19,993.2207929072888
2001-06-20,989.0280912350618
2001-06-21,991.0009253882496
2001-06-22,988.8636371475102
2001-06-25,989.6953713881891
2001-06-26,980.2703656037339
2001-06-27,983.2432269748557
2001-06-28,973.2643238618894
2001-06-29,990.7537610767924
2001-07-02,988.0319054408379
2001-07-03,986.8314891282412
2001-07-04,979.5802639311801
2001-07-05,982.0422255010963
2001-07-06,980.7102031668832
2001-07-09,969.9893703366688
2001-07-10,966.6401311749405
2001-07-11,948.5605219121478
2001-07-12,952.4831731237584
2001-07-13,940.3910901693607
2001-07-16,929.6968317119268
2001-07-17,926.4517563550384
2001-07-18,914.195142557673
2001-07-19,911.665735066914
2001-07-20,912.0199897056686
2001-07-23,899.1119778477484
2001-07-24,889.0078670779494
2001-07-25,896.0028489035967
2001-07-26,912.3523947174107
2001-07-27,919.158763727423
2001-07-30,914.5661355011875
2001-07-31,919.4123235375575
2001-08-01,926.1026693810626
2001-08-02,940.0569408873286
2001-08-03,944.7591140040053
2001-08-06,934.2855604823523
2001-08-07,934.454294162451
2001-08-08,944.2322082021701
2001-08-09,930.3314250003633
2001-08-10,933.5954463209044
2001-08-13,942.1484073268263
2001-08-14,957.2923476870383
2001-08-15,962.1852257580841
2001-08-16,968.6754451614448
2001-08-17,962.2229300434794
2001-08-20,950.9119877731933
2001-08-21,952.726450554062
2001-08-22,949.1371913370548
2001-08-23,948.3199122447661
2001-08-24,942.4439852380314
2001-08-27,960.3267492576542
2001-08-28,953.0942077076141
2001-08-29,959.7758292929298
2001-08-30,958.775554287458
2001-08-31,951.4519714678926
2001-09-03,946.7042376279871
2001-09-04,955.2752054892782
2001-09-05,948.6397013019159
2001-09-06,943.981123535456
2001-09-07,941.845619946011
2001-09-10,936.4954321990496
2001-09-11,924.4766828868829
2001-09-12,891.9711756848889
2001-09-13,881.2677536839101
2001-09-14,851.4953349911954
2001-09-17,828.290055021612
2001-09-18,833.8304982443657
2001-09-19,847.9965967954236
2001-09-20,838.3727061545618
2001-09-21,819.3989965869102
