Date,EM LATIN AMERICA MINIMUM VOLATILITY(USD)
2001-05-31,1000.0
2001-06-01,999.2264612213118
2001-06-04,1011.5966387886912
2001-06-05,1009.6697405569919
2001-06-06,1013.035356636102
2001-06-07,1018.2627431058215
2001-06-08,1020.8915998783851
2001-06-11,1017.4021254757521
2001-06-12,1013.7903623855972
2001-06-13,1012.6658843279507
2001-06-14,1011.4197618159681
2001-06-15,995.8141371860594
2001-06-18,968.9210807498458
2001-06-19,959.9670121113198
2001-06-20,969.075385998205
2001-06-21,985.3326543314821
2001-06-22,993.0113438437322
2001-06-25,996.0931793663307
2001-06-26,991.3626771527855
2001-06-27,986.6692668473194
2001-06-28,991.0669069267993
2001-06-29,994.1614830944326
2001-07-02,1001.8390472985034
2001-07-03,994.1126038549986
2001-07-04,983.00735177668
2001-07-05,974.7840299526972
2001-07-06,956.2280119239668
2001-07-09,963.2537169390049
2001-07-10,949.3817472356451
2001-07-11,922.0398784304178
2001-07-12,911.7224217111457
2001-07-13,913.6505858799997
2001-07-16,900.8418652933315
2001-07-17,920.4959040756962
2001-07-18,924.6570515657125
2001-07-19,916.2512944107883
2001-07-20,923.9062216828615
2001-07-23,935.6019496515659
2001-07-24,925.8131641414737
2001-07-25,919.5942635437226
2001-07-26,924.4670329737681
2001-07-27,926.9563188330177
2001-07-30,935.3930992306786
2001-07-31,936.3182235235564
2001-08-01,923.1287865740344
2001-08-02,933.5062134995035
2001-08-03,934.5440118512487
2001-08-06,935.2448062500148
2001-08-07,939.8494573479807
2001-08-08,942.1507358586488
2001-08-09,944.2860267603019
2001-08-10,944.858274758889
2001-08-13,945.7778420652425
2001-08-14,943.1784642924932
2001-08-15,942.1938931921443
2001-08-16,942.2807655799356
2001-08-17,917.6615704150803
2001-08-20,917.5591656507039
2001-08-21,916.1603342320516
2001-08-22,926.8748936293863
2001-08-23,920.5580631318755
2001-08-24,928.0150110966316
2001-08-27,926.5386420009761
2001-08-28,925.9094751999507
2001-08-29,935.9676779858794
2001-08-30,928.5604445358498
2001-08-31,925.3012300930909
2001-09-03,916.4150508990499
2001-09-04,914.0801046412063
2001-09-05,911.4331937664606
2001-09-06,891.8759781327836
2001-09-07,888.8979258541525
2001-09-10,875.4845621974821
2001-09-11,818.8548257543746
2001-09-12,826.3302300181217
2001-09-13,800.5950384562618
2001-09-14,795.1607230766925
2001-09-17,797.0885570497054
2001-09-18,801.9793175974543
2001-09-19,797.866184766285
2001-09-20,768.0971198073315
2001-09-21,756.3886071806257
2001-09-24,775.8033123513026
2001-09-25,777.2821112637042
2001-09-26,767.5087296965515
