Date,EM ASIA MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,991.5863389924015
2001-06-04,991.8692328803733
2001-06-05,989.4939035083889
2001-06-06,995.2592694910426
2001-06-07,992.5948479004412
2001-06-08,1005.8681008337244
2001-06-11,1007.9110429158092
2001-06-12,1009.0891928752052
2001-06-13,1007.6582570691683
2001-06-14,998.3529643125456
2001-06-15,997.8053829324617
2001-06-18,986.7249749885578
2001-06-19,987.5396987743432
2001-06-20,985.7503080441932
2001-06-21,986.8033174809702
2001-06-22,983.3483205107259
2001-06-25,980.8307434785969
2001-06-26,976.3738878895625
2001-06-27,979.0266691401035
2001-06-28,970.4685580083144
2001-06-29,985.6276608757065
2001-07-02,982.84969973357
2001-07-03,978.0554766686969
2001-07-04,971.7181820375006
2001-07-05,971.9609296947599
2001-07-06,971.1197237951095
2001-07-09,963.4244547529688
2001-07-10,961.5912065546944
2001-07-11,949.4028856660743
2001-07-12,954.1452401522329
2001-07-13,944.452475993865
2001-07-16,936.242103187581
2001-07-17,932.7206262144065
2001-07-18,920.3220386254153
2001-07-19,918.4651518084195
2001-07-20,916.8783333093946
2001-07-23,907.2331746020891
2001-07-24,897.8164988281408
2001-07-25,901.8770533409931
2001-07-26,914.5383858856522
2001-07-27,920.5040952894603
2001-07-30,919.8163887437184
2001-07-31,924.8584464765961
2001-08-01,929.3940772444377
2001-08-02,940.6200845683218
2001-08-03,944.4736588613475
2001-08-06,936.8033517448129
2001-08-07,937.2665465562486
2001-08-08,944.6987550417629
2001-08-09,933.3737905984791
2001-08-10,936.4129844115147
2001-08-13,943.0129378642259
2001-08-14,956.4442339243545
2001-08-15,960.4599999687184
2001-08-16,965.5281096985007
2001-08-17,958.3977934280189
2001-08-20,948.5915366371161
2001-08-21,950.4134794899707
2001-08-22,947.2345218830316
2001-08-23,947.3768456954041
2001-08-24,941.127934876841
2001-08-27,955.7773105813479
2001-08-28,950.9193659371304
2001-08-29,956.1637897278241
2001-08-30,954.8989490567224
2001-08-31,947.1587413301903
2001-09-03,942.1744501903427
2001-09-04,949.8416404839313
2001-09-05,945.6824240056209
2001-09-06,941.6371683321706
2001-09-07,940.4640085513081
2001-09-10,936.657582056411
2001-09-11,925.4328182009683
2001-09-12,893.1847407332444
2001-09-13,883.2499385815861
2001-09-14,853.5322615259603
2001-09-17,830.0935458894178
2001-09-18,837.6871163890183
2001-09-19,850.2975674980364
2001-09-20,840.3886339300099
2001-09-21,819.9804282064212
2001-09-24,818.932137096944
2001-09-25,811.4890292700159
2001-09-26,817.4648240744368
2001-09-27,822.3002893990381
2001-09-28,834.913865881973
2001-10-01,831.501726919768
2001-10-02,821.4708901097686
2001-10-03,819.4587846424087
2001-10-04,831.6534694482855
2001-10-05,838.188907085193
2001-10-08,824.6384443848794
2001-10-09,840.000448898498
2001-10-10,840.4907497965621
2001-10-11,856.2004094726601
2001-10-12,855.9586245485928
2001-10-15,855.0749809731577
2001-10-16,864.159261388903
2001-10-17,869.2053940336231
2001-10-18,862.9938545962516
2001-10-19,865.7147699035064
2001-10-22,868.5753096202784
2001-10-23,874.5619586161054
2001-10-24,887.5632917689582
2001-10-25,889.4943874925192
2001-10-26,891.4747946991307
2001-10-29,890.275351749749
2001-10-30,875.5838895249234
2001-10-31,877.9222619063121
2001-11-01,881.9315778764533
2001-11-02,887.6587021016354
2001-11-05,893.6016883938134
2001-11-06,895.5644414810462
2001-11-07,895.3455254801391
2001-11-08,903.7519417896665
2001-11-09,909.2194374992811
2001-11-12,913.5098078655127
2001-11-13,911.1298627758727
2001-11-14,925.6360992763443
2001-11-15,941.1699440722022
2001-11-16,946.4848940431377
2001-11-19,954.6909036849765
2001-11-20,945.3338122809345
2001-11-21,954.801171356796
2001-11-22,959.0640244754887
2001-11-23,972.296122931906
2001-11-26,992.6471537059665
2001-11-27,986.4699473562746
2001-11-28,963.3756052600042
2001-11-29,964.7510389146656
2001-11-30,968.8071265274872
2001-12-03,982.429663808646
2001-12-04,988.3089049488707
2001-12-05,1013.9883211957886
2001-12-06,1028.563244998325
2001-12-07,1044.0393377895502
2001-12-10,1032.135717791774
2001-12-11,1028.2843769356825
2001-12-12,1048.786994851661
2001-12-13,1039.1475747316733
2001-12-14,1037.085652910265
2001-12-17,1028.4035305825382
2001-12-18,1019.9629118255783
2001-12-19,1010.1703898142038
2001-12-20,1022.2076389345847
2001-12-21,1003.0959238272943
2001-12-24,1007.324029016594
2001-12-25,1017.398364223983
2001-12-26,1017.1947112413002
2001-12-27,1016.8880281626545
2001-12-28,1033.513381485841
2001-12-31,1049.5221315823087
2002-01-01,1049.6004152409669
2002-01-02,1062.5668007597976
2002-01-03,1063.3944865866813
2002-01-04,1080.3660620712164
2002-01-07,1100.833498204785
2002-01-08,1088.1580182089756
2002-01-09,1095.6706156669804
2002-01-10,1081.5232048136845
2002-01-11,1072.0412957225055
2002-01-14,1076.9385262972908
2002-01-15,1062.0871764193005
2002-01-16,1054.8429453204924
2002-01-17,1058.752535919127
2002-01-18,1062.1925441878018
2002-01-21,1082.3884813943662
2002-01-22,1078.12335304431
2002-01-23,1088.936192908865
2002-01-24,1097.444194632143
2002-01-25,1115.979051403117
2002-01-28,1122.1253810119613
2002-01-29,1115.6436791407489
2002-01-30,1099.2936054596162
2002-01-31,1110.96326445778
2002-02-01,1107.7795447540316
2002-02-04,1103.5712791598717
2002-02-05,1105.5694846801648
2002-02-06,1115.7937685291158
2002-02-07,1108.7714388807474
2002-02-08,1116.3465717578551
2002-02-11,1117.240230899417
2002-02-12,1117.3173675323908
