Date,EM EMEA MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,993.4749613800423
2001-06-04,996.256437000272
2001-06-05,994.2593387283956
2001-06-06,990.4110241900823
2001-06-07,988.722491369738
2001-06-08,991.4641556969591
2001-06-11,983.4146958967741
2001-06-12,978.1905936620524
2001-06-13,981.5133877479802
2001-06-14,985.1195936924083
2001-06-15,989.9704552521583
2001-06-18,982.2058293025092
2001-06-19,988.0080665761296
2001-06-20,977.3038815114643
2001-06-21,982.6087774775125
2001-06-22,988.7389533252666
2001-06-25,993.0579009565007
2001-06-26,992.5024394195239
2001-06-27,996.6530210132777
2001-06-28,992.7833303696083
2001-06-29,992.7513117521579
2001-07-02,997.0142294844571
2001-07-03,985.7108224639534
2001-07-04,976.6671440624598
2001-07-05,964.585617268697
2001-07-06,952.0834437825143
2001-07-09,948.6447303617421
2001-07-10,950.069838170106
2001-07-11,936.7202822588742
2001-07-12,946.7829515435811
2001-07-13,949.0324069649033
2001-07-16,946.2516363916704
2001-07-17,935.3062091400216
2001-07-18,937.60722751141
2001-07-19,949.5033026261507
2001-07-20,942.1159737668853
2001-07-23,949.3762405193519
2001-07-24,945.9282833299194
2001-07-25,945.4418958311225
2001-07-26,954.0068331115413
2001-07-27,953.1909201147708
2001-07-30,957.1460822380736
2001-07-31,949.1864517118771
2001-08-01,957.9977433371147
2001-08-02,969.5874208954748
2001-08-03,967.1501601813956
2001-08-06,956.204156665051
2001-08-07,946.9733992398371
2001-08-08,942.9434476849044
2001-08-09,943.0726199501319
2001-08-10,946.5547371306003
2001-08-13,949.9938716880578
2001-08-14,954.4351841329617
2001-08-15,953.1875445432103
2001-08-16,948.2786008581578
2001-08-17,946.4425306377855
2001-08-20,942.3496899395086
2001-08-21,942.952957359646
2001-08-22,952.2901037090248
2001-08-23,955.13447826783
2001-08-24,962.0018670123955
2001-08-27,967.0200696396146
2001-08-28,968.0901428530041
2001-08-29,964.3340960533611
2001-08-30,957.1835887766007
2001-08-31,955.4421452717311
2001-09-03,951.2878716089452
2001-09-04,948.1872567084135
2001-09-05,947.5084483259296
2001-09-06,946.6603922640842
2001-09-07,945.0029184130224
2001-09-10,935.1519118646432
2001-09-11,909.1401851402132
2001-09-12,887.6379938795394
2001-09-13,899.4436629785718
2001-09-14,888.1789070160968
2001-09-17,871.3817106779333
2001-09-18,871.2259210758572
2001-09-19,879.6411928116755
2001-09-20,850.1940563670503
2001-09-21,825.2834701831875
2001-09-24,825.291607545757
2001-09-25,835.3698801545539
2001-09-26,834.839800147861
2001-09-27,832.4067546524955
2001-09-28,840.5975238467885
2001-10-01,839.9087150280685
2001-10-02,841.0629163971167
2001-10-03,832.5087668774167
2001-10-04,847.3256763509806
2001-10-05,850.1489709633935
2001-10-08,854.460421713237
2001-10-09,857.4341157941097
2001-10-10,866.1169160983903
2001-10-11,884.3331266649401
2001-10-12,881.693188582948
2001-10-15,880.4568900182476
2001-10-16,884.3973637618398
2001-10-17,883.9918929154675
2001-10-18,877.5476140619239
2001-10-19,874.584749335298
2001-10-22,874.4238839671092
2001-10-23,877.2266989627892
2001-10-24,880.3410815432164
2001-10-25,876.4858252854968
2001-10-26,883.3403552607228
2001-10-29,891.6048147044796
2001-10-30,881.2185489049161
2001-10-31,880.1315885840119
2001-11-01,880.8457354794616
2001-11-02,882.2362755652939
2001-11-05,895.3615698868996
2001-11-06,892.3389515013732
2001-11-07,889.7670668413971
2001-11-08,899.9141254102944
2001-11-09,896.0953724678754
2001-11-12,892.4997107996853
2001-11-13,909.5295230969175
2001-11-14,917.4372970039611
2001-11-15,917.5375820388826
2001-11-16,917.0436976193283
2001-11-19,925.0378880207041
2001-11-20,921.439404824184
2001-11-21,909.1246321416804
2001-11-22,911.2258900115636
2001-11-23,909.6625983764495
2001-11-26,919.6100210407241
2001-11-27,912.7231750366141
2001-11-28,914.1231892492222
2001-11-29,903.2621104798448
2001-11-30,905.0482026896639
2001-12-03,898.8440881395501
2001-12-04,901.9334162470925
