Date,KOREA IMI MINIMUM VOLATILITY (KRW)
2001-05-31,1000.0
2001-06-01,984.4860318108562
2001-06-04,986.4792575327097
2001-06-05,970.2867387276326
2001-06-06,972.4750152081367
2001-06-07,968.0200582731114
2001-06-08,1005.3284880561125
2001-06-11,994.2883881746301
2001-06-12,987.9755510487356
2001-06-13,998.0656025709359
2001-06-14,987.6442302927853
2001-06-15,993.1955416204889
2001-06-18,976.6057338992416
2001-06-19,972.4227073932467
2001-06-20,969.399979865032
2001-06-21,959.9593525209341
2001-06-22,961.3957597463352
2001-06-25,955.4805581956698
2001-06-26,941.896578275553
2001-06-27,948.4771596632879
2001-06-28,957.0402298637389
2001-06-29,974.8672537352976
2001-07-02,977.6549487892319
2001-07-03,977.5569896383001
2001-07-04,982.5021778972681
2001-07-05,986.8731111854858
2001-07-06,956.199897515181
2001-07-09,931.649056713796
2001-07-10,918.8108603109305
2001-07-11,892.6856930656193
2001-07-12,915.7823376707436
2001-07-13,894.0216672102837
2001-07-16,887.6302460227724
2001-07-17,889.9221668793863
2001-07-18,855.0673903534783
2001-07-19,865.0417926260646
2001-07-20,848.6635736053333
2001-07-23,829.1647107059679
2001-07-24,823.4665219355763
2001-07-25,813.9497724648595
2001-07-26,834.9939164545549
2001-07-27,852.7287322923103
2001-07-30,833.8208112224296
2001-07-31,847.4987086804616
2001-08-01,873.1401098509019
2001-08-02,890.942992315824
2001-08-03,889.5667974321304
2001-08-06,897.3773657941182
2001-08-07,901.6989970342219
2001-08-08,899.76263252092
2001-08-09,858.7617704293211
2001-08-10,860.470831014283
2001-08-13,856.4601772975252
2001-08-14,877.3087799354817
2001-08-15,864.1168906970706
2001-08-16,873.1836450154142
2001-08-17,865.3733653753782
2001-08-20,851.6198710156606
2001-08-21,856.8052390468195
2001-08-22,852.9227490806184
2001-08-23,855.3591911124395
2001-08-24,855.7462227506504
2001-08-27,870.5562380088835
2001-08-28,866.9684344479816
2001-08-29,847.5156883953795
2001-08-30,843.9309077942676
2001-08-31,821.2731950005476
2001-09-03,817.8503647134953
2001-09-04,852.1594065172468
2001-09-05,845.2818621076772
2001-09-06,843.4390022998138
2001-09-07,834.0819479838722
2001-09-10,830.6196560416199
2001-09-11,806.0209292500942
2001-09-12,721.6900651668685
2001-09-13,743.8407419520436
2001-09-14,702.536098204549
2001-09-17,680.6594294291652
2001-09-18,703.1992301298427
2001-09-19,700.0099939860455
2001-09-20,690.7199841606032
2001-09-21,689.2230717423009
2001-09-24,696.8597993846533
2001-09-25,675.7330273735154
2001-09-26,682.4965840551657
2001-09-27,688.0229093237749
2001-09-28,710.6820052768827
2001-10-01,706.8014657700744
2001-10-02,702.8698122637908
2001-10-03,698.4301963392626
2001-10-04,739.4174484971386
2001-10-05,735.6337437426617
2001-10-08,725.8350375532616
2001-10-09,742.8881860678151
2001-10-10,744.9380324479971
2001-10-11,773.1346072341128
2001-10-12,770.9437563935021
2001-10-15,769.7923630005945
2001-10-16,781.6565557870432
2001-10-17,788.8169193777488
2001-10-18,787.6409828179887
2001-10-19,799.3193130856879
2001-10-22,806.0444867974903
2001-10-23,810.0433830768853
2001-10-24,829.2941046275054
2001-10-25,826.4300082753896
2001-10-26,830.3017363487198
2001-10-29,823.7039670953145
2001-10-30,798.8594473673332
2001-10-31,813.58577798679
2001-11-01,814.9278328615286
2001-11-02,827.2362483842152
2001-11-05,851.5521539184693
2001-11-06,858.0943050144825
2001-11-07,855.7470275392268
2001-11-08,878.6998196463246
2001-11-09,900.7058277242024
2001-11-12,913.9458725897545
2001-11-13,926.0249433529998
2001-11-14,950.0834639128393
2001-11-15,957.814300902859
2001-11-16,961.0413258237523
2001-11-19,983.8161267637649
2001-11-20,969.2585149656117
2001-11-21,981.739209179175
2001-11-22,997.8073527858793
2001-11-23,1034.3893078835308
2001-11-26,1088.3836132614554
2001-11-27,1081.3613186434181
2001-11-28,1004.2573530857097
2001-11-29,1008.8129034164657
2001-11-30,1029.577154427989
2001-12-03,1046.4361308537514
2001-12-04,1030.422854798263
2001-12-05,1085.0682277543879
2001-12-06,1072.2987836064135
2001-12-07,1105.0745886384705
2001-12-10,1056.8242492141196
2001-12-11,1063.917673074653
2001-12-12,1082.0659463409384
2001-12-13,1076.7529861983392
2001-12-14,1042.1496170928692
2001-12-17,1005.9028322019751
2001-12-18,1002.5015695609313
2001-12-19,1007.0877253228368
2001-12-20,1031.9932390247732
2001-12-21,1015.1175324522474
2001-12-24,1029.5759049939625
2001-12-25,1029.6752525145266
